Zeitstempel;Name up to three movies from the 90s;Name up to three actors;Name up to three music genres;Name up to three books;Name up to three (book) authors;Name up to three politicians;Name up to three US presidents;Name up to three cities;Name up to three lakes;Name up to three mountains;Name up to three european capital cities;Name up to three european countries;Name up to three asian countries;Name up to three continents;Name up to three birds;Name up to three african animals;Name up to three pieces of furniture;Name up to three vegetables;Name up to three types of fast food;Name up to three landmarks/sights in Europe;Name up to three companies listed in the DAX (German stock index);Name up to three US companies;Name up to three US tech companies;What is your age?;What gender do you identify with?;What is the highest degree you have completed?;Which country are you from?
2022/02/28 5:09:27 PM OEZ;The Matrix, Groundhog Day, Goodfellas;Tom Cruise, Amy Adams, Arnold Schwarzenegger;Pop, Techno, Rap;Dune, How Democracies Die, Harry Potter;Frank Herbert, George R. R. Martin, J. K. Rowling ;Barack Obama, Olaf Scholz, Robert Habeck;Barack Obama, Joe Biden, George Washington;Berlin, New York, Moskau;Bodensee, Lake Victoria, Lake Tahoe;K2, Zugspitze, Brocken;Berlin, Paris, London;Germany, France, Italy;Japan, China, India;Europe, Africa, Asia;Robin, Mockingbird, Pelican;Lion, Elefant, Honey Badger;Chair, Table, Lamp;Peas, Carrot, Tomato;French Fries, Burger, Pizza;Eiffel tower, Brandenburger Gate, Colosseum;SAP, Allianz, Lufthansa;Microsoft, T-Mobile, Ralph Lauren;Apple, Google, Tesla;26;Male;Bachelor's degree;Germany
2022/03/01 5:03:02 PM OEZ;Batman, Matrix, Eyes Wide Shut;Jack Nicholson, Nicole Kidman, George Clooney;Metal, Rock, Pop;Hamlet, Faust, Werther;Shakespeare, Goethe, Stephen King;Angela Merkel, Joe Biden, George W. Bush;Joe Biden, Goerge W. Bush, Barack Obama;New York, Amsterdam, Berlin;Lake Geneva, Lake Tahoe, Lake Eerie;Mount Everest, Matterhorn, Nanga Parbat;Amsterdam, Berlin, Rome;Germany, France, Italy;China, Japan, Korea;Europe, Africa, America;Ostrich, Owl, Mockingbird;Elephant, Lion, Zebra;Chair, Table, Sofa;Cucumber, Tomato, Zucchini;Burger, Pizza, Fries;Eiffel Tower, Tower Bridge, Tower of Pisa;SAP, BMW, Siemens;Ford, General Electric, Meta;Meta, Alphabet, Zoom;44;Male;Doctorate (e.g. PhD);Germany
2022/03/01 5:34:10 PM OEZ;Total Recall, Lethal Weapon, Predator;Gérard Depardieu, Christina Ricci, Brad Pitt;Funk, Rock, Electro;Hyperion, Harry Potter, Game of Thrones;Asimov, Frank Herbert, Simmons;Jean-Luc Mélenchon, Raphaël Correa, Gabriel Boric;George Washington, Abraham Lincoln, Richard Nixon;Paris, New York, Istanbul;Erie, Léman;Kilimandjaro, Everest, Mont-Blanc;Paris, London, Madrid;France, Germany, Italy;Japan, China, Corea;Europe, Asia, America;Nightingale, Swallow, Pelican;Leopard, Hyena, Gazelle;Table, Cupboard, Chair;Leek, Cabbage, Potato;Burger, Poutine, Hotdog;Eiffel Tower, Pisa Tower, Stonehenge;Bayer, BMW, Volkswagen;General Motors, General Electric, McDonals;Google, Amazon, Microsoft;46;Male;Bachelor's degree;France
2022/03/01 6:25:03 PM OEZ;Léon: The Professional, The Matrix, Departed ;Brad Pitt, Denzel Washington, George Clooney;Techno, House, Jazz;Illuminati, Das Kapital, The Prisoner;J. K. Rowling, John Grisham, Dan Brown;Robert Habeck, Olaf Scholz, Martin Schulz;Donald Trump, John F. Kennedy, Gerald Ford;Berlin, New York, Kyiv;Gardasee, Lake Michigan, Bodensee;K2, Mount Everest, Zugspitze;Berlin, Paris, Madrid;Germany, France, UK;Thailand, Vietnam, China;Europe, North America, Asia;Eagle, Magpie, Owl;Zebra, Elephant, Lion;Bed, Sofa, Table;Zucchini, Aubergine, Peppers;Burger, Fries, Pizza;Eiffeltower, Brandenburg Gate, London Eye;Deutsche Lufthansa AG, Volkswagen AG, Fresenius AG;Apple, Alphabet, Tesla Motors;Alphabet, Apple, Oracle;28;Male;Master's degree;Germany
2022/03/01 6:31:24 PM OEZ;Home Alone, matrix, titanic ;Nicole Kidman, Meryl Streep, Penelope Cruz;Jazz, pop, hip-hop;Idiot, Noisy Bear, Being and Time;Dostoevsky, Nabokov, Bradbury;Merkel, Obama, Biden;Obama, Biden, Lincoln ;Leuven, Chisinau, Moscow;Geneva lake Baikal lake, Lugano Lake;Alps, Jura, Carpaty ;Brussels, Paris, Berlin;Austria, Germany, France ;Vietnam, Thailand, Japan ;Asia, Africa, Australia ;Sparrow, eagle, gull;Elephant, zebra, giraffe;Chair, table, cabinet;Bell pepper, aubergine, tomato;Fries, burger, nuggets ;Eiffel Tower, Big Ben, Maneken Piss;Zalando, Volkswagen, Daimler;Walmart, Amazon, Apple;Tesla, Google, Microsoft ;34;Female;Master's degree;Switzerland 
2022/03/01 7:08:11 PM OEZ;Matrix;Leonardo DiCaprio, Dwayne Johnson, Tom Holland;Pop, Jazz, Swing;Artemis Fowl, Harry Potter and the Philisopher's Stone, Dune;J.K. Rowling, George R. R. Martin, Eoin Colfer;Angela Merkel, Emanuel Macron, Olaf Scholz;Barrack Obama, Donald Trump, Joe Biden;Paris, Berlin, London;Bodensee;Mount Everest, Zugspitze, Mount Rushmore;Berlin, Amsterdam, Paris;Germany, France, Spain;China, Korea, Japan;Asia, Europe, Africa;Eagle, Dove, Pigeon;Elephant, Lion, Hyena;Chair, Sofa, Table;Zucchini, Eggplant, Carrot;Burgers, Sandwiches, Pizza;Eiffel Tower, Brandenburger Tor, Neuschwansteiner Schloss;Mercedes-Benz, BASF, SAP;Microsoft, Apple, Google;Apple, Microsoft, Google;27;Male;Bachelor's degree;Germany
2022/03/01 7:27:46 PM OEZ;Oceans 11, Star Wars, Harry Potter;George Clooney, Amanda Seyfried, Matt Damon;Rock, Pop, Classic;Unterleuten, Vernichtung, Lord of the Flies;Juli Zeh, Michel Houellebecq, Michael Lewis;Angela Merkel, Boris Johnson, Arnold Schwarzenegger;Washington, Adams, Madison;Brussels, London, Berlin;Garda lake, Tegernsee, Bodensee;Mont Blanc, Mount Everest, K2;Brussels, London, Berlin;Germany, Switzerland, Denmark;Myanmar, China, Japan;Europe, Africa, Asia;Eagle, Sparrow, Duck;Lion, Giraffe, elephant ;Couch, Chair, Wardrobe;Cucumber, Tomato, Grapes;Burger, Pommes, Döner;Brandenburg Gate, Big Ben, Tower Bridge;SAP, BASF, Zalando;Stripe, Apple, Microsoft;Stripe, Apple, Microsoft;27;Male;Master's degree;Germany
2022/03/01 7:39:15 PM OEZ;Pretty Woman, Der mit dem Wolf tanzt, Das Schweigen der Lämmer;Angelina Jolie, Bratt Pitt, Moritz Bleibtreu;Jazz, R'n'B, HipHop;Kleider machen Leute, Bibel, Meine Spielzüge;J.K. Rowling, Sebastian Fitzek, Martin Suter;Merkel, Clinton, Putin;Clinton, Bush, Trump;Berlin, Amsterdam, Köln;Bodenseee, Gardasee, Michigansee;Vogelsberg, Sandberg, K2;Rome, Brüssel, Berlin;Bulgarien, Polen, Italien;Thailand, China, Pakistan;Asien, Afrika, Europa;Adler, Bussard, Amsel;Löwe, Elefant, Antilope;Stuhl, Tisch, Schrank;Gurke, Paprika, Radieschen;Burger, Pizza, Asiatisch;Eifelturm, Brandenburger Tor, London Eye;BASF, BMW, Allianz;3M, AT&T, Nike;Amazon, Apple, Alphabet;27;Male;Master's degree;Germany
2022/03/01 7:49:14 PM OEZ;American Pie 1, American Pie 2, American Pie 3;Brad Pitt, Robert de Niro, Ben Affleck;Rap, Pop, Metal;Souverän investieren mit etf's, Der Herr der Ringe, 1984;Sebastian Fitzek, Gerd Kommer;Olaf Scholz, Vladimir Putin, Ursula von der Leyen;Bill Clinton, George W. Bush, Barack Obama;Berlin, London, Belfast;Bodensee, Gardasee, Tegernsee;Mount Everest, Königstuhl, Großglockner;Berlin, Paris, London;Germany, Austria, Switzerland;Taiwan, West Taiwan, Japan;Europe, Africa, Australia;Eagle, Falcon, Ostrich;Lion, Elephant, Giraffe;Couch, Dining Table, Bed;Potatoes, Carotte, Beans;Bürger, Pizza, Chips ;Odenwald, Alps, Cote d'azur;Volkswagen, Adidas, Rheinmetall;Apple, Google, Microsoft;Apple, Google, Microsoft;28;Male;High school degree or equivalent;Germany
2022/03/01 8:02:17 PM OEZ;Matrix, Pulp Fiction, Shawshank Redemption ;Robert De Niro, Tom Hanks, Christoph Waltz;Rock, Pop, Classical;1984, Harry Potter and the Philosopher's Stone, Lord of the rings;George Orwell, George R. R. Martin, Ernest Cline;Wladimir Putin, Marcus Tullius Cicero, Angela Merkel ;George Washington, Abraham Lincoln, Barack Obama;Heidelberg, New York, Mailand ;Lake Constance, Lake Garda, Lake Baikal;Zugspitze, Mount Everest, Kilimanjaro;Rome, Madrid, London ;Germany, France, Spain ;China, Japan, India;Australia, North America, South America;Eagle, Penguin, Kiwi;Elephant, Giraffe, Chetah;Chair, Table, Bed ;Tomato, Potato, Carrot;Pizza, Döner Kebab, Currywurst ;Brandenburg Gate, Colosseum, Eiffel Tower;VW, SAP, Heidelberg Cement;Ford, GM, Google;Google, Palantir, Uber;29;Male;Master's degree;Germany
