"euCap","name"
"http://dbpedia.org/resource/European_Capital_of_Culture","European Capital of Culture"
"http://dbpedia.org/resource/Podgorica","Podgorica"
"http://dbpedia.org/resource/City_of_San_Marino","City of San Marino"
"http://dbpedia.org/resource/Kyiv","Kyiv"
"http://dbpedia.org/resource/Amsterdam","Amsterdam"
"http://dbpedia.org/resource/Athens","Athens"
"http://dbpedia.org/resource/Berlin","Berlin"
"http://dbpedia.org/resource/Copenhagen","Copenhagen"
"http://dbpedia.org/resource/Dublin","Dublin"
"http://dbpedia.org/resource/Helsinki","Helsinki"
"http://dbpedia.org/resource/Lisbon","Lisbon"
"http://dbpedia.org/resource/London","London"
"http://dbpedia.org/resource/Moscow","Moscow"
"http://dbpedia.org/resource/Andorra_la_Vella","Andorra la Vella"
"http://dbpedia.org/resource/Belgrade","Belgrade"
"http://dbpedia.org/resource/Bucharest","Bucharest"
"http://dbpedia.org/resource/Budapest","Budapest"
"http://dbpedia.org/resource/Chișinău","Chișinău"
"http://dbpedia.org/resource/Ljubljana","Ljubljana"
"http://dbpedia.org/resource/Luxembourg_City","Luxembourg City"
"http://dbpedia.org/resource/Minsk","Minsk"
"http://dbpedia.org/resource/Nicosia","Nicosia"
"http://dbpedia.org/resource/Oslo","Oslo"
"http://dbpedia.org/resource/Paris","Paris"
"http://dbpedia.org/resource/Prague","Prague"
"http://dbpedia.org/resource/Reykjavík","Reykjavík"
"http://dbpedia.org/resource/Riga","Riga"
"http://dbpedia.org/resource/Rome","Rome"
"http://dbpedia.org/resource/Sarajevo","Sarajevo"
"http://dbpedia.org/resource/Skopje","Skopje"
"http://dbpedia.org/resource/Sofia","Sofia"
"http://dbpedia.org/resource/Stockholm","Stockholm"
"http://dbpedia.org/resource/Tallinn","Tallinn"
"http://dbpedia.org/resource/Tbilisi","Tbilisi"
"http://dbpedia.org/resource/Tirana","Tirana"
"http://dbpedia.org/resource/Valletta","Valletta"
"http://dbpedia.org/resource/Vienna","Vienna"
"http://dbpedia.org/resource/Vilnius","Vilnius"
"http://dbpedia.org/resource/Warsaw","Warsaw"
"http://dbpedia.org/resource/Zagreb","Zagreb"
"http://dbpedia.org/resource/Bratislava","Bratislava"
"http://dbpedia.org/resource/Sukhumi","Sukhumi"
"http://dbpedia.org/resource/Westside,_Gibraltar","Westside, Gibraltar"
"http://dbpedia.org/resource/Pristina","Pristina"
"http://dbpedia.org/resource/Madrid","Madrid"
