"bird","name"
"http://dbpedia.org/resource/Nukupuʻu","Nukupuʻu"
"http://dbpedia.org/resource/Scaniornis","Scaniornis"
"http://dbpedia.org/resource/Tytthostonyx","Tytthostonyx"
"http://dbpedia.org/resource/Minggangia","Minggangia"
"http://dbpedia.org/resource/Plesiocathartes","Plesiocathartes"
"http://dbpedia.org/resource/Jay","Jay"
"http://dbpedia.org/resource/Myna","Myna"
"http://dbpedia.org/resource/Shoveler","Shoveler"
"http://dbpedia.org/resource/Solitaire_(bird)","Solitaire (bird)"
"http://dbpedia.org/resource/Thrasher","Thrasher"
"http://dbpedia.org/resource/Cox's_sandpiper","Cox's sandpiper"
"http://dbpedia.org/resource/Ergaticus","Ergaticus"
"http://dbpedia.org/resource/Greater_akialoa","Greater akialoa"
"http://dbpedia.org/resource/Mopsitta","Mopsitta"
"http://dbpedia.org/resource/Poecilurus","Poecilurus"
"http://dbpedia.org/resource/Muisca_antpitta","Muisca antpitta"
"http://dbpedia.org/resource/Parrotlet","Parrotlet"
"http://dbpedia.org/resource/Old_World_quail","Old World quail"
"http://dbpedia.org/resource/Eagle","Eagle"
"http://dbpedia.org/resource/Eonessa","Eonessa"
"http://dbpedia.org/resource/Fulmarine_petrel","Fulmarine petrel"
"http://dbpedia.org/resource/Quetzal","Quetzal"
"http://dbpedia.org/resource/Vulture","Vulture"
"http://dbpedia.org/resource/Hawk","Hawk"
"http://dbpedia.org/resource/Macaw","Macaw"
"http://dbpedia.org/resource/Partridge","Partridge"
"http://dbpedia.org/resource/Pheasant","Pheasant"
"http://dbpedia.org/resource/Condor","Condor"
"http://dbpedia.org/resource/Egret","Egret"
"http://dbpedia.org/resource/Magpie","Magpie"
"http://dbpedia.org/resource/Francolin","Francolin"
"http://dbpedia.org/resource/Stint","Stint"
"http://dbpedia.org/resource/Darwin's_finches","Darwin's finches"
"http://dbpedia.org/resource/Kākāriki","Kākāriki"
"http://dbpedia.org/resource/Caracara_(subfamily)","Caracara (subfamily)"
"http://dbpedia.org/resource/Flameback","Flameback"
"http://dbpedia.org/resource/Pompadour_green_pigeon","Pompadour green pigeon"
"http://dbpedia.org/resource/Scimitar_babbler","Scimitar babbler"
"http://dbpedia.org/resource/Pied_raven","Pied raven"
"http://dbpedia.org/resource/Odontopteryx","Odontopteryx"
"http://dbpedia.org/resource/Puffleg","Puffleg"
"http://dbpedia.org/resource/Greenbul","Greenbul"
"http://dbpedia.org/resource/Argus_bare-eye","Argus bare-eye"
"http://dbpedia.org/resource/Banded_pitta","Banded pitta"
"http://dbpedia.org/resource/Harpyhaliaetus","Harpyhaliaetus"
"http://dbpedia.org/resource/Hylocryptus","Hylocryptus"
"http://dbpedia.org/resource/Moluccan_swiftlet","Moluccan swiftlet"
"http://dbpedia.org/resource/Philippine_hawk-owl","Philippine hawk-owl"
"http://dbpedia.org/resource/Recurvebill","Recurvebill"
"http://dbpedia.org/resource/Spreo","Spreo"
"http://dbpedia.org/resource/Tit-tyrant","Tit-tyrant"
"http://dbpedia.org/resource/Warbling_antbird","Warbling antbird"
"http://dbpedia.org/resource/Thicketbird","Thicketbird"
"http://dbpedia.org/resource/Marsh_harrier","Marsh harrier"
"http://dbpedia.org/resource/Mockingbird","Mockingbird"
"http://dbpedia.org/resource/Shearwater","Shearwater"
"http://dbpedia.org/resource/Snipe","Snipe"
"http://dbpedia.org/resource/Treepie","Treepie"
"http://dbpedia.org/resource/Lamarqueavis","Lamarqueavis"
"http://dbpedia.org/resource/Apteryx_littoralis","Apteryx littoralis"
"http://dbpedia.org/resource/Cruschedula","Cruschedula"
"http://dbpedia.org/resource/Microscelis","Microscelis"
"http://dbpedia.org/resource/Auckland_Islands_shore_plover","Auckland Islands shore plover"
"http://dbpedia.org/resource/Todopsis","Todopsis"
"http://dbpedia.org/resource/Red-billed_hornbill","Red-billed hornbill"
"http://dbpedia.org/resource/Indian_Ocean_kestrels","Indian Ocean kestrels"
"http://dbpedia.org/resource/Liptornis","Liptornis"
"http://dbpedia.org/resource/Eutreptodactylus","Eutreptodactylus"
"http://dbpedia.org/resource/Chloropeta","Chloropeta"
"http://dbpedia.org/resource/Logrunners","Logrunners"
"http://dbpedia.org/resource/King_of_Holland's_bird-of-paradise","King of Holland's bird-of-paradise"
"http://dbpedia.org/resource/Lyre-tailed_king_bird-of-paradise","Lyre-tailed king bird-of-paradise"
"http://dbpedia.org/resource/Elaphrocnemus","Elaphrocnemus"
"http://dbpedia.org/resource/Paleopsilopterus","Paleopsilopterus"
"http://dbpedia.org/resource/Lonchodytes","Lonchodytes"
"http://dbpedia.org/resource/Manu_(bird)","Manu (bird)"
"http://dbpedia.org/resource/Precursor_(bird)","Precursor (bird)"
"http://dbpedia.org/resource/Night_heron","Night heron"
"http://dbpedia.org/resource/Tattler_(bird)","Tattler (bird)"
"http://dbpedia.org/resource/Bean_goose","Bean goose"
"http://dbpedia.org/resource/Vietnamese_pheasant","Vietnamese pheasant"
"http://dbpedia.org/resource/Corvitalusoides","Corvitalusoides"
"http://dbpedia.org/resource/Pumiliornis","Pumiliornis"
"http://dbpedia.org/resource/Cream-bellied_munia","Cream-bellied munia"
"http://dbpedia.org/resource/Palaeochenoides","Palaeochenoides"
"http://dbpedia.org/resource/Domestic_goose","Domestic goose"
"http://dbpedia.org/resource/Barbados_rail","Barbados rail"
"http://dbpedia.org/resource/Songlark","Songlark"
