"fur","name"
"http://dbpedia.org/resource/A._Roy_Knabenshue","A. Roy Knabenshue"
"http://dbpedia.org/resource/AEREON_26","AEREON 26"
"http://dbpedia.org/resource/Motorcycle_tyre","Motorcycle tyre"
"http://dbpedia.org/resource/Muriel_Coleman","Muriel Coleman"
"http://dbpedia.org/resource/Walter_Wellman","Walter Wellman"
"http://dbpedia.org/resource/Warbirds_(video_game)","Warbirds (video game)"
"http://dbpedia.org/resource/Ward_Van_Orman","Ward Van Orman"
"http://dbpedia.org/resource/Warren_Platner","Warren Platner"
"http://dbpedia.org/resource/Warren_Whitlinger","Warren Whitlinger"
"http://dbpedia.org/resource/Wendell_Castle","Wendell Castle"
"http://dbpedia.org/resource/Wendy_Maruyama","Wendy Maruyama"
"http://dbpedia.org/resource/Wes_Smith_(curler)","Wes Smith (curler)"
"http://dbpedia.org/resource/Wesley_Bennett","Wesley Bennett"
"http://dbpedia.org/resource/Wilbur_Fox","Wilbur Fox"
"http://dbpedia.org/resource/E-class_blimp","E-class blimp"
"http://dbpedia.org/resource/EKIP","EKIP"
"http://dbpedia.org/resource/Earthly_Vanity_and_Divine_Salvation_(Memling)","Earthly Vanity and Divine Salvation (Memling)"
"http://dbpedia.org/resource/Vera_Simons","Vera Simons"
"http://dbpedia.org/resource/Air-supported_structure","Air-supported structure"
"http://dbpedia.org/resource/AirBoss_of_America","AirBoss of America"
"http://dbpedia.org/resource/Aircraft_seat_map","Aircraft seat map"
"http://dbpedia.org/resource/Aircraft_tire","Aircraft tire"
"http://dbpedia.org/resource/Aircruise","Aircruise"
"http://dbpedia.org/resource/Airless_tire","Airless tire"
"http://dbpedia.org/resource/Airline_seat","Airline seat"
"http://dbpedia.org/resource/Airship_Ventures","Airship Ventures"
"http://dbpedia.org/resource/Airship_hangar","Airship hangar"
"http://dbpedia.org/resource/Akron_Firestone_Non-Skids","Akron Firestone Non-Skids"
"http://dbpedia.org/resource/Eraldo_Ilari","Eraldo Ilari"
"http://dbpedia.org/resource/Nimbus_EosXi","Nimbus EosXi"
"http://dbpedia.org/resource/Harry_Vines","Harry Vines"
"http://dbpedia.org/resource/Pirelli_Star_Driver","Pirelli Star Driver"
"http://dbpedia.org/resource/Quaratesi_Polyptych","Quaratesi Polyptych"
"http://dbpedia.org/resource/La_France_(airship)","La France (airship)"
"http://dbpedia.org/resource/War_rugs","War rugs"
"http://dbpedia.org/resource/Karabakh_carpet","Karabakh carpet"
"http://dbpedia.org/resource/Privileged_altar","Privileged altar"
"http://dbpedia.org/resource/Warren_McArthur","Warren McArthur"
"http://dbpedia.org/resource/Airpac_Enterprises","Airpac Enterprises"
"http://dbpedia.org/resource/Airport_Transit_System","Airport Transit System"
