"pol","name"
"http://dbpedia.org/resource/A._D._Loganathan","A. D. Loganathan"
"http://dbpedia.org/resource/A._David_Mazzone","A. David Mazzone"
"http://dbpedia.org/resource/A._I._Katsina-Alu","A. I. Katsina-Alu"
"http://dbpedia.org/resource/A._Jeff_McLemore","A. Jeff McLemore"
"http://dbpedia.org/resource/A._Kumarathurai","A. Kumarathurai"
"http://dbpedia.org/resource/A._Scott_Sloan","A. Scott Sloan"
"http://dbpedia.org/resource/A._Thangathurai","A. Thangathurai"
"http://dbpedia.org/resource/A._Vijayaraghavan","A. Vijayaraghavan"
"http://dbpedia.org/resource/A._Wallace_Tashima","A. Wallace Tashima"
"http://dbpedia.org/resource/Aaron_Abel_Wright","Aaron Abel Wright"
"http://dbpedia.org/resource/Aase_Lionæs","Aase Lionæs"
"http://dbpedia.org/resource/Abdallah_ibn_Amir","Abdallah ibn Amir"
"http://dbpedia.org/resource/Abdel_Khaliq_Mahjub","Abdel Khaliq Mahjub"
"http://dbpedia.org/resource/Abdul_Hamid_Omar","Abdul Hamid Omar"
"http://dbpedia.org/resource/Abdul_Qadir_Alam","Abdul Qadir Alam"
"http://dbpedia.org/resource/Abel_Alier","Abel Alier"
"http://dbpedia.org/resource/Abhishek_Singhvi","Abhishek Singhvi"
"http://dbpedia.org/resource/Abraham_Hoagland","Abraham Hoagland"
"http://dbpedia.org/resource/Abraham_Ten_Broeck","Abraham Ten Broeck"
"http://dbpedia.org/resource/Abu_Azmi","Abu Azmi"
"http://dbpedia.org/resource/Abubakar_Saleh_Michika","Abubakar Saleh Michika"
"http://dbpedia.org/resource/Adam_M._Byrd","Adam M. Byrd"
"http://dbpedia.org/resource/Adam_Zimmerman","Adam Zimmerman"
"http://dbpedia.org/resource/Adeline_Geo-Karis","Adeline Geo-Karis"
"http://dbpedia.org/resource/Adolphus_Sterne","Adolphus Sterne"
"http://dbpedia.org/resource/Adrien_Lambert","Adrien Lambert"
"http://dbpedia.org/resource/Adélard_Turgeon","Adélard Turgeon"
"http://dbpedia.org/resource/Aemilius_Irving","Aemilius Irving"
"http://dbpedia.org/resource/Agathon_Rwasa","Agathon Rwasa"
"http://dbpedia.org/resource/Agus_Martowardojo","Agus Martowardojo"
"http://dbpedia.org/resource/Ahmed_Ezz_(businessman)","Ahmed Ezz (businessman)"
"http://dbpedia.org/resource/Aileen_Gunther","Aileen Gunther"
"http://dbpedia.org/resource/Aindrias_Ó_Caoimh_(attorney_general)","Aindrias Ó Caoimh (attorney general)"
"http://dbpedia.org/resource/Aisha_N._Braveboy","Aisha N. Braveboy"
"http://dbpedia.org/resource/Ajay_Singh_Chautala","Ajay Singh Chautala"
"http://dbpedia.org/resource/Ajoy_Mukherjee","Ajoy Mukherjee"
"http://dbpedia.org/resource/Akhilesh_Das","Akhilesh Das"
"http://dbpedia.org/resource/Akinlabi_Olasunkanmi","Akinlabi Olasunkanmi"
"http://dbpedia.org/resource/Akira_Amari","Akira Amari"
"http://dbpedia.org/resource/Al_Riley","Al Riley"
"http://dbpedia.org/resource/Alaeddin_Pasha","Alaeddin Pasha"
"http://dbpedia.org/resource/Alain_Garant","Alain Garant"
"http://dbpedia.org/resource/Alain_Le_Vern","Alain Le Vern"
"http://dbpedia.org/resource/Alain_Marleix","Alain Marleix"
"http://dbpedia.org/resource/Alain_Tardif","Alain Tardif"
"http://dbpedia.org/resource/Alan_Cropsey","Alan Cropsey"
"http://dbpedia.org/resource/Alan_Finkel","Alan Finkel"
"http://dbpedia.org/resource/Alan_G._Lance_Sr.","Alan G. Lance Sr."
"http://dbpedia.org/resource/Alan_Hunt_(politician)","Alan Hunt (politician)"
"http://dbpedia.org/resource/Alan_Kelly_(politician)","Alan Kelly (politician)"
"http://dbpedia.org/resource/Alan_West,_Baron_West_of_Spithead","Alan West, Baron West of Spithead"
"http://dbpedia.org/resource/Alannah_MacTiernan","Alannah MacTiernan"
"http://dbpedia.org/resource/Albert_A._Carmichael","Albert A. Carmichael"
"http://dbpedia.org/resource/Albert_Coppé","Albert Coppé"
"http://dbpedia.org/resource/Albert_E._Mead","Albert E. Mead"
"http://dbpedia.org/resource/Albert_Ewing","Albert Ewing"
"http://dbpedia.org/resource/Albert_F._Jones","Albert F. Jones"
"http://dbpedia.org/resource/Albert_Galliton_Harrison","Albert Galliton Harrison"
"http://dbpedia.org/resource/Albert_I._Beach","Albert I. Beach"
"http://dbpedia.org/resource/Albert_L._Vreeland","Albert L. Vreeland"
"http://dbpedia.org/resource/Albert_N._Carlblom","Albert N. Carlblom"
"http://dbpedia.org/resource/Albert_R._Howe","Albert R. Howe"
"http://dbpedia.org/resource/Albert_Richard_Thomas","Albert Richard Thomas"
"http://dbpedia.org/resource/Albert_Thompson_(Australian_politician)","Albert Thompson (Australian politician)"
"http://dbpedia.org/resource/Albiny_Paquette","Albiny Paquette"
"http://dbpedia.org/resource/Alejo_Mabanag","Alejo Mabanag"
"http://dbpedia.org/resource/Alekos_Michaelides","Alekos Michaelides"
"http://dbpedia.org/resource/Alex_Jupp","Alex Jupp"
"http://dbpedia.org/resource/Alex_White_(politician)","Alex White (politician)"
"http://dbpedia.org/resource/Alexander_Campbell_(Illinois_politician)","Alexander Campbell (Illinois politician)"
"http://dbpedia.org/resource/Alexander_D._Sims","Alexander D. Sims"
"http://dbpedia.org/resource/Alexander_Graves","Alexander Graves"
"http://dbpedia.org/resource/Alexander_James_Grant","Alexander James Grant"
"http://dbpedia.org/resource/Alexander_Lipsey","Alexander Lipsey"
"http://dbpedia.org/resource/Alexander_Lomaia","Alexander Lomaia"
"http://dbpedia.org/resource/Alexander_Manning","Alexander Manning"
"http://dbpedia.org/resource/Alexander_McLaren","Alexander McLaren"
"http://dbpedia.org/resource/Alexander_S._McDill","Alexander S. McDill"
"http://dbpedia.org/resource/Alexander_S._Wallace","Alexander S. Wallace"
"http://dbpedia.org/resource/Alexandre_Cyr","Alexandre Cyr"
"http://dbpedia.org/resource/Alfonso_C._Stabile","Alfonso C. Stabile"
"http://dbpedia.org/resource/Alfred_Augustus_Stockton","Alfred Augustus Stockton"
"http://dbpedia.org/resource/Alfred_Blaisdell","Alfred Blaisdell"
"http://dbpedia.org/resource/Alfred_Briggs_Irion","Alfred Briggs Irion"
"http://dbpedia.org/resource/Alfred_Cadman","Alfred Cadman"
"http://dbpedia.org/resource/Alfred_Dennis_Sieminski","Alfred Dennis Sieminski"
"http://dbpedia.org/resource/Alfred_Girard","Alfred Girard"
"http://dbpedia.org/resource/Alfred_H._Powell","Alfred H. Powell"
"http://dbpedia.org/resource/Alfred_L._Bulwinkle","Alfred L. Bulwinkle"
"http://dbpedia.org/resource/Alfred_Marshall_(politician)","Alfred Marshall (politician)"
"http://dbpedia.org/resource/Alfred_Morrison_Lay","Alfred Morrison Lay"
"http://dbpedia.org/resource/Alfred_Rowland","Alfred Rowland"
"http://dbpedia.org/resource/Alfred_Speakman","Alfred Speakman"
"http://dbpedia.org/resource/Alfred_Thomas_Gurd","Alfred Thomas Gurd"
"http://dbpedia.org/resource/Alfredo_Benipayo","Alfredo Benipayo"
"http://dbpedia.org/resource/Alfredo_Santos","Alfredo Santos"
"http://dbpedia.org/resource/Ali_Anwar","Ali Anwar"
"http://dbpedia.org/resource/Ali_Matan_Hashi","Ali Matan Hashi"
"http://dbpedia.org/resource/Ali_Pasha_Rizvanbegović","Ali Pasha Rizvanbegović"
"http://dbpedia.org/resource/Alison_Anderson","Alison Anderson"
"http://dbpedia.org/resource/Allan_Benny","Allan Benny"
"http://dbpedia.org/resource/Allan_Chapman_(politician)","Allan Chapman (politician)"
"http://dbpedia.org/resource/Allan_Fraser_(Australian_politician)","Allan Fraser (Australian politician)"
"http://dbpedia.org/resource/Allan_Pietz","Allan Pietz"
"http://dbpedia.org/resource/Allard_H._Gasque","Allard H. Gasque"
"http://dbpedia.org/resource/Allen_Joines","Allen Joines"
"http://dbpedia.org/resource/Allen_R._Bushnell","Allen R. Bushnell"
"http://dbpedia.org/resource/Allen_West_(politician)","Allen West (politician)"
"http://dbpedia.org/resource/Alphaeus_Patterson","Alphaeus Patterson"
"http://dbpedia.org/resource/Ambrose_L._Jordan","Ambrose L. Jordan"
"http://dbpedia.org/resource/Ameurfina_Melencio-Herrera","Ameurfina Melencio-Herrera"
"http://dbpedia.org/resource/Amir_Muhammad_Akhundzada","Amir Muhammad Akhundzada"
"http://dbpedia.org/resource/Amir_Reza_Khadem","Amir Reza Khadem"
"http://dbpedia.org/resource/Amos_Clark_Jr.","Amos Clark Jr."
"http://dbpedia.org/resource/Amos_H._Radcliffe","Amos H. Radcliffe"
"http://dbpedia.org/resource/Amos_L._Allen","Amos L. Allen"
"http://dbpedia.org/resource/Ana_Sol_Gutierrez","Ana Sol Gutierrez"
"http://dbpedia.org/resource/Anand_Sharma","Anand Sharma"
"http://dbpedia.org/resource/Anatoly_Pepelyayev","Anatoly Pepelyayev"
"http://dbpedia.org/resource/Ancízar_López_López","Ancízar López López"
"http://dbpedia.org/resource/Anders_Anundsen","Anders Anundsen"
"http://dbpedia.org/resource/Anders_Hansson_(politician)","Anders Hansson (politician)"
"http://dbpedia.org/resource/Andrea_Conte","Andrea Conte"
"http://dbpedia.org/resource/Andrea_del_Rosario","Andrea del Rosario"
"http://dbpedia.org/resource/Andreas_Norlén","Andreas Norlén"
"http://dbpedia.org/resource/Andrej_Ďurkovský","Andrej Ďurkovský"
"http://dbpedia.org/resource/Andrew_A._Bruce","Andrew A. Bruce"
"http://dbpedia.org/resource/Andrew_C._McCarthy","Andrew C. McCarthy"
"http://dbpedia.org/resource/Andrew_Davis_Bruce","Andrew Davis Bruce"
"http://dbpedia.org/resource/Andrew_Fabian","Andrew Fabian"
"http://dbpedia.org/resource/Andrew_H._Mickle","Andrew H. Mickle"
"http://dbpedia.org/resource/Andrew_Malcolm_(politician)","Andrew Malcolm (politician)"
"http://dbpedia.org/resource/Andrew_Miller_(North_Dakota_judge)","Andrew Miller (North Dakota judge)"
"http://dbpedia.org/resource/Andrew_Pattulo","Andrew Pattulo"
"http://dbpedia.org/resource/Andrew_Price_(politician)","Andrew Price (politician)"
