"90film","name"
"http://dbpedia.org/resource/5_Men_and_a_Limo","5 Men and a Limo"
"http://dbpedia.org/resource/A_Flintstones_Christmas_Carol","A Flintstones Christmas Carol"
"http://dbpedia.org/resource/A_Friend_to_Die_For","A Friend to Die For"
"http://dbpedia.org/resource/A_Streetcar_Named_Desire_(1995_film)","A Streetcar Named Desire (1995 film)"
"http://dbpedia.org/resource/Absolute_Giganten","Absolute Giganten"
"http://dbpedia.org/resource/Alice_and_Martin","Alice and Martin"
"http://dbpedia.org/resource/All_I_Want_for_Christmas_(film)","All I Want for Christmas (film)"
"http://dbpedia.org/resource/An_Act_of_Conscience","An Act of Conscience"
"http://dbpedia.org/resource/Babes_in_Toyland_(1997_film)","Babes in Toyland (1997 film)"
"http://dbpedia.org/resource/Black_Tar_Heroin_(film)","Black Tar Heroin (film)"
"http://dbpedia.org/resource/Blood_Is_Not_Fresh_Water","Blood Is Not Fresh Water"
"http://dbpedia.org/resource/Bogwoman","Bogwoman"
"http://dbpedia.org/resource/Born_to_Be_Wild_(1995_film)","Born to Be Wild (1995 film)"
"http://dbpedia.org/resource/Butterfly_Kiss","Butterfly Kiss"
"http://dbpedia.org/resource/Bye_Bye_Africa","Bye Bye Africa"
"http://dbpedia.org/resource/Bye_Bye_Love_(film)","Bye Bye Love (film)"
"http://dbpedia.org/resource/Calvento_Files","Calvento Files"
"http://dbpedia.org/resource/Cambodia:_Between_War_and_Peace","Cambodia: Between War and Peace"
"http://dbpedia.org/resource/Can't_Stop_Dancing","Can't Stop Dancing"
"http://dbpedia.org/resource/Chandralekha_(1997_film)","Chandralekha (1997 film)"
"http://dbpedia.org/resource/Clearcut_(film)","Clearcut (film)"
"http://dbpedia.org/resource/Darkman_II:_The_Return_of_Durant","Darkman II: The Return of Durant"
"http://dbpedia.org/resource/Daulat_Ki_Jung","Daulat Ki Jung"
"http://dbpedia.org/resource/Deathline","Deathline"
"http://dbpedia.org/resource/Dennis_the_Menace_Strikes_Again","Dennis the Menace Strikes Again"
"http://dbpedia.org/resource/Destiny_in_Space","Destiny in Space"
"http://dbpedia.org/resource/Diana's_Hair_Ego","Diana's Hair Ego"
"http://dbpedia.org/resource/Dog_Years_(1997_film)","Dog Years (1997 film)"
"http://dbpedia.org/resource/Fantozzi_2000_–_La_clonazione","Fantozzi 2000 – La clonazione"
"http://dbpedia.org/resource/Fantozzi_in_paradiso","Fantozzi in paradiso"
"http://dbpedia.org/resource/Fire_Dragon","Fire Dragon"
"http://dbpedia.org/resource/Flypaper_(1997_film)","Flypaper (1997 film)"
"http://dbpedia.org/resource/Freedom_on_My_Mind","Freedom on My Mind"
"http://dbpedia.org/resource/Gang_War:_Bangin'_In_Little_Rock","Gang War: Bangin' In Little Rock"
"http://dbpedia.org/resource/Ghost_Brigade","Ghost Brigade"
"http://dbpedia.org/resource/Girls_Like_Us","Girls Like Us"
"http://dbpedia.org/resource/Gloria_(1999_American_film)","Gloria (1999 American film)"
"http://dbpedia.org/resource/Gravesend_(film)","Gravesend (film)"
"http://dbpedia.org/resource/Greetings_from_Out_Here","Greetings from Out Here"
"http://dbpedia.org/resource/Hiram_Na_Mukha_(film)","Hiram Na Mukha (film)"
"http://dbpedia.org/resource/House_of_Angels","House of Angels"
"http://dbpedia.org/resource/House_of_Cards_(1993_film)","House of Cards (1993 film)"
"http://dbpedia.org/resource/Humanité","Humanité"
"http://dbpedia.org/resource/I_Like_You,_I_Like_You_Very_Much","I Like You, I Like You Very Much"
"http://dbpedia.org/resource/Identity_Pieces","Identity Pieces"
"http://dbpedia.org/resource/In_the_Soup","In the Soup"
"http://dbpedia.org/resource/Ironclads_(film)","Ironclads (film)"
"http://dbpedia.org/resource/Jackie_Chan:_My_Stunts","Jackie Chan: My Stunts"
"http://dbpedia.org/resource/Jallaad","Jallaad"
"http://dbpedia.org/resource/Jonny_Quest_vs._The_Cyber_Insects","Jonny Quest vs. The Cyber Insects"
"http://dbpedia.org/resource/Julia_Has_Two_Lovers","Julia Has Two Lovers"
"http://dbpedia.org/resource/Junoon_(1992_film)","Junoon (1992 film)"
"http://dbpedia.org/resource/Keemat_–_They_Are_Back","Keemat – They Are Back"
"http://dbpedia.org/resource/Khiladi_(1992_film)","Khiladi (1992 film)"
"http://dbpedia.org/resource/Kickboxer_2","Kickboxer 2"
"http://dbpedia.org/resource/Lekin...","Lekin..."
"http://dbpedia.org/resource/Linda_Sara","Linda Sara"
"http://dbpedia.org/resource/Little_Thieves,_Big_Thieves","Little Thieves, Big Thieves"
"http://dbpedia.org/resource/Livin'_Large","Livin' Large"
"http://dbpedia.org/resource/Los_Locos","Los Locos"
"http://dbpedia.org/resource/Love_Can_Seriously_Damage_Your_Health","Love Can Seriously Damage Your Health"
"http://dbpedia.org/resource/Mad_City_(film)","Mad City (film)"
"http://dbpedia.org/resource/Madagascar_Skin","Madagascar Skin"
"http://dbpedia.org/resource/Mammo","Mammo"
"http://dbpedia.org/resource/Midnight_Ramble_(film)","Midnight Ramble (film)"
