"actor","name"
"http://dbpedia.org/resource/A._J._Bowen","A. J. Bowen"
"http://dbpedia.org/resource/Abbas_Mirza_Sharifzadeh","Abbas Mirza Sharifzadeh"
"http://dbpedia.org/resource/Ace_Bhatti","Ace Bhatti"
"http://dbpedia.org/resource/Ahmed_Ahmed","Ahmed Ahmed"
"http://dbpedia.org/resource/Akara_Amarttayakul","Akara Amarttayakul"
"http://dbpedia.org/resource/Albert_Lieven","Albert Lieven"
"http://dbpedia.org/resource/Alex_Wyndham","Alex Wyndham"
"http://dbpedia.org/resource/Alexander_Ludwig","Alexander Ludwig"
"http://dbpedia.org/resource/Alf_Kjellin","Alf Kjellin"
"http://dbpedia.org/resource/Ali_(actor)","Ali (actor)"
"http://dbpedia.org/resource/Arthur_Batanides","Arthur Batanides"
"http://dbpedia.org/resource/Arturo_Puig","Arturo Puig"
"http://dbpedia.org/resource/Axel_Düberg","Axel Düberg"
"http://dbpedia.org/resource/Barbara_Sheldon","Barbara Sheldon"
"http://dbpedia.org/resource/Benkt-Åke_Benktsson","Benkt-Åke Benktsson"
"http://dbpedia.org/resource/Bert_Remsen","Bert Remsen"
"http://dbpedia.org/resource/Bill_D'Elia","Bill D'Elia"
"http://dbpedia.org/resource/Bill_Duff","Bill Duff"
"http://dbpedia.org/resource/Bill_Nestell","Bill Nestell"
"http://dbpedia.org/resource/Billy_Kay_(actor)","Billy Kay (actor)"
"http://dbpedia.org/resource/Billy_Van_Zandt","Billy Van Zandt"
"http://dbpedia.org/resource/Bob_Kortman","Bob Kortman"
"http://dbpedia.org/resource/Bob_McKenzie_(actor)","Bob McKenzie (actor)"
"http://dbpedia.org/resource/Bobby_Buntrock","Bobby Buntrock"
"http://dbpedia.org/resource/Brendan_Coyle","Brendan Coyle"
"http://dbpedia.org/resource/Brendan_O'Brien_(voice_actor)","Brendan O'Brien (voice actor)"
"http://dbpedia.org/resource/Brian_Matthews_(actor)","Brian Matthews (actor)"
"http://dbpedia.org/resource/Bruce_Ramsay","Bruce Ramsay"
"http://dbpedia.org/resource/Bruno_Choël","Bruno Choël"
"http://dbpedia.org/resource/Bryant_Washburn","Bryant Washburn"
"http://dbpedia.org/resource/Bud_Osborne","Bud Osborne"
"http://dbpedia.org/resource/Carl_Beukes","Carl Beukes"
"http://dbpedia.org/resource/Carl_Möhner","Carl Möhner"
"http://dbpedia.org/resource/Carlos_Gómez_(actor)","Carlos Gómez (actor)"
"http://dbpedia.org/resource/Carlos_Larrañaga","Carlos Larrañaga"
"http://dbpedia.org/resource/Charles_Aidman","Charles Aidman"
"http://dbpedia.org/resource/Charles_Arnt","Charles Arnt"
"http://dbpedia.org/resource/Charles_Halton","Charles Halton"
"http://dbpedia.org/resource/Charles_King_(character_actor)","Charles King (character actor)"
"http://dbpedia.org/resource/Charles_Newton_(actor)","Charles Newton (actor)"
"http://dbpedia.org/resource/Chief_Thundercloud","Chief Thundercloud"
"http://dbpedia.org/resource/Cho_Seung-woo","Cho Seung-woo"
"http://dbpedia.org/resource/Chris_Vance_(actor)","Chris Vance (actor)"
"http://dbpedia.org/resource/Christopher_Godwin","Christopher Godwin"
"http://dbpedia.org/resource/Clarence_Muse","Clarence Muse"
"http://dbpedia.org/resource/Claude_Brasseur","Claude Brasseur"
"http://dbpedia.org/resource/Clive_Rowe","Clive Rowe"
"http://dbpedia.org/resource/Cody_Arens","Cody Arens"
"http://dbpedia.org/resource/Craig_Gallivan","Craig Gallivan"
"http://dbpedia.org/resource/Cy_Kendall","Cy Kendall"
"http://dbpedia.org/resource/Daisuke_Nakamura","Daisuke Nakamura"
"http://dbpedia.org/resource/Dan_Ewing","Dan Ewing"
"http://dbpedia.org/resource/Danny_McBride","Danny McBride"
"http://dbpedia.org/resource/David_Kross","David Kross"
"http://dbpedia.org/resource/David_Ladd","David Ladd"
"http://dbpedia.org/resource/David_Mendenhall","David Mendenhall"
"http://dbpedia.org/resource/Denis_Lavant","Denis Lavant"
"http://dbpedia.org/resource/Derrick_O'Connor","Derrick O'Connor"
"http://dbpedia.org/resource/Earl_Dwire","Earl Dwire"
"http://dbpedia.org/resource/Eddie_Tamblyn","Eddie Tamblyn"
"http://dbpedia.org/resource/Eddy_Chandler","Eddy Chandler"
"http://dbpedia.org/resource/Eddy_Waller","Eddy Waller"
"http://dbpedia.org/resource/Eduard_Fernández","Eduard Fernández"
"http://dbpedia.org/resource/Edward_Peil_Sr.","Edward Peil Sr."
"http://dbpedia.org/resource/Ella_Smith_(actress)","Ella Smith (actress)"
"http://dbpedia.org/resource/Eloise_Mignon","Eloise Mignon"
"http://dbpedia.org/resource/Enis_Bešlagić","Enis Bešlagić"
"http://dbpedia.org/resource/Eric_Stonestreet","Eric Stonestreet"
"http://dbpedia.org/resource/Erik_Hell","Erik Hell"
"http://dbpedia.org/resource/Esko_Kovero","Esko Kovero"
"http://dbpedia.org/resource/Esko_Salminen","Esko Salminen"
"http://dbpedia.org/resource/Ethan_Laidlaw","Ethan Laidlaw"
"http://dbpedia.org/resource/Ferris_Taylor","Ferris Taylor"
"http://dbpedia.org/resource/Franco_Interlenghi","Franco Interlenghi"
"http://dbpedia.org/resource/Frank_Wood_(actor)","Frank Wood (actor)"
"http://dbpedia.org/resource/Fred_Berger_(actor)","Fred Berger (actor)"
"http://dbpedia.org/resource/Fuzzy_Knight","Fuzzy Knight"
