"afrAnimal","name"
"http://dbpedia.org/resource/Abo_bat","Abo bat"
"http://dbpedia.org/resource/Acanthixalus_sonjae","Acanthixalus sonjae"
"http://dbpedia.org/resource/Acanthodactylus_maculatus","Acanthodactylus maculatus"
"http://dbpedia.org/resource/African_giant_free-tailed_bat","African giant free-tailed bat"
"http://dbpedia.org/resource/African_goshawk","African goshawk"
"http://dbpedia.org/resource/African_pitta","African pitta"
"http://dbpedia.org/resource/African_red-eyed_bulbul","African red-eyed bulbul"
"http://dbpedia.org/resource/African_savanna_hare","African savanna hare"
"http://dbpedia.org/resource/Afrixalus_equatorialis","Afrixalus equatorialis"
"http://dbpedia.org/resource/Afrixalus_lacteus","Afrixalus lacteus"
"http://dbpedia.org/resource/Afrixalus_morerei","Afrixalus morerei"
"http://dbpedia.org/resource/Afrixalus_osorioi","Afrixalus osorioi"
"http://dbpedia.org/resource/Afrixalus_paradorsalis","Afrixalus paradorsalis"
"http://dbpedia.org/resource/Afrixalus_sylvaticus","Afrixalus sylvaticus"
"http://dbpedia.org/resource/Afrixalus_upembae","Afrixalus upembae"
"http://dbpedia.org/resource/Afrixalus_vibekensis","Afrixalus vibekensis"
"http://dbpedia.org/resource/Aglyptodactylus_madagascariensis","Aglyptodactylus madagascariensis"
"http://dbpedia.org/resource/Alexteroon_hypsiphonus","Alexteroon hypsiphonus"
"http://dbpedia.org/resource/Alexteroon_jynx","Alexteroon jynx"
"http://dbpedia.org/resource/Amietia_delalandii","Amietia delalandii"
"http://dbpedia.org/resource/Amietia_vertebralis","Amietia vertebralis"
"http://dbpedia.org/resource/Amietia_wittei","Amietia wittei"
"http://dbpedia.org/resource/Amnirana_albolabris","Amnirana albolabris"
"http://dbpedia.org/resource/Amnirana_darlingi","Amnirana darlingi"
"http://dbpedia.org/resource/Amnirana_lepus","Amnirana lepus"
"http://dbpedia.org/resource/Anchieta's_serotine","Anchieta's serotine"
"http://dbpedia.org/resource/Angolan_free-tailed_bat","Angolan free-tailed bat"
"http://dbpedia.org/resource/Angolan_hairy_bat","Angolan hairy bat"
"http://dbpedia.org/resource/Angolan_lark","Angolan lark"
"http://dbpedia.org/resource/Angolan_rousette","Angolan rousette"
"http://dbpedia.org/resource/Anilany","Anilany"
"http://dbpedia.org/resource/Anjouan_myotis","Anjouan myotis"
"http://dbpedia.org/resource/Arius_(fish)","Arius (fish)"
"http://dbpedia.org/resource/Arthroleptella_subvoce","Arthroleptella subvoce"
"http://dbpedia.org/resource/Arthroleptis_aureoli","Arthroleptis aureoli"
"http://dbpedia.org/resource/Arthroleptis_lameerei","Arthroleptis lameerei"
"http://dbpedia.org/resource/Arthroleptis_loveridgei","Arthroleptis loveridgei"
"http://dbpedia.org/resource/Arthroleptis_nikeae","Arthroleptis nikeae"
"http://dbpedia.org/resource/Arthroleptis_zimmeri","Arthroleptis zimmeri"
"http://dbpedia.org/resource/Ashy_tit","Ashy tit"
"http://dbpedia.org/resource/Asian_barbastelle","Asian barbastelle"
"http://dbpedia.org/resource/Astylosternus_batesi","Astylosternus batesi"
"http://dbpedia.org/resource/Astylosternus_fallax","Astylosternus fallax"
"http://dbpedia.org/resource/Astylosternus_montanus","Astylosternus montanus"
"http://dbpedia.org/resource/Astylosternus_nganhanus","Astylosternus nganhanus"
"http://dbpedia.org/resource/Astylosternus_perreti","Astylosternus perreti"
"http://dbpedia.org/resource/Astylosternus_rheophilus","Astylosternus rheophilus"
"http://dbpedia.org/resource/Astylosternus_schioetzi","Astylosternus schioetzi"
"http://dbpedia.org/resource/Barlow's_lark","Barlow's lark"
"http://dbpedia.org/resource/Barred_wren-warbler","Barred wren-warbler"
"http://dbpedia.org/resource/Batyr","Batyr"
"http://dbpedia.org/resource/Beatrix's_bat","Beatrix's bat"
"http://dbpedia.org/resource/Beautiful_mantella","Beautiful mantella"
"http://dbpedia.org/resource/Bennett's_woodpecker","Bennett's woodpecker"
"http://dbpedia.org/resource/Berber_toad","Berber toad"
"http://dbpedia.org/resource/Bibundi_bat","Bibundi bat"
"http://dbpedia.org/resource/Bini_free-tailed_bat","Bini free-tailed bat"
"http://dbpedia.org/resource/Black-bellied_bustard","Black-bellied bustard"
"http://dbpedia.org/resource/Black-headed_canary","Black-headed canary"
"http://dbpedia.org/resource/Black-headed_weaver","Black-headed weaver"
"http://dbpedia.org/resource/Black-tailed_tree_rat","Black-tailed tree rat"
"http://dbpedia.org/resource/Black_cuckooshrike","Black cuckooshrike"
"http://dbpedia.org/resource/Black_sparrowhawk","Black sparrowhawk"
"http://dbpedia.org/resource/Blue_vanga","Blue vanga"
"http://dbpedia.org/resource/Boehmantis","Boehmantis"
"http://dbpedia.org/resource/Botta's_serotine","Botta's serotine"
"http://dbpedia.org/resource/Breviceps_acutirostris","Breviceps acutirostris"
"http://dbpedia.org/resource/Breviceps_adspersus","Breviceps adspersus"
"http://dbpedia.org/resource/Breviceps_fichus","Breviceps fichus"
"http://dbpedia.org/resource/Broadley's_forest_tree_frog","Broadley's forest tree frog"
"http://dbpedia.org/resource/Buettikofer's_epauletted_fruit_bat","Buettikofer's epauletted fruit bat"
"http://dbpedia.org/resource/Burchell's_starling","Burchell's starling"
"http://dbpedia.org/resource/Cameroon_scaly-tail","Cameroon scaly-tail"
"http://dbpedia.org/resource/Cape_starling","Cape starling"
"http://dbpedia.org/resource/Cardioglossa_alsco","Cardioglossa alsco"
"http://dbpedia.org/resource/Cardioglossa_melanogaster","Cardioglossa melanogaster"
"http://dbpedia.org/resource/Cardioglossa_oreas","Cardioglossa oreas"
"http://dbpedia.org/resource/Cardioglossa_schioetzi","Cardioglossa schioetzi"
"http://dbpedia.org/resource/Cardioglossa_trifasciata","Cardioglossa trifasciata"
"http://dbpedia.org/resource/Cardioglossa_venusta","Cardioglossa venusta"
"http://dbpedia.org/resource/Carpitalpa","Carpitalpa"
"http://dbpedia.org/resource/Cave_squeaker","Cave squeaker"
"http://dbpedia.org/resource/Chiromantis_kelleri","Chiromantis kelleri"
"http://dbpedia.org/resource/Chiromantis_petersii","Chiromantis petersii"
"http://dbpedia.org/resource/Christie's_long-eared_bat","Christie's long-eared bat"
"http://dbpedia.org/resource/Common_squeaker","Common squeaker"
"http://dbpedia.org/resource/Conraua_robusta","Conraua robusta"
"http://dbpedia.org/resource/Crested_drongo","Crested drongo"
"http://dbpedia.org/resource/Dark-brown_serotine","Dark-brown serotine"
"http://dbpedia.org/resource/Delalande's_sand_frog","Delalande's sand frog"
"http://dbpedia.org/resource/Disney's_Greatest_Villains","Disney's Greatest Villains"
"http://dbpedia.org/resource/Duke_of_Abruzzi's_free-tailed_bat","Duke of Abruzzi's free-tailed bat"
"http://dbpedia.org/resource/Dune_lark","Dune lark"
"http://dbpedia.org/resource/Echinops_(mammal)","Echinops (mammal)"
"http://dbpedia.org/resource/Edible_bullfrog","Edible bullfrog"
"http://dbpedia.org/resource/Egyptian_tomb_bat","Egyptian tomb bat"
"http://dbpedia.org/resource/Ethiopian_hare","Ethiopian hare"
"http://dbpedia.org/resource/Ethiopian_large-eared_roundleaf_bat","Ethiopian large-eared roundleaf bat"
"http://dbpedia.org/resource/Eumeces_algeriensis","Eumeces algeriensis"
"http://dbpedia.org/resource/Felou_gundi","Felou gundi"
"http://dbpedia.org/resource/Flappet_lark","Flappet lark"
"http://dbpedia.org/resource/Forest_hinge-back_tortoise","Forest hinge-back tortoise"
"http://dbpedia.org/resource/Gephyromantis_pseudoasper","Gephyromantis pseudoasper"
"http://dbpedia.org/resource/Gephyromantis_tschenki","Gephyromantis tschenki"
"http://dbpedia.org/resource/Giraffe_seahorse","Giraffe seahorse"
"http://dbpedia.org/resource/Gland-tailed_free-tailed_bat","Gland-tailed free-tailed bat"
"http://dbpedia.org/resource/Golden-tailed_woodpecker","Golden-tailed woodpecker"
"http://dbpedia.org/resource/Gran_Canaria_giant_lizard","Gran Canaria giant lizard"
"http://dbpedia.org/resource/Grandidier's_free-tailed_bat","Grandidier's free-tailed bat"
"http://dbpedia.org/resource/Greater_blue-eared_starling","Greater blue-eared starling"
"http://dbpedia.org/resource/Hemisus_barotseensis","Hemisus barotseensis"
"http://dbpedia.org/resource/Henst's_goshawk","Henst's goshawk"
"http://dbpedia.org/resource/Hildebrandtia_macrotympanum","Hildebrandtia macrotympanum"
"http://dbpedia.org/resource/Home's_hinge-back_tortoise","Home's hinge-back tortoise"
"http://dbpedia.org/resource/Hook-billed_vanga","Hook-billed vanga"
"http://dbpedia.org/resource/Hyperolius_adspersus","Hyperolius adspersus"
"http://dbpedia.org/resource/Hyperolius_balfouri","Hyperolius balfouri"
"http://dbpedia.org/resource/Hyperolius_bopeleti","Hyperolius bopeleti"
"http://dbpedia.org/resource/Hyperolius_camerunensis","Hyperolius camerunensis"
"http://dbpedia.org/resource/Hyperolius_cinereus","Hyperolius cinereus"
"http://dbpedia.org/resource/Hyperolius_dintelmanni","Hyperolius dintelmanni"
"http://dbpedia.org/resource/Hyperolius_glandicolor","Hyperolius glandicolor"
"http://dbpedia.org/resource/Hyperolius_igbettensis","Hyperolius igbettensis"
"http://dbpedia.org/resource/Hyperolius_kachalolae","Hyperolius kachalolae"
"http://dbpedia.org/resource/Hyperolius_kihangensis","Hyperolius kihangensis"
"http://dbpedia.org/resource/Hyperolius_kuligae","Hyperolius kuligae"
"http://dbpedia.org/resource/Hyperolius_marginatus","Hyperolius marginatus"
"http://dbpedia.org/resource/Hyperolius_minutissimus","Hyperolius minutissimus"
"http://dbpedia.org/resource/Hyperolius_mosaicus","Hyperolius mosaicus"
"http://dbpedia.org/resource/Hyperolius_nasutus","Hyperolius nasutus"
"http://dbpedia.org/resource/Hyperolius_parallelus","Hyperolius parallelus"
"http://dbpedia.org/resource/Hyperolius_pseudargus","Hyperolius pseudargus"
"http://dbpedia.org/resource/Hyperolius_rhodesianus","Hyperolius rhodesianus"
"http://dbpedia.org/resource/Hyperolius_sheldricki","Hyperolius sheldricki"
"http://dbpedia.org/resource/Hyperolius_sylvaticus","Hyperolius sylvaticus"
"http://dbpedia.org/resource/Hyperolius_tanneri","Hyperolius tanneri"
"http://dbpedia.org/resource/Hyperolius_torrentis","Hyperolius torrentis"
"http://dbpedia.org/resource/Jerry-Go-Round","Jerry-Go-Round"
"http://dbpedia.org/resource/Karoo_eremomela","Karoo eremomela"
"http://dbpedia.org/resource/Kassina_kuvangensis","Kassina kuvangensis"
"http://dbpedia.org/resource/Kassina_somalica","Kassina somalica"
"http://dbpedia.org/resource/Kei_goby","Kei goby"
"http://dbpedia.org/resource/Labeobarbus_somereni","Labeobarbus somereni"
"http://dbpedia.org/resource/Labord's_chameleon","Labord's chameleon"
"http://dbpedia.org/resource/Lagden's_bushshrike","Lagden's bushshrike"
"http://dbpedia.org/resource/Lake_Malawi_sardine","Lake Malawi sardine"
"http://dbpedia.org/resource/Lake_Tanganyika_sardine","Lake Tanganyika sardine"
"http://dbpedia.org/resource/Lander's_horseshoe_bat","Lander's horseshoe bat"
"http://dbpedia.org/resource/Lappet-eared_free-tailed_bat","Lappet-eared free-tailed bat"
"http://dbpedia.org/resource/Leopard_fringe-fingered_lizard","Leopard fringe-fingered lizard"
"http://dbpedia.org/resource/Leptodactylodon_bueanus","Leptodactylodon bueanus"
"http://dbpedia.org/resource/Leptodactylodon_mertensi","Leptodactylodon mertensi"
"http://dbpedia.org/resource/Leptodactylodon_ornatus","Leptodactylodon ornatus"
"http://dbpedia.org/resource/Leptodactylodon_perreti","Leptodactylodon perreti"
"http://dbpedia.org/resource/Leptodactylodon_polyacanthus","Leptodactylodon polyacanthus"
"http://dbpedia.org/resource/Leptodactylodon_stevarti","Leptodactylodon stevarti"
"http://dbpedia.org/resource/Leptopelis_christyi","Leptopelis christyi"
"http://dbpedia.org/resource/Leptopelis_crystallinoron","Leptopelis crystallinoron"
"http://dbpedia.org/resource/Leptopelis_kivuensis","Leptopelis kivuensis"
"http://dbpedia.org/resource/Leptopelis_marginatus","Leptopelis marginatus"
"http://dbpedia.org/resource/Leptopelis_nordequatorialis","Leptopelis nordequatorialis"
"http://dbpedia.org/resource/Leptopelis_parbocagii","Leptopelis parbocagii"
"http://dbpedia.org/resource/Leptopelis_parvus","Leptopelis parvus"
"http://dbpedia.org/resource/Leptopelis_ragazzii","Leptopelis ragazzii"
"http://dbpedia.org/resource/Leptopelis_zebra","Leptopelis zebra"
"http://dbpedia.org/resource/Lesser_Angolan_epauletted_fruit_bat","Lesser Angolan epauletted fruit bat"
"http://dbpedia.org/resource/Lesser_blue-eared_starling","Lesser blue-eared starling"
"http://dbpedia.org/resource/Little_sparrowhawk","Little sparrowhawk"
"http://dbpedia.org/resource/Lomi's_blind_legless_skink","Lomi's blind legless skink"
"http://dbpedia.org/resource/Long-tailed_widowbird","Long-tailed widowbird"
"http://dbpedia.org/resource/Macroprotodon_cucullatus","Macroprotodon cucullatus"
"http://dbpedia.org/resource/Madagascar_blue_pigeon","Madagascar blue pigeon"
"http://dbpedia.org/resource/Madagascar_pygmy_kingfisher","Madagascar pygmy kingfisher"
"http://dbpedia.org/resource/Mahajangasuchus","Mahajangasuchus"
"http://dbpedia.org/resource/Malagasy_black_swift","Malagasy black swift"
"http://dbpedia.org/resource/Malagasy_paradise_flycatcher","Malagasy paradise flycatcher"
"http://dbpedia.org/resource/Mantidactylus_albofrenatus","Mantidactylus albofrenatus"
"http://dbpedia.org/resource/Mascarene_martin","Mascarene martin"
