"asCountry","name"
"http://dbpedia.org/resource/Kyrgyzstan","Kyrgyzstan"
"http://dbpedia.org/resource/Nepal","Nepal"
"http://dbpedia.org/resource/State_of_Palestine","State of Palestine"
"http://dbpedia.org/resource/Turkmenistan","Turkmenistan"
"http://dbpedia.org/resource/Vietnam","Vietnam"
"http://dbpedia.org/resource/Cambodia","Cambodia"
"http://dbpedia.org/resource/Saudi_Arabia","Saudi Arabia"
"http://dbpedia.org/resource/Yemen","Yemen"
"http://dbpedia.org/resource/Egypt","Egypt"
"http://dbpedia.org/resource/Iraq","Iraq"
"http://dbpedia.org/resource/Jordan","Jordan"
"http://dbpedia.org/resource/Kuwait","Kuwait"
"http://dbpedia.org/resource/Syria","Syria"
"http://dbpedia.org/resource/Afghanistan","Afghanistan"
"http://dbpedia.org/resource/Azerbaijan","Azerbaijan"
"http://dbpedia.org/resource/Bangladesh","Bangladesh"
"http://dbpedia.org/resource/Brunei","Brunei"
"http://dbpedia.org/resource/China","China"
"http://dbpedia.org/resource/Cyprus","Cyprus"
"http://dbpedia.org/resource/India","India"
"http://dbpedia.org/resource/Indonesia","Indonesia"
"http://dbpedia.org/resource/Iran","Iran"
"http://dbpedia.org/resource/Japan","Japan"
"http://dbpedia.org/resource/Kazakhstan","Kazakhstan"
"http://dbpedia.org/resource/Laos","Laos"
"http://dbpedia.org/resource/Lebanon","Lebanon"
"http://dbpedia.org/resource/Maldives","Maldives"
"http://dbpedia.org/resource/Mongolia","Mongolia"
"http://dbpedia.org/resource/Myanmar","Myanmar"
"http://dbpedia.org/resource/Georgia_(country)","Georgia (country)"
"http://dbpedia.org/resource/North_Korea","North Korea"
"http://dbpedia.org/resource/Oman","Oman"
"http://dbpedia.org/resource/Pakistan","Pakistan"
"http://dbpedia.org/resource/Philippines","Philippines"
"http://dbpedia.org/resource/Russia","Russia"
"http://dbpedia.org/resource/Singapore","Singapore"
"http://dbpedia.org/resource/South_Korea","South Korea"
"http://dbpedia.org/resource/Sri_Lanka","Sri Lanka"
"http://dbpedia.org/resource/Taiwan","Taiwan"
"http://dbpedia.org/resource/Tajikistan","Tajikistan"
"http://dbpedia.org/resource/Thailand","Thailand"
"http://dbpedia.org/resource/United_Arab_Emirates","United Arab Emirates"
"http://dbpedia.org/resource/Uzbekistan","Uzbekistan"
"http://dbpedia.org/resource/Bahrain","Bahrain"
"http://dbpedia.org/resource/East_Timor","East Timor"
"http://dbpedia.org/resource/Bhutan","Bhutan"
"http://dbpedia.org/resource/Malaysia","Malaysia"
"http://dbpedia.org/resource/Israel","Israel"
"http://dbpedia.org/resource/Qatar","Qatar"
"http://dbpedia.org/resource/Armenia","Armenia"
"http://dbpedia.org/resource/Turkey","Turkey"
