"bird","name"
"http://dbpedia.org/resource/2007–08_KFC_Twenty20_Big_Bash","2007–08 KFC Twenty20 Big Bash"
"http://dbpedia.org/resource/African_goshawk","African goshawk"
"http://dbpedia.org/resource/African_pitta","African pitta"
"http://dbpedia.org/resource/African_red-eyed_bulbul","African red-eyed bulbul"
"http://dbpedia.org/resource/Al_Shouf_Cedar_Nature_Reserve","Al Shouf Cedar Nature Reserve"
"http://dbpedia.org/resource/Alan_Feduccia","Alan Feduccia"
"http://dbpedia.org/resource/Andean_swift","Andean swift"
"http://dbpedia.org/resource/Angolan_lark","Angolan lark"
"http://dbpedia.org/resource/Antillean_crested_hummingbird","Antillean crested hummingbird"
"http://dbpedia.org/resource/Asian_barred_owlet","Asian barred owlet"
"http://dbpedia.org/resource/Bagobo_babbler","Bagobo babbler"
"http://dbpedia.org/resource/Balicassiao","Balicassiao"
"http://dbpedia.org/resource/Banded_antbird","Banded antbird"
"http://dbpedia.org/resource/Bar-winged_rail","Bar-winged rail"
"http://dbpedia.org/resource/Barred_eagle-owl","Barred eagle-owl"
"http://dbpedia.org/resource/Barred_rail","Barred rail"
"http://dbpedia.org/resource/Black-billed_flycatcher","Black-billed flycatcher"
"http://dbpedia.org/resource/Black-capped_donacobius","Black-capped donacobius"
"http://dbpedia.org/resource/Black-collared_hawk","Black-collared hawk"
"http://dbpedia.org/resource/Black-headed_parrot","Black-headed parrot"
"http://dbpedia.org/resource/Black-sided_flowerpecker","Black-sided flowerpecker"
"http://dbpedia.org/resource/Blue-crowned_trogon","Blue-crowned trogon"
"http://dbpedia.org/resource/Blue-eyed_ground_dove","Blue-eyed ground dove"
"http://dbpedia.org/resource/Blue_nuthatch","Blue nuthatch"
"http://dbpedia.org/resource/Brotogeris","Brotogeris"
"http://dbpedia.org/resource/Brown-chested_martin","Brown-chested martin"
"http://dbpedia.org/resource/Brown-throated_parakeet","Brown-throated parakeet"
"http://dbpedia.org/resource/Burchell's_starling","Burchell's starling"
"http://dbpedia.org/resource/Burnished-buff_tanager","Burnished-buff tanager"
"http://dbpedia.org/resource/Cape_St._Mary's_Ecological_Reserve","Cape St. Mary's Ecological Reserve"
"http://dbpedia.org/resource/Cape_starling","Cape starling"
"http://dbpedia.org/resource/Caribbean_dove","Caribbean dove"
"http://dbpedia.org/resource/Caribbean_elaenia","Caribbean elaenia"
"http://dbpedia.org/resource/Carpentarian_grasswren","Carpentarian grasswren"
"http://dbpedia.org/resource/Cawston_Ostrich_Farm","Cawston Ostrich Farm"
"http://dbpedia.org/resource/Charles_Johnson_Maynard","Charles Johnson Maynard"
"http://dbpedia.org/resource/Chestnut-quilled_rock_pigeon","Chestnut-quilled rock pigeon"
"http://dbpedia.org/resource/Chip_an'_Dale","Chip an' Dale"
"http://dbpedia.org/resource/Coleto","Coleto"
"http://dbpedia.org/resource/Colne_Estuary","Colne Estuary"
"http://dbpedia.org/resource/Congo_serpent_eagle","Congo serpent eagle"
"http://dbpedia.org/resource/Crested_bobwhite","Crested bobwhite"
"http://dbpedia.org/resource/Desert_Demolition","Desert Demolition"
"http://dbpedia.org/resource/Dewey_Soper_Migratory_Bird_Sanctuary","Dewey Soper Migratory Bird Sanctuary"
"http://dbpedia.org/resource/Ducan's_Marsh","Ducan's Marsh"
"http://dbpedia.org/resource/Epaulet_oriole","Epaulet oriole"
"http://dbpedia.org/resource/Festive_amazon","Festive amazon"
"http://dbpedia.org/resource/Fire-breasted_flowerpecker","Fire-breasted flowerpecker"
"http://dbpedia.org/resource/Flappet_lark","Flappet lark"
"http://dbpedia.org/resource/Franklin_Delano_Roosevelt_Park","Franklin Delano Roosevelt Park"
"http://dbpedia.org/resource/Geotrygon","Geotrygon"
"http://dbpedia.org/resource/Gillett's_lark","Gillett's lark"
"http://dbpedia.org/resource/Gilt-edged_tanager","Gilt-edged tanager"
"http://dbpedia.org/resource/Golden-breasted_fulvetta","Golden-breasted fulvetta"
"http://dbpedia.org/resource/Golden-winged_parakeet","Golden-winged parakeet"
"http://dbpedia.org/resource/Greater_blue-eared_starling","Greater blue-eared starling"
"http://dbpedia.org/resource/Guadeloupe_amazon","Guadeloupe amazon"
"http://dbpedia.org/resource/Guianan_red_cotinga","Guianan red cotinga"
"http://dbpedia.org/resource/Hardley_Flood","Hardley Flood"
"http://dbpedia.org/resource/Hawaii_mamo","Hawaii mamo"
"http://dbpedia.org/resource/Hawaiʻi_ʻamakihi","Hawaiʻi ʻamakihi"
"http://dbpedia.org/resource/Henst's_goshawk","Henst's goshawk"
"http://dbpedia.org/resource/Hooded_visorbearer","Hooded visorbearer"
"http://dbpedia.org/resource/Hook-billed_vanga","Hook-billed vanga"
"http://dbpedia.org/resource/Icadyptes","Icadyptes"
"http://dbpedia.org/resource/Javan_owlet","Javan owlet"
"http://dbpedia.org/resource/Joseph_H._Acklen","Joseph H. Acklen"
"http://dbpedia.org/resource/Kauaʻi_ʻamakihi","Kauaʻi ʻamakihi"
"http://dbpedia.org/resource/Kinglet_calyptura","Kinglet calyptura"
"http://dbpedia.org/resource/Korean_fried_chicken","Korean fried chicken"
"http://dbpedia.org/resource/Kāmaʻo","Kāmaʻo"
"http://dbpedia.org/resource/Lagden's_bushshrike","Lagden's bushshrike"
"http://dbpedia.org/resource/Lesser_blue-eared_starling","Lesser blue-eared starling"
"http://dbpedia.org/resource/Lesser_koa_finch","Lesser koa finch"
"http://dbpedia.org/resource/List_of_Chocobo_media","List of Chocobo media"
"http://dbpedia.org/resource/Little_kingfisher","Little kingfisher"
"http://dbpedia.org/resource/Looney_Tunes:_Duck_Amuck","Looney Tunes: Duck Amuck"
"http://dbpedia.org/resource/Ludaš_Lake","Ludaš Lake"
"http://dbpedia.org/resource/Lānaʻi_hookbill","Lānaʻi hookbill"
"http://dbpedia.org/resource/Madagascar_blue_pigeon","Madagascar blue pigeon"
"http://dbpedia.org/resource/Madagascar_pygmy_kingfisher","Madagascar pygmy kingfisher"
"http://dbpedia.org/resource/Malagasy_paradise_flycatcher","Malagasy paradise flycatcher"
"http://dbpedia.org/resource/Mangrove_pitta","Mangrove pitta"
"http://dbpedia.org/resource/Martinique_oriole","Martinique oriole"
"http://dbpedia.org/resource/Maui_ʻalauahio","Maui ʻalauahio"
"http://dbpedia.org/resource/Mirafra","Mirafra"
"http://dbpedia.org/resource/Monotonous_lark","Monotonous lark"
"http://dbpedia.org/resource/Munmorah_State_Conservation_Area","Munmorah State Conservation Area"
"http://dbpedia.org/resource/Negros_fruit_dove","Negros fruit dove"
"http://dbpedia.org/resource/Nelicourvi_weaver","Nelicourvi weaver"
"http://dbpedia.org/resource/Northern_white-crowned_shrike","Northern white-crowned shrike"
"http://dbpedia.org/resource/Okinoshima_(Fukuoka)","Okinoshima (Fukuoka)"
"http://dbpedia.org/resource/Old_Crow_Flats","Old Crow Flats"
"http://dbpedia.org/resource/Olomaʻo","Olomaʻo"
"http://dbpedia.org/resource/Orielton_Lagoon","Orielton Lagoon"
"http://dbpedia.org/resource/Paradise_kingfisher","Paradise kingfisher"
"http://dbpedia.org/resource/Poecile","Poecile"
"http://dbpedia.org/resource/Polynesian_triller","Polynesian triller"
"http://dbpedia.org/resource/Purple-crowned_fairywren","Purple-crowned fairywren"
"http://dbpedia.org/resource/Purple-throated_sunbird","Purple-throated sunbird"
"http://dbpedia.org/resource/Raine_Island","Raine Island"
"http://dbpedia.org/resource/Red-backed_fairywren","Red-backed fairywren"
"http://dbpedia.org/resource/Red-billed_parrot","Red-billed parrot"
"http://dbpedia.org/resource/Red-cheeked_parrot","Red-cheeked parrot"
"http://dbpedia.org/resource/Red-cowled_cardinal","Red-cowled cardinal"
"http://dbpedia.org/resource/Red-fronted_coot","Red-fronted coot"
"http://dbpedia.org/resource/Red-headed_myzomela","Red-headed myzomela"
"http://dbpedia.org/resource/Red-rumped_cacique","Red-rumped cacique"
"http://dbpedia.org/resource/Red-tailed_amazon","Red-tailed amazon"
"http://dbpedia.org/resource/Red-winged_lark","Red-winged lark"
"http://dbpedia.org/resource/Red_lory","Red lory"
"http://dbpedia.org/resource/Reddish_hermit","Reddish hermit"
"http://dbpedia.org/resource/Rufous-naped_lark","Rufous-naped lark"
"http://dbpedia.org/resource/Rufous_vanga","Rufous vanga"
"http://dbpedia.org/resource/Rusty-margined_flycatcher","Rusty-margined flycatcher"
"http://dbpedia.org/resource/Sakalava_weaver","Sakalava weaver"
"http://dbpedia.org/resource/Sayaca_tanager","Sayaca tanager"
"http://dbpedia.org/resource/Scarlet-backed_flowerpecker","Scarlet-backed flowerpecker"
"http://dbpedia.org/resource/Senegal_batis","Senegal batis"
"http://dbpedia.org/resource/Sespe_Condor_Sanctuary","Sespe Condor Sanctuary"
"http://dbpedia.org/resource/Somali_lark","Somali lark"
"http://dbpedia.org/resource/Sooty_barbthroat","Sooty barbthroat"
"http://dbpedia.org/resource/South_Georgia_diving_petrel","South Georgia diving petrel"
"http://dbpedia.org/resource/Southern_white-crowned_shrike","Southern white-crowned shrike"
"http://dbpedia.org/resource/Storrs_L._Olson","Storrs L. Olson"
"http://dbpedia.org/resource/Trinidad_euphonia","Trinidad euphonia"
"http://dbpedia.org/resource/Western_spindalis","Western spindalis"
"http://dbpedia.org/resource/White-browed_scrub_robin","White-browed scrub robin"
"http://dbpedia.org/resource/White-rumped_swallow","White-rumped swallow"
"http://dbpedia.org/resource/White-starred_robin","White-starred robin"
"http://dbpedia.org/resource/White-throated_robin-chat","White-throated robin-chat"
"http://dbpedia.org/resource/White_bellbird","White bellbird"
"http://dbpedia.org/resource/Whooping_Crane_Summer_Range","Whooping Crane Summer Range"
"http://dbpedia.org/resource/William_H._Phelps_Sr.","William H. Phelps Sr."
"http://dbpedia.org/resource/Wye_Marsh","Wye Marsh"
"http://dbpedia.org/resource/Yellow-billed_amazon","Yellow-billed amazon"
"http://dbpedia.org/resource/ʻAkekeʻe","ʻAkekeʻe"
"http://dbpedia.org/resource/ʻAkohekohe","ʻAkohekohe"
"http://dbpedia.org/resource/ʻApapane","ʻApapane"
"http://dbpedia.org/resource/Alde–Ore_Estuary","Alde–Ore Estuary"
"http://dbpedia.org/resource/British_Poultry_Council","British Poultry Council"
"http://dbpedia.org/resource/Cordon_bleu_(dish)","Cordon bleu (dish)"
"http://dbpedia.org/resource/Drip_Dippy_Donald","Drip Dippy Donald"
"http://dbpedia.org/resource/Enantiophoenix","Enantiophoenix"
"http://dbpedia.org/resource/First_Bombardment_of_Midway","First Bombardment of Midway"
"http://dbpedia.org/resource/Heather_Williams_(biologist)","Heather Williams (biologist)"
"http://dbpedia.org/resource/International_Convention_on_Load_Lines","International Convention on Load Lines"
"http://dbpedia.org/resource/J._Denis_Summers-Smith","J. Denis Summers-Smith"
"http://dbpedia.org/resource/Kingfisher_(clipper)","Kingfisher (clipper)"
"http://dbpedia.org/resource/Nordaust-Svalbard_Nature_Reserve","Nordaust-Svalbard Nature Reserve"
"http://dbpedia.org/resource/Norman_Bird_Sanctuary","Norman Bird Sanctuary"
"http://dbpedia.org/resource/North_Warren_RSPB_reserve","North Warren RSPB reserve"
"http://dbpedia.org/resource/Olin_Sewall_Pettingill_Jr.","Olin Sewall Pettingill Jr."
"http://dbpedia.org/resource/Shlomi_Azulay","Shlomi Azulay"
"http://dbpedia.org/resource/Supplementary_Convention_on_the_Abolition_of_Slavery","Supplementary Convention on the Abolition of Slavery"
"http://dbpedia.org/resource/Søraust-Svalbard_Nature_Reserve","Søraust-Svalbard Nature Reserve"
"http://dbpedia.org/resource/The_Looney_Tunes_Show","The Looney Tunes Show"
"http://dbpedia.org/resource/Vellode_Bird_Sanctuary","Vellode Bird Sanctuary"
"http://dbpedia.org/resource/California_foie_gras_law","California foie gras law"
"http://dbpedia.org/resource/Carl_R._Eklund","Carl R. Eklund"
"http://dbpedia.org/resource/Dell_Rhea's_Chicken_Basket","Dell Rhea's Chicken Basket"
"http://dbpedia.org/resource/Helen_F._James","Helen F. James"
"http://dbpedia.org/resource/Husk_(film)","Husk (film)"
"http://dbpedia.org/resource/Ilme","Ilme"
"http://dbpedia.org/resource/Proagriocharis","Proagriocharis"
"http://dbpedia.org/resource/Pupuke_Robati","Pupuke Robati"
"http://dbpedia.org/resource/Rhegminornis","Rhegminornis"
"http://dbpedia.org/resource/Road_Runner_Express_(Six_Flags_Magic_Mountain)","Road Runner Express (Six Flags Magic Mountain)"
"http://dbpedia.org/resource/Seymour_Island_(Nunavut)","Seymour Island (Nunavut)"
"http://dbpedia.org/resource/Sweetie_Pie_(Tiny_Toon_Adventures)","Sweetie Pie (Tiny Toon Adventures)"
"http://dbpedia.org/resource/Süderoog","Süderoog"
"http://dbpedia.org/resource/Temple_the_Balloonist","Temple the Balloonist"
"http://dbpedia.org/resource/The_Old_Army_Game","The Old Army Game"
"http://dbpedia.org/resource/1973_DeKalb–Peachtree_Airport_Learjet_crash","1973 DeKalb–Peachtree Airport Learjet crash"
"http://dbpedia.org/resource/Allt_y_Gaer","Allt y Gaer"
"http://dbpedia.org/resource/BirdLife_Cyprus","BirdLife Cyprus"
"http://dbpedia.org/resource/Charles_Rollin_Keyes","Charles Rollin Keyes"
"http://dbpedia.org/resource/Chilbosan_(North_Hamgyong)","Chilbosan (North Hamgyong)"
"http://dbpedia.org/resource/Christman_Bird_and_Wildlife_Sanctuary","Christman Bird and Wildlife Sanctuary"
"http://dbpedia.org/resource/Cimolopterygidae","Cimolopterygidae"
"http://dbpedia.org/resource/Fur_of_Flying","Fur of Flying"
"http://dbpedia.org/resource/List_of_DuckTales_episodes","List of DuckTales episodes"
"http://dbpedia.org/resource/Masthead_Island","Masthead Island"
"http://dbpedia.org/resource/Paul_Johnsgard","Paul Johnsgard"
