"book","name"
"http://dbpedia.org/resource/A_Box_of_Dreams","A Box of Dreams"
"http://dbpedia.org/resource/A_Catalogue_of_Crime","A Catalogue of Crime"
"http://dbpedia.org/resource/A_Demon_of_Our_Own_Design","A Demon of Our Own Design"
"http://dbpedia.org/resource/A_Sheaf_of_Bluebells","A Sheaf of Bluebells"
"http://dbpedia.org/resource/Aatelisneito,_porvaristyttö","Aatelisneito, porvaristyttö"
"http://dbpedia.org/resource/Attack_of_the_Smart_Pies","Attack of the Smart Pies"
"http://dbpedia.org/resource/Auschwitz_Report_(book)","Auschwitz Report (book)"
"http://dbpedia.org/resource/Back_Home_(novel)","Back Home (novel)"
"http://dbpedia.org/resource/Ball_Four","Ball Four"
"http://dbpedia.org/resource/Briar_Rose_(novel)","Briar Rose (novel)"
"http://dbpedia.org/resource/Bulgarian_passport","Bulgarian passport"
"http://dbpedia.org/resource/By_the_Shores_of_Silver_Lake","By the Shores of Silver Lake"
"http://dbpedia.org/resource/Cantata_Profana","Cantata Profana"
"http://dbpedia.org/resource/Cerro_Gordo_Mines","Cerro Gordo Mines"
"http://dbpedia.org/resource/Changeling:_The_Autobiography_of_Mike_Oldfield","Changeling: The Autobiography of Mike Oldfield"
"http://dbpedia.org/resource/Cincinnati_Zoo_Historic_Structures","Cincinnati Zoo Historic Structures"
"http://dbpedia.org/resource/Code:_The_Hidden_Language_of_Computer_Hardware_and_Software","Code: The Hidden Language of Computer Hardware and Software"
"http://dbpedia.org/resource/Cogad_Gáedel_re_Gallaib","Cogad Gáedel re Gallaib"
"http://dbpedia.org/resource/Colombian_passport","Colombian passport"
"http://dbpedia.org/resource/Compulsion_(Hutson_novel)","Compulsion (Hutson novel)"
"http://dbpedia.org/resource/Coney_Reyes_on_Camera","Coney Reyes on Camera"
"http://dbpedia.org/resource/Decisions_of_the_Sky","Decisions of the Sky"
"http://dbpedia.org/resource/Dogland","Dogland"
"http://dbpedia.org/resource/Doomed_Queen_Anne","Doomed Queen Anne"
"http://dbpedia.org/resource/Dragon_Harper","Dragon Harper"
"http://dbpedia.org/resource/Dreamland_(Baker_novel)","Dreamland (Baker novel)"
"http://dbpedia.org/resource/Dylan_(2007_album)","Dylan (2007 album)"
"http://dbpedia.org/resource/Erak's_Ransom","Erak's Ransom"
"http://dbpedia.org/resource/Escape_(McMillan_book)","Escape (McMillan book)"
"http://dbpedia.org/resource/Estonian_grammar","Estonian grammar"
"http://dbpedia.org/resource/Estonian_passport","Estonian passport"
"http://dbpedia.org/resource/Farewell_Song","Farewell Song"
"http://dbpedia.org/resource/Farmer_Boy","Farmer Boy"
"http://dbpedia.org/resource/Finder_(novel)","Finder (novel)"
"http://dbpedia.org/resource/Fire_Bringer","Fire Bringer"
"http://dbpedia.org/resource/Fire_Star_(novel)","Fire Star (novel)"
"http://dbpedia.org/resource/Flora_Graeca","Flora Graeca"
"http://dbpedia.org/resource/Four_Shōjo_Stories","Four Shōjo Stories"
"http://dbpedia.org/resource/Galleria_Nazionale_dell'Umbria","Galleria Nazionale dell'Umbria"
"http://dbpedia.org/resource/Ghost_Blows_Out_the_Light","Ghost Blows Out the Light"
"http://dbpedia.org/resource/Glbtq.com","Glbtq.com"
"http://dbpedia.org/resource/Going_to_Ground","Going to Ground"
"http://dbpedia.org/resource/Graffito_of_Esmet-Akhom","Graffito of Esmet-Akhom"
"http://dbpedia.org/resource/Grandes_Éxitos_(Luis_Miguel_album)","Grandes Éxitos (Luis Miguel album)"
"http://dbpedia.org/resource/Heritage_Square_Museum","Heritage Square Museum"
"http://dbpedia.org/resource/Hokusai_Manga","Hokusai Manga"
"http://dbpedia.org/resource/I_nattens_tystnad","I nattens tystnad"
"http://dbpedia.org/resource/Ideal_(set_theory)","Ideal (set theory)"
"http://dbpedia.org/resource/Iisalmen_serkku_ja_muita_kertomuksia","Iisalmen serkku ja muita kertomuksia"
"http://dbpedia.org/resource/Ilkeät_sisarpuolet","Ilkeät sisarpuolet"
"http://dbpedia.org/resource/Imagery_Alliance","Imagery Alliance"
"http://dbpedia.org/resource/Indra's_Net_(book)","Indra's Net (book)"
"http://dbpedia.org/resource/Instant_Physics","Instant Physics"
"http://dbpedia.org/resource/Interventions","Interventions"
"http://dbpedia.org/resource/Johnny_Maestro_and_The_Brooklyn_Bridge_(album)","Johnny Maestro and The Brooklyn Bridge (album)"
"http://dbpedia.org/resource/Juedai_Shuangjiao","Juedai Shuangjiao"
"http://dbpedia.org/resource/Karjalan_kruunu","Karjalan kruunu"
"http://dbpedia.org/resource/Kartanonherra_ja_kaunis_Kirstin","Kartanonherra ja kaunis Kirstin"
"http://dbpedia.org/resource/Kupgal_petroglyphs","Kupgal petroglyphs"
"http://dbpedia.org/resource/Life:_A_Natural_History_of_the_First_Four_Billion_Years_of_Life_on_Earth","Life: A Natural History of the First Four Billion Years of Life on Earth"
"http://dbpedia.org/resource/List_of_Chocobo_media","List of Chocobo media"
"http://dbpedia.org/resource/List_of_Mr._Men","List of Mr. Men"
"http://dbpedia.org/resource/Lithuanian_passport","Lithuanian passport"
"http://dbpedia.org/resource/Looney_Tunes_Golden_Collection:_Volume_5","Looney Tunes Golden Collection: Volume 5"
"http://dbpedia.org/resource/Los_Reyes_Del_Perreo","Los Reyes Del Perreo"
"http://dbpedia.org/resource/Love,_Janis","Love, Janis"
"http://dbpedia.org/resource/Maryland_Route_769","Maryland Route 769"
"http://dbpedia.org/resource/Maureen_Birnbaum,_Barbarian_Swordsperson","Maureen Birnbaum, Barbarian Swordsperson"
