"author","name"
"http://dbpedia.org/resource/Alan_Le_May","Alan Le May"
"http://dbpedia.org/resource/Charles_Banks_Wilson","Charles Banks Wilson"
"http://dbpedia.org/resource/Christiaan_Tonnis","Christiaan Tonnis"
"http://dbpedia.org/resource/David_Breakenridge_Read","David Breakenridge Read"
"http://dbpedia.org/resource/F._Scott_Fitzgerald","F. Scott Fitzgerald"
"http://dbpedia.org/resource/George_Kinderdine","George Kinderdine"
"http://dbpedia.org/resource/Herz_Cerfbeer_of_Medelsheim","Herz Cerfbeer of Medelsheim"
"http://dbpedia.org/resource/Humphrey_Owen_Jones","Humphrey Owen Jones"
"http://dbpedia.org/resource/J._J._Lankes","J. J. Lankes"
"http://dbpedia.org/resource/Jacob_de_Castro_Sarmento","Jacob de Castro Sarmento"
"http://dbpedia.org/resource/John_Gregory_(moralist)","John Gregory (moralist)"
"http://dbpedia.org/resource/John_Marrant","John Marrant"
"http://dbpedia.org/resource/Joseph_Weldon_Bailey_Jr.","Joseph Weldon Bailey Jr."
"http://dbpedia.org/resource/Linphone","Linphone"
"http://dbpedia.org/resource/Martiros_Kavoukjian","Martiros Kavoukjian"
"http://dbpedia.org/resource/Mary_Jefferson_Eppes","Mary Jefferson Eppes"
"http://dbpedia.org/resource/Middle_Class_Millionaire","Middle Class Millionaire"
"http://dbpedia.org/resource/Mikhail_Kononov","Mikhail Kononov"
"http://dbpedia.org/resource/Mumble_(software)","Mumble (software)"
"http://dbpedia.org/resource/Nadia_Wheatley","Nadia Wheatley"
"http://dbpedia.org/resource/Nitin_Gadkari","Nitin Gadkari"
"http://dbpedia.org/resource/Peter_Wichers","Peter Wichers"
"http://dbpedia.org/resource/Robert_J.C._Stead","Robert J.C. Stead"
"http://dbpedia.org/resource/Scott_Miller_(pop_musician)","Scott Miller (pop musician)"
"http://dbpedia.org/resource/Stephen_Grey","Stephen Grey"
"http://dbpedia.org/resource/T._Gwynn_Jones","T. Gwynn Jones"
"http://dbpedia.org/resource/Walter_Landor","Walter Landor"
"http://dbpedia.org/resource/Archibald_Fleming","Archibald Fleming"
"http://dbpedia.org/resource/DBEdit","DBEdit"
"http://dbpedia.org/resource/David_Benjamin_Sherry","David Benjamin Sherry"
"http://dbpedia.org/resource/Hush,_Hush","Hush, Hush"
"http://dbpedia.org/resource/Jameela_Jamil","Jameela Jamil"
"http://dbpedia.org/resource/John_Ricord","John Ricord"
"http://dbpedia.org/resource/John_Ulrich_Giesy","John Ulrich Giesy"
"http://dbpedia.org/resource/Lewis_Carroll","Lewis Carroll"
"http://dbpedia.org/resource/Mary_Engle_Pennington","Mary Engle Pennington"
"http://dbpedia.org/resource/Murder_of_Jennifer_Daugherty","Murder of Jennifer Daugherty"
"http://dbpedia.org/resource/Nithyananda","Nithyananda"
"http://dbpedia.org/resource/Pamela_Wynne","Pamela Wynne"
"http://dbpedia.org/resource/Petah_Coyne","Petah Coyne"
"http://dbpedia.org/resource/Rob_Kidd","Rob Kidd"
"http://dbpedia.org/resource/Ted_Wheeler","Ted Wheeler"
"http://dbpedia.org/resource/Andrew_Miller_(Medal_of_Honor,_1864)","Andrew Miller (Medal of Honor, 1864)"
"http://dbpedia.org/resource/Archibald_Marshall","Archibald Marshall"
"http://dbpedia.org/resource/Arthur_Conan_Doyle_bibliography","Arthur Conan Doyle bibliography"
"http://dbpedia.org/resource/Charles_Gidding","Charles Gidding"
