"actor","name"
"http://dbpedia.org/resource/Monica_Yunus","Monica Yunus"
"http://dbpedia.org/resource/Monte_Amundsen","Monte Amundsen"
"http://dbpedia.org/resource/Montserrat_Caballé","Montserrat Caballé"
"http://dbpedia.org/resource/Montserrat_Martí","Montserrat Martí"
"http://dbpedia.org/resource/Monét_X_Change","Monét X Change"
"http://dbpedia.org/resource/Morris_Robinson","Morris Robinson"
"http://dbpedia.org/resource/Mr_Percival","Mr Percival"
"http://dbpedia.org/resource/Muriel_Costa-Greenspon","Muriel Costa-Greenspon"
"http://dbpedia.org/resource/Werner_Klemperer","Werner Klemperer"
"http://dbpedia.org/resource/Wiesław_Ochman","Wiesław Ochman"
"http://dbpedia.org/resource/Wilfred_Lytell","Wilfred Lytell"
"http://dbpedia.org/resource/Wilhelmenia_Fernandez","Wilhelmenia Fernandez"
"http://dbpedia.org/resource/Will_Rogers_Jr.","Will Rogers Jr."
"http://dbpedia.org/resource/Débria_Brown","Débria Brown"
"http://dbpedia.org/resource/E._R._Fightmaster","E. R. Fightmaster"
"http://dbpedia.org/resource/Earl_Wrightson","Earl Wrightson"
"http://dbpedia.org/resource/Felice_Lyne","Felice Lyne"
"http://dbpedia.org/resource/Verkine_Karakashian","Verkine Karakashian"
"http://dbpedia.org/resource/Akende_Munalula","Akende Munalula"
"http://dbpedia.org/resource/Ellis_Rubin_(actor)","Ellis Rubin (actor)"
"http://dbpedia.org/resource/Elvira_de_Hidalgo","Elvira de Hidalgo"
"http://dbpedia.org/resource/Emilia_Cundari","Emilia Cundari"
"http://dbpedia.org/resource/Emiri_Katō","Emiri Katō"
"http://dbpedia.org/resource/Emma_Abbott","Emma Abbott"
"http://dbpedia.org/resource/Emma_Eames","Emma Eames"
"http://dbpedia.org/resource/Emmy_Rossum","Emmy Rossum"
"http://dbpedia.org/resource/Erika_Ishii","Erika Ishii"
"http://dbpedia.org/resource/Erin_Morley","Erin Morley"
"http://dbpedia.org/resource/Ermonela_Jaho","Ermonela Jaho"
"http://dbpedia.org/resource/Estelle_Liebling","Estelle Liebling"
"http://dbpedia.org/resource/Etta_Moten_Barnett","Etta Moten Barnett"
"http://dbpedia.org/resource/Eugent_Bushpepa","Eugent Bushpepa"
"http://dbpedia.org/resource/Eunice_Alberts","Eunice Alberts"
"http://dbpedia.org/resource/Eva_Perón","Eva Perón"
"http://dbpedia.org/resource/Janice_Felty","Janice Felty"
"http://dbpedia.org/resource/Warren_Coleman","Warren Coleman"
"http://dbpedia.org/resource/Harolyn_Blackwell","Harolyn Blackwell"
"http://dbpedia.org/resource/Harriet_Forte_Kennedy","Harriet Forte Kennedy"
"http://dbpedia.org/resource/Karen_Holvik","Karen Holvik"
"http://dbpedia.org/resource/Kapil_Talwalkar","Kapil Talwalkar"
"http://dbpedia.org/resource/Karin_Wolverton","Karin Wolverton"
"http://dbpedia.org/resource/Karine_Babajanyan","Karine Babajanyan"
"http://dbpedia.org/resource/Marcella_Lindh","Marcella Lindh"
"http://dbpedia.org/resource/Pretty_Filthy","Pretty Filthy"
"http://dbpedia.org/resource/Myrtha_Garbarini","Myrtha Garbarini"
"http://dbpedia.org/resource/Thaddeus_Wronski","Thaddeus Wronski"
"http://dbpedia.org/resource/Aivale_Cole","Aivale Cole"
"http://dbpedia.org/resource/Akira_Chen","Akira Chen"
"http://dbpedia.org/resource/Akira_Ishida","Akira Ishida"
"http://dbpedia.org/resource/Al_B._Sure!","Al B. Sure!"
"http://dbpedia.org/resource/Al_Franken","Al Franken"
"http://dbpedia.org/resource/Alan_Autry","Alan Autry"
"http://dbpedia.org/resource/Albert_Dekker","Albert Dekker"
"http://dbpedia.org/resource/Alfred_Dennis_(actor)","Alfred Dennis (actor)"
"http://dbpedia.org/resource/Alice_Esty_(soprano)","Alice Esty (soprano)"
"http://dbpedia.org/resource/Alice_May_Bates_Rice","Alice May Bates Rice"
"http://dbpedia.org/resource/Alice_Tully","Alice Tully"
"http://dbpedia.org/resource/Ashley_Putnam","Ashley Putnam"
"http://dbpedia.org/resource/Ashurbanipal_Babilla","Ashurbanipal Babilla"
"http://dbpedia.org/resource/Asia_Kate_Dillon","Asia Kate Dillon"
"http://dbpedia.org/resource/Audra_McDonald","Audra McDonald"
"http://dbpedia.org/resource/Augusto_Aguilera","Augusto Aguilera"
"http://dbpedia.org/resource/Doda_Conrad","Doda Conrad"
"http://dbpedia.org/resource/Dorothee_Manski","Dorothee Manski"
"http://dbpedia.org/resource/Doug_Langdale","Doug Langdale"
"http://dbpedia.org/resource/Douglas_(parrot)","Douglas (parrot)"
"http://dbpedia.org/resource/Drew_Fortier","Drew Fortier"
"http://dbpedia.org/resource/Drew_Starkey","Drew Starkey"
"http://dbpedia.org/resource/Charisse_Mills","Charisse Mills"
"http://dbpedia.org/resource/Quartet_(Harwood_play)","Quartet (Harwood play)"
"http://dbpedia.org/resource/Sabina_Puértolas","Sabina Puértolas"
"http://dbpedia.org/resource/Saimir_Pirgu","Saimir Pirgu"
"http://dbpedia.org/resource/Sam_Reese","Sam Reese"
