"euroSight","name"
"http://dbpedia.org/resource/San_Giovanni_degli_Eremiti","San Giovanni degli Eremiti"
"http://dbpedia.org/resource/Friedrichstadt-Palast","Friedrichstadt-Palast"
"http://dbpedia.org/resource/Hornberg_Castle_(Neckarzimmern)","Hornberg Castle (Neckarzimmern)"
"http://dbpedia.org/resource/Ozimek_Suspension_Bridge","Ozimek Suspension Bridge"
"http://dbpedia.org/resource/Aachen_Cathedral","Aachen Cathedral"
"http://dbpedia.org/resource/Basilica_of_Saint_Paul_Outside_the_Walls","Basilica of Saint Paul Outside the Walls"
"http://dbpedia.org/resource/Brandenburg_Gate","Brandenburg Gate"
"http://dbpedia.org/resource/Neuschwanstein_Castle","Neuschwanstein Castle"
"http://dbpedia.org/resource/Pont_du_Gard","Pont du Gard"
"http://dbpedia.org/resource/Reichstag_building","Reichstag building"
"http://dbpedia.org/resource/Sacré-Cœur,_Paris","Sacré-Cœur, Paris"
"http://dbpedia.org/resource/Topkapı_Palace","Topkapı Palace"
"http://dbpedia.org/resource/Wartburg","Wartburg"
"http://dbpedia.org/resource/Fernsehturm_Berlin","Fernsehturm Berlin"
"http://dbpedia.org/resource/Palace_of_the_Parliament","Palace of the Parliament"
"http://dbpedia.org/resource/Sultan_Ahmed_Mosque","Sultan Ahmed Mosque"
"http://dbpedia.org/resource/Baiterek_(monument)","Baiterek (monument)"
"http://dbpedia.org/resource/Castle_of_Racconigi","Castle of Racconigi"
"http://dbpedia.org/resource/Dohány_Street_Synagogue","Dohány Street Synagogue"
"http://dbpedia.org/resource/Hungarian_National_Gallery","Hungarian National Gallery"
"http://dbpedia.org/resource/Moncalieri_Castle","Moncalieri Castle"
"http://dbpedia.org/resource/Royal_Palace_of_Turin","Royal Palace of Turin"
"http://dbpedia.org/resource/Lissingen_Castle","Lissingen Castle"
"http://dbpedia.org/resource/Florentine_tower_of_Buire","Florentine tower of Buire"
"http://dbpedia.org/resource/Jurisics_Castle","Jurisics Castle"
"http://dbpedia.org/resource/Reims_Cathedral","Reims Cathedral"
"http://dbpedia.org/resource/Sacro_Monte_di_Varese","Sacro Monte di Varese"
"http://dbpedia.org/resource/Humboldt_Box","Humboldt Box"
"http://dbpedia.org/resource/Lichtenberg_Castle_(Palatinate)","Lichtenberg Castle (Palatinate)"
"http://dbpedia.org/resource/Dolmabahçe_Palace","Dolmabahçe Palace"
"http://dbpedia.org/resource/Eltz_Castle","Eltz Castle"
"http://dbpedia.org/resource/Millau_Viaduct","Millau Viaduct"
"http://dbpedia.org/resource/Rumelihisarı","Rumelihisarı"
"http://dbpedia.org/resource/Santa_Maria_Maggiore","Santa Maria Maggiore"
"http://dbpedia.org/resource/Süleymaniye_Mosque","Süleymaniye Mosque"
"http://dbpedia.org/resource/Walls_of_Constantinople","Walls of Constantinople"
"http://dbpedia.org/resource/Hermitage_Museum","Hermitage Museum"
"http://dbpedia.org/resource/Château_Gaillard","Château Gaillard"
"http://dbpedia.org/resource/Hermannsdenkmal","Hermannsdenkmal"
