"fastFood","name"
"http://dbpedia.org/resource/85°C_Bakery_Cafe","85°C Bakery Cafe"
"http://dbpedia.org/resource/AMT_Coffee","AMT Coffee"
"http://dbpedia.org/resource/Bologna_sandwich","Bologna sandwich"
"http://dbpedia.org/resource/Bourbon_chicken","Bourbon chicken"
"http://dbpedia.org/resource/Mollete","Mollete"
"http://dbpedia.org/resource/Mountain_Moving_Coffeehouse","Mountain Moving Coffeehouse"
"http://dbpedia.org/resource/Mr._Pizza","Mr. Pizza"
"http://dbpedia.org/resource/Muffin_Break","Muffin Break"
"http://dbpedia.org/resource/Mugg_&_Bean","Mugg & Bean"
"http://dbpedia.org/resource/Muzz_Buzz","Muzz Buzz"
"http://dbpedia.org/resource/Wei_Wei_(restaurant)","Wei Wei (restaurant)"
"http://dbpedia.org/resource/Farm_Stall","Farm Stall"
"http://dbpedia.org/resource/Traill's_Temperance_Coffee_House","Traill's Temperance Coffee House"
"http://dbpedia.org/resource/Varallo's","Varallo's"
"http://dbpedia.org/resource/Vegan_jambon","Vegan jambon"
"http://dbpedia.org/resource/Akara","Akara"
"http://dbpedia.org/resource/Al_pastor","Al pastor"
"http://dbpedia.org/resource/Escape_from_New_York_Pizza","Escape from New York Pizza"
"http://dbpedia.org/resource/Espresso_Vivace","Espresso Vivace"
"http://dbpedia.org/resource/Esquires","Esquires"
"http://dbpedia.org/resource/Ethos_Water","Ethos Water"
"http://dbpedia.org/resource/National_Pizza_Month","National Pizza Month"
"http://dbpedia.org/resource/Quesadilla","Quesadilla"
"http://dbpedia.org/resource/Hard-shell_taco","Hard-shell taco"
"http://dbpedia.org/resource/Harris_+_Hoole","Harris + Hoole"
"http://dbpedia.org/resource/List_of_former_public_houses_and_coffeehouses_in_Boston","List of former public houses and coffeehouses in Boston"
"http://dbpedia.org/resource/List_of_pizza_chains_of_the_United_States","List of pizza chains of the United States"
"http://dbpedia.org/resource/List_of_pizzerias_in_Australia","List of pizzerias in Australia"
"http://dbpedia.org/resource/Po'_boy","Po' boy"
"http://dbpedia.org/resource/Subgum","Subgum"
"http://dbpedia.org/resource/Northcountry_Women's_Coffeehouse","Northcountry Women's Coffeehouse"
"http://dbpedia.org/resource/Nürnberger_Rostbratwurst","Nürnberger Rostbratwurst"
"http://dbpedia.org/resource/Pepián","Pepián"
"http://dbpedia.org/resource/Peremech","Peremech"
"http://dbpedia.org/resource/2016_Jakarta_attacks","2016 Jakarta attacks"
"http://dbpedia.org/resource/Assembly_Brewing","Assembly Brewing"
"http://dbpedia.org/resource/Atlas_Pizza","Atlas Pizza"
"http://dbpedia.org/resource/Baby_Blue_Pizza","Baby Blue Pizza"
"http://dbpedia.org/resource/Baby_Doll_Pizza","Baby Doll Pizza"
"http://dbpedia.org/resource/Backspace_(Portland,_Oregon)","Backspace (Portland, Oregon)"
"http://dbpedia.org/resource/Baconator","Baconator"
"http://dbpedia.org/resource/Dodo_Pizza","Dodo Pizza"
"http://dbpedia.org/resource/Domino's_Pizza_Enterprises","Domino's Pizza Enterprises"
"http://dbpedia.org/resource/Domino's_Pizza_Group","Domino's Pizza Group"
