"fur","name"
"http://dbpedia.org/resource/Shelf_(storage)","Shelf (storage)"
"http://dbpedia.org/resource/Ladderax","Ladderax"
"http://dbpedia.org/resource/Tokyo_Designers_Week","Tokyo Designers Week"
"http://dbpedia.org/resource/Bay_(shelving)","Bay (shelving)"
"http://dbpedia.org/resource/Canterbury_(furniture)","Canterbury (furniture)"
"http://dbpedia.org/resource/Cassone","Cassone"
"http://dbpedia.org/resource/Slipcover","Slipcover"
"http://dbpedia.org/resource/Upholstery","Upholstery"
"http://dbpedia.org/resource/Window_cornice","Window cornice"
"http://dbpedia.org/resource/Window_seat_(type_of_sofa)","Window seat (type of sofa)"
"http://dbpedia.org/resource/Campaign_furniture","Campaign furniture"
"http://dbpedia.org/resource/Upholstery_frame","Upholstery frame"
"http://dbpedia.org/resource/Cardboard_furniture","Cardboard furniture"
"http://dbpedia.org/resource/Modern_furniture","Modern furniture"
"http://dbpedia.org/resource/Bail_handle","Bail handle"
"http://dbpedia.org/resource/Bamboo_wife","Bamboo wife"
"http://dbpedia.org/resource/Canapé_(furniture)","Canapé (furniture)"
"http://dbpedia.org/resource/Club_foot_(furniture)","Club foot (furniture)"
"http://dbpedia.org/resource/Spalliera","Spalliera"
"http://dbpedia.org/resource/Paw_feet","Paw feet"
"http://dbpedia.org/resource/Wardrobe","Wardrobe"
"http://dbpedia.org/resource/Audience_risers","Audience risers"
"http://dbpedia.org/resource/Hoosier_cabinet","Hoosier cabinet"
"http://dbpedia.org/resource/Grange_Furniture","Grange Furniture"
"http://dbpedia.org/resource/Horn_furniture","Horn furniture"
"http://dbpedia.org/resource/Medicine_cabinet","Medicine cabinet"
"http://dbpedia.org/resource/Lusterweibchen","Lusterweibchen"
"http://dbpedia.org/resource/Softseating","Softseating"
"http://dbpedia.org/resource/Noble_Households","Noble Households"
"http://dbpedia.org/resource/Table_(furniture)","Table (furniture)"
"http://dbpedia.org/resource/Ottoman_(furniture)","Ottoman (furniture)"
"http://dbpedia.org/resource/Sideboard","Sideboard"
"http://dbpedia.org/resource/Tallboy_(furniture)","Tallboy (furniture)"
"http://dbpedia.org/resource/Taboret","Taboret"
"http://dbpedia.org/resource/Teapoy","Teapoy"
"http://dbpedia.org/resource/Windsor_chair","Windsor chair"
"http://dbpedia.org/resource/Wall_unit","Wall unit"
"http://dbpedia.org/resource/Keeler_Building","Keeler Building"
"http://dbpedia.org/resource/Studio_furniture","Studio furniture"
"http://dbpedia.org/resource/Pastiglia","Pastiglia"
"http://dbpedia.org/resource/Adjustable_shelving","Adjustable shelving"
"http://dbpedia.org/resource/Soban","Soban"
"http://dbpedia.org/resource/32_mm_cabinetmaking_system","32 mm cabinetmaking system"
"http://dbpedia.org/resource/Seat","Seat"
"http://dbpedia.org/resource/Bench_(furniture)","Bench (furniture)"
"http://dbpedia.org/resource/Tansu","Tansu"
"http://dbpedia.org/resource/Cottage_furniture","Cottage furniture"
"http://dbpedia.org/resource/Pier_glass","Pier glass"
"http://dbpedia.org/resource/Serpentine_shape","Serpentine shape"
"http://dbpedia.org/resource/Drawer_pull","Drawer pull"
"http://dbpedia.org/resource/Occasional_furniture","Occasional furniture"
"http://dbpedia.org/resource/Umbrella_stand","Umbrella stand"
"http://dbpedia.org/resource/Drawing_board","Drawing board"
"http://dbpedia.org/resource/Furniture","Furniture"
"http://dbpedia.org/resource/Mahogany","Mahogany"
"http://dbpedia.org/resource/Box-spring","Box-spring"
"http://dbpedia.org/resource/Baptismal_font","Baptismal font"
"http://dbpedia.org/resource/Chair","Chair"
"http://dbpedia.org/resource/Easel","Easel"
"http://dbpedia.org/resource/Tray","Tray"
"http://dbpedia.org/resource/Cubicle","Cubicle"
