"lake","name"
"http://dbpedia.org/resource/Bagakain_Lake","Bagakain Lake"
"http://dbpedia.org/resource/Bazaleti_Lake","Bazaleti Lake"
"http://dbpedia.org/resource/Big_Sandy_Lake","Big Sandy Lake"
"http://dbpedia.org/resource/Billington_Sea","Billington Sea"
"http://dbpedia.org/resource/Blackledge_River","Blackledge River"
"http://dbpedia.org/resource/Blea_Water","Blea Water"
"http://dbpedia.org/resource/Budd_Lake_(Michigan)","Budd Lake (Michigan)"
"http://dbpedia.org/resource/Caddy_Lake","Caddy Lake"
"http://dbpedia.org/resource/Cardinia_Reservoir","Cardinia Reservoir"
"http://dbpedia.org/resource/Cassels_Lake","Cassels Lake"
"http://dbpedia.org/resource/Cassidy_Lake_(New_Brunswick)","Cassidy Lake (New Brunswick)"
"http://dbpedia.org/resource/Cedar_Lake_(Illinois)","Cedar Lake (Illinois)"
"http://dbpedia.org/resource/Chalan_Beel","Chalan Beel"
"http://dbpedia.org/resource/Chapo_Lake","Chapo Lake"
"http://dbpedia.org/resource/Chatyr-Kul","Chatyr-Kul"
"http://dbpedia.org/resource/Chub_Lake_(Carlton_County)","Chub Lake (Carlton County)"
"http://dbpedia.org/resource/Clark_Lake_(Door_County,_Wisconsin)","Clark Lake (Door County, Wisconsin)"
"http://dbpedia.org/resource/Clifton_Court_Forebay","Clifton Court Forebay"
"http://dbpedia.org/resource/Cospudener_See","Cospudener See"
"http://dbpedia.org/resource/Cotacotani_Lake","Cotacotani Lake"
"http://dbpedia.org/resource/Cross_Lake_(Temagami)","Cross Lake (Temagami)"
"http://dbpedia.org/resource/Crystal_Lake_(Dakota,_Minnesota)","Crystal Lake (Dakota, Minnesota)"
"http://dbpedia.org/resource/Curwensville_Lake","Curwensville Lake"
"http://dbpedia.org/resource/Dassower_See","Dassower See"
"http://dbpedia.org/resource/Deadwood_Reservoir","Deadwood Reservoir"
"http://dbpedia.org/resource/Dinner_Lake","Dinner Lake"
"http://dbpedia.org/resource/Dood_Tsagaan_Lake","Dood Tsagaan Lake"
"http://dbpedia.org/resource/Dælivannet","Dælivannet"
"http://dbpedia.org/resource/Eagle_Lake_(Desolation_Wilderness)","Eagle Lake (Desolation Wilderness)"
"http://dbpedia.org/resource/Eagle_Lake_(Lassen_County)","Eagle Lake (Lassen County)"
"http://dbpedia.org/resource/Eagle_Lake_(Tulare_County)","Eagle Lake (Tulare County)"
"http://dbpedia.org/resource/East_Alaska_Lake","East Alaska Lake"
"http://dbpedia.org/resource/El_Yeso_Dam","El Yeso Dam"
"http://dbpedia.org/resource/Elk_Lake_(British_Columbia)","Elk Lake (British Columbia)"
"http://dbpedia.org/resource/Emerald_Lake_(Utah)","Emerald Lake (Utah)"
"http://dbpedia.org/resource/Engstlensee","Engstlensee"
"http://dbpedia.org/resource/Europe_Lake","Europe Lake"
"http://dbpedia.org/resource/Fanshawe_Lake","Fanshawe Lake"
"http://dbpedia.org/resource/Fena_Lake","Fena Lake"
"http://dbpedia.org/resource/Fern_Lake","Fern Lake"
"http://dbpedia.org/resource/Flachsee","Flachsee"
"http://dbpedia.org/resource/Fresh_Pond_(Plymouth,_Massachusetts)","Fresh Pond (Plymouth, Massachusetts)"
"http://dbpedia.org/resource/Gebidumsee","Gebidumsee"
"http://dbpedia.org/resource/Gigerwaldsee","Gigerwaldsee"
"http://dbpedia.org/resource/Great_Herring_Pond","Great Herring Pond"
"http://dbpedia.org/resource/Green_Lake_(Texas)","Green Lake (Texas)"
"http://dbpedia.org/resource/Greve_Lake","Greve Lake"
"http://dbpedia.org/resource/Griessee","Griessee"
"http://dbpedia.org/resource/Gull_Lake_(Alberta)","Gull Lake (Alberta)"
"http://dbpedia.org/resource/Gwiazda_Lake","Gwiazda Lake"
"http://dbpedia.org/resource/Głuszyńskie_Lake","Głuszyńskie Lake"
"http://dbpedia.org/resource/Hacksjön","Hacksjön"
"http://dbpedia.org/resource/Henry_Hagg_Lake","Henry Hagg Lake"
"http://dbpedia.org/resource/Herridge_Lake","Herridge Lake"
"http://dbpedia.org/resource/Hillsdale_Lake","Hillsdale Lake"
"http://dbpedia.org/resource/Illsee","Illsee"
"http://dbpedia.org/resource/Inkwilersee","Inkwilersee"
"http://dbpedia.org/resource/Irvine_Lake","Irvine Lake"
"http://dbpedia.org/resource/Ivaylovgrad_Reservoir","Ivaylovgrad Reservoir"
"http://dbpedia.org/resource/Ixelles_Ponds","Ixelles Ponds"
"http://dbpedia.org/resource/Kedartal","Kedartal"
"http://dbpedia.org/resource/Khindsi_Lake","Khindsi Lake"
"http://dbpedia.org/resource/Lac_Brenet","Lac Brenet"
"http://dbpedia.org/resource/Lac_Phillipe","Lac Phillipe"
"http://dbpedia.org/resource/Lac_de_Cleuson","Lac de Cleuson"
"http://dbpedia.org/resource/Lac_de_Montsalvens","Lac de Montsalvens"
"http://dbpedia.org/resource/Lac_de_Moron","Lac de Moron"
"http://dbpedia.org/resource/Lac_de_Tseuzier","Lac de Tseuzier"
"http://dbpedia.org/resource/Lac_des_Taillères","Lac des Taillères"
"http://dbpedia.org/resource/Lac_des_Toules","Lac des Toules"
"http://dbpedia.org/resource/Lac_du_Vieux_Émosson","Lac du Vieux Émosson"
"http://dbpedia.org/resource/Lacul_Vulturilor","Lacul Vulturilor"
"http://dbpedia.org/resource/Lafarge_Lake","Lafarge Lake"
"http://dbpedia.org/resource/Lago_Bianco","Lago Bianco"
"http://dbpedia.org/resource/Lago_dei_Cavagnöö","Lago dei Cavagnöö"
"http://dbpedia.org/resource/Lago_del_Narèt","Lago del Narèt"
"http://dbpedia.org/resource/Lago_di_Livigno","Lago di Livigno"
"http://dbpedia.org/resource/Lago_di_Lucendro","Lago di Lucendro"
"http://dbpedia.org/resource/Lago_di_Luzzone","Lago di Luzzone"
"http://dbpedia.org/resource/Lago_di_Morghirolo","Lago di Morghirolo"
"http://dbpedia.org/resource/Laguna_Colorada","Laguna Colorada"
"http://dbpedia.org/resource/Lai_da_Curnera","Lai da Curnera"
"http://dbpedia.org/resource/Lai_da_Nalps","Lai da Nalps"
"http://dbpedia.org/resource/Lai_da_Sontga_Maria","Lai da Sontga Maria"
"http://dbpedia.org/resource/Lake_Abrau","Lake Abrau"
"http://dbpedia.org/resource/Lake_Anza","Lake Anza"
"http://dbpedia.org/resource/Lake_Bullen_Merri","Lake Bullen Merri"
"http://dbpedia.org/resource/Lake_Cascade","Lake Cascade"
"http://dbpedia.org/resource/Lake_Cheko","Lake Cheko"
"http://dbpedia.org/resource/Lake_Connewarre","Lake Connewarre"
"http://dbpedia.org/resource/Lake_Elmore","Lake Elmore"
"http://dbpedia.org/resource/Lake_Francis_Case","Lake Francis Case"
"http://dbpedia.org/resource/Lake_Galena_(Illinois)","Lake Galena (Illinois)"
"http://dbpedia.org/resource/Lake_George_(New_Brunswick)","Lake George (New Brunswick)"
"http://dbpedia.org/resource/Lake_Glenn_Shoals","Lake Glenn Shoals"
"http://dbpedia.org/resource/Lake_Gogebic","Lake Gogebic"
"http://dbpedia.org/resource/Lake_Holiday,_Virginia","Lake Holiday, Virginia"
"http://dbpedia.org/resource/Lake_Joondalup","Lake Joondalup"
"http://dbpedia.org/resource/Lake_Kasumigaura","Lake Kasumigaura"
"http://dbpedia.org/resource/Lake_Khasan","Lake Khasan"
"http://dbpedia.org/resource/Lake_Kuş","Lake Kuş"
"http://dbpedia.org/resource/Lake_Mackintosh","Lake Mackintosh"
"http://dbpedia.org/resource/Lake_Manguao","Lake Manguao"
"http://dbpedia.org/resource/Lake_Mattoon","Lake Mattoon"
