"mount","name"
"http://dbpedia.org/resource/Ailefroide","Ailefroide"
"http://dbpedia.org/resource/Ajodhya_Hills","Ajodhya Hills"
"http://dbpedia.org/resource/Allmannberget","Allmannberget"
"http://dbpedia.org/resource/Anderson_Peak_(San_Bernardino_Mountains)","Anderson Peak (San Bernardino Mountains)"
"http://dbpedia.org/resource/Annagh_Hill","Annagh Hill"
"http://dbpedia.org/resource/Arklow_Hill","Arklow Hill"
"http://dbpedia.org/resource/Askio","Askio"
"http://dbpedia.org/resource/Atwell_Peak","Atwell Peak"
"http://dbpedia.org/resource/Barrclashcame","Barrclashcame"
"http://dbpedia.org/resource/Basin_Mountain_(New_York)","Basin Mountain (New York)"
"http://dbpedia.org/resource/Baurtregaum","Baurtregaum"
"http://dbpedia.org/resource/Beinn_Chùirn","Beinn Chùirn"
"http://dbpedia.org/resource/Beinn_a'_Chroin","Beinn a' Chroin"
"http://dbpedia.org/resource/Beinn_na_Caillich_(Red_Hills)","Beinn na Caillich (Red Hills)"
"http://dbpedia.org/resource/Belianske_Tatras","Belianske Tatras"
"http://dbpedia.org/resource/Ben_Gorm","Ben Gorm"
"http://dbpedia.org/resource/Besso_(mountain)","Besso (mountain)"
"http://dbpedia.org/resource/Biblis_Tholus","Biblis Tholus"
"http://dbpedia.org/resource/Big_Bald_Mountain_(New_Brunswick)","Big Bald Mountain (New Brunswick)"
"http://dbpedia.org/resource/Big_Slide_Mountain_(New_York)","Big Slide Mountain (New York)"
"http://dbpedia.org/resource/Bimberi_Peak","Bimberi Peak"
"http://dbpedia.org/resource/Binn_idir_an_dá_Log","Binn idir an dá Log"
"http://dbpedia.org/resource/Black_Balsam_Knob","Black Balsam Knob"
"http://dbpedia.org/resource/Black_Mountain_(Catron_County,_New_Mexico)","Black Mountain (Catron County, New Mexico)"
"http://dbpedia.org/resource/Black_Mountain_(Nevada)","Black Mountain (Nevada)"
"http://dbpedia.org/resource/Black_Tooth_Mountain","Black Tooth Mountain"
"http://dbpedia.org/resource/Blacktail_Butte","Blacktail Butte"
"http://dbpedia.org/resource/Blånibba","Blånibba"
"http://dbpedia.org/resource/Bowie_Seamount","Bowie Seamount"
"http://dbpedia.org/resource/Bowsey_Hill","Bowsey Hill"
"http://dbpedia.org/resource/Bradley_Mountain","Bradley Mountain"
"http://dbpedia.org/resource/Bradshaw_Mountains","Bradshaw Mountains"
"http://dbpedia.org/resource/Breidtinden_(Berg)","Breidtinden (Berg)"
"http://dbpedia.org/resource/Brothers_Volcano","Brothers Volcano"
"http://dbpedia.org/resource/Bukkehøe","Bukkehøe"
"http://dbpedia.org/resource/Camenabologue","Camenabologue"
"http://dbpedia.org/resource/Carrick_Mountain","Carrick Mountain"
"http://dbpedia.org/resource/Carron_Mountain","Carron Mountain"
"http://dbpedia.org/resource/Cathole_Mountain","Cathole Mountain"
"http://dbpedia.org/resource/Central_Range_Point","Central Range Point"
"http://dbpedia.org/resource/Charlies_Bunion","Charlies Bunion"
"http://dbpedia.org/resource/Chiricahua_Peak","Chiricahua Peak"
"http://dbpedia.org/resource/Christmas_Mountains","Christmas Mountains"
"http://dbpedia.org/resource/Cloghernagh","Cloghernagh"
"http://dbpedia.org/resource/Cloud_Peak_(Taiwan)","Cloud Peak (Taiwan)"
"http://dbpedia.org/resource/Cobb_Mountain","Cobb Mountain"
"http://dbpedia.org/resource/Conavalla","Conavalla"
"http://dbpedia.org/resource/Copper_Mountain_(British_Columbia)","Copper Mountain (British Columbia)"
"http://dbpedia.org/resource/Crabbe_Mountain","Crabbe Mountain"
"http://dbpedia.org/resource/Croghan_Mountain","Croghan Mountain"
"http://dbpedia.org/resource/Cruach_Ardrain","Cruach Ardrain"
"http://dbpedia.org/resource/Dimbulagala","Dimbulagala"
"http://dbpedia.org/resource/Djurdjura","Djurdjura"
"http://dbpedia.org/resource/Doom_Mountain","Doom Mountain"
"http://dbpedia.org/resource/East_Peak_(New_Haven_County,_Connecticut)","East Peak (New Haven County, Connecticut)"
"http://dbpedia.org/resource/El_Toro_(Menorca)","El Toro (Menorca)"
"http://dbpedia.org/resource/Erta_Ale","Erta Ale"
"http://dbpedia.org/resource/Fauscoum","Fauscoum"
"http://dbpedia.org/resource/Forbordsfjellet","Forbordsfjellet"
"http://dbpedia.org/resource/Fountain_Bluff","Fountain Bluff"
"http://dbpedia.org/resource/Franconia_Range","Franconia Range"
"http://dbpedia.org/resource/Furnace_Mountain_(Virginia)","Furnace Mountain (Virginia)"
"http://dbpedia.org/resource/Garlaban","Garlaban"
"http://dbpedia.org/resource/Glastenbury_Mountain","Glastenbury Mountain"
"http://dbpedia.org/resource/Grand_Cornier","Grand Cornier"
"http://dbpedia.org/resource/Granite_Mountain_(Arizona)","Granite Mountain (Arizona)"
"http://dbpedia.org/resource/Grattai_Mountain","Grattai Mountain"
"http://dbpedia.org/resource/Great_Balsam_Mountains","Great Balsam Mountains"
"http://dbpedia.org/resource/Great_White_Throne_(mountain)","Great White Throne (mountain)"
"http://dbpedia.org/resource/Hamperokken","Hamperokken"
"http://dbpedia.org/resource/Heiglkopf","Heiglkopf"
"http://dbpedia.org/resource/Hermannsdalstinden","Hermannsdalstinden"
"http://dbpedia.org/resource/Hochtor","Hochtor"
"http://dbpedia.org/resource/Høgste_Breakulen","Høgste Breakulen"
"http://dbpedia.org/resource/Kara_Dag_Mountain","Kara Dag Mountain"
"http://dbpedia.org/resource/Kavachi","Kavachi"
"http://dbpedia.org/resource/Kawagarbo","Kawagarbo"
"http://dbpedia.org/resource/Keeper_Hill","Keeper Hill"
"http://dbpedia.org/resource/Kesselkogel","Kesselkogel"
"http://dbpedia.org/resource/Khao_Luang","Khao Luang"
"http://dbpedia.org/resource/Kinnoull_Hill","Kinnoull Hill"
"http://dbpedia.org/resource/Knockoura","Knockoura"
"http://dbpedia.org/resource/Komagaksla","Komagaksla"
"http://dbpedia.org/resource/Kozubová","Kozubová"
"http://dbpedia.org/resource/Krottenkopf","Krottenkopf"
"http://dbpedia.org/resource/Krstac","Krstac"
"http://dbpedia.org/resource/Kvasstinden","Kvasstinden"
"http://dbpedia.org/resource/La_Plata_Mountains","La Plata Mountains"
"http://dbpedia.org/resource/Lagginhorn","Lagginhorn"
"http://dbpedia.org/resource/Lamentation_Mountain","Lamentation Mountain"
"http://dbpedia.org/resource/Le_Relais","Le Relais"
"http://dbpedia.org/resource/Leirhøi","Leirhøi"
"http://dbpedia.org/resource/Les_Bans","Les Bans"
"http://dbpedia.org/resource/Les_Droites","Les Droites"
"http://dbpedia.org/resource/Lincoln_Peak_(Vermont)","Lincoln Peak (Vermont)"
"http://dbpedia.org/resource/Loudoun_Heights_(mountain)","Loudoun Heights (mountain)"
"http://dbpedia.org/resource/Marble_Mountains_(Siskiyou_County)","Marble Mountains (Siskiyou County)"
"http://dbpedia.org/resource/Maulin","Maulin"
"http://dbpedia.org/resource/Maumtrasna","Maumtrasna"
"http://dbpedia.org/resource/McCullough_Range","McCullough Range"
"http://dbpedia.org/resource/Meall_na_Teanga","Meall na Teanga"
"http://dbpedia.org/resource/Midtre_Skagastølstind","Midtre Skagastølstind"
"http://dbpedia.org/resource/Moelfre_Uchaf","Moelfre Uchaf"
"http://dbpedia.org/resource/Monaco_Bank_(volcano)","Monaco Bank (volcano)"
"http://dbpedia.org/resource/Mons_Argaeus","Mons Argaeus"
"http://dbpedia.org/resource/Mont_Blanc_de_Cheilon","Mont Blanc de Cheilon"
"http://dbpedia.org/resource/Mont_Brome","Mont Brome"
"http://dbpedia.org/resource/Mont_Collon","Mont Collon"
"http://dbpedia.org/resource/Mont_Lozère","Mont Lozère"
"http://dbpedia.org/resource/Mont_Panié","Mont Panié"
"http://dbpedia.org/resource/Mont_Pourri","Mont Pourri"
"http://dbpedia.org/resource/Monte_Amiata","Monte Amiata"
"http://dbpedia.org/resource/Monte_Leone","Monte Leone"
"http://dbpedia.org/resource/Monte_Maggiorasca","Monte Maggiorasca"
"http://dbpedia.org/resource/Monte_Prelà","Monte Prelà"
"http://dbpedia.org/resource/Monte_San_Giorgio","Monte San Giorgio"
"http://dbpedia.org/resource/Monte_Zoncolan","Monte Zoncolan"
"http://dbpedia.org/resource/Montpelier_Hill","Montpelier Hill"
"http://dbpedia.org/resource/Moore's_Knob","Moore's Knob"
"http://dbpedia.org/resource/Mount_Agassiz_(California)","Mount Agassiz (California)"
"http://dbpedia.org/resource/Mount_Alifan","Mount Alifan"
"http://dbpedia.org/resource/Mount_Baigu","Mount Baigu"
"http://dbpedia.org/resource/Mount_Baldy_(Arizona)","Mount Baldy (Arizona)"
"http://dbpedia.org/resource/Mount_Bunagatake","Mount Bunagatake"
"http://dbpedia.org/resource/Mount_Catherine_(Washington)","Mount Catherine (Washington)"
"http://dbpedia.org/resource/Mount_Coree","Mount Coree"
"http://dbpedia.org/resource/Mount_Dajian","Mount Dajian"
"http://dbpedia.org/resource/Mount_Danda","Mount Danda"
"http://dbpedia.org/resource/Mount_Davraz","Mount Davraz"
"http://dbpedia.org/resource/Mount_Daxue","Mount Daxue"
"http://dbpedia.org/resource/Mount_Defiance_(New_York)","Mount Defiance (New York)"
"http://dbpedia.org/resource/Mount_Dongjun","Mount Dongjun"
"http://dbpedia.org/resource/Mount_Ellery","Mount Ellery"
"http://dbpedia.org/resource/Mount_Everett","Mount Everett"
"http://dbpedia.org/resource/Mount_Ginini","Mount Ginini"
"http://dbpedia.org/resource/Mount_Goodsir","Mount Goodsir"
"http://dbpedia.org/resource/Mount_Grant_(Vermont)","Mount Grant (Vermont)"
"http://dbpedia.org/resource/Mount_Haku_(Hyōgo)","Mount Haku (Hyōgo)"
"http://dbpedia.org/resource/Mount_Harwood","Mount Harwood"
"http://dbpedia.org/resource/Mount_Helen_(Wyoming)","Mount Helen (Wyoming)"
