"mGenre","name"
"http://dbpedia.org/resource/3D_modeler","3D modeler"
"http://dbpedia.org/resource/Application_launcher","Application launcher"
"http://dbpedia.org/resource/California_Soul","California Soul"
"http://dbpedia.org/resource/Citcom","Citcom"
"http://dbpedia.org/resource/Dark","Dark"
"http://dbpedia.org/resource/Dictator_novel","Dictator novel"
"http://dbpedia.org/resource/Elizabeth_Nourse","Elizabeth Nourse"
"http://dbpedia.org/resource/Garage_punk_(fusion_genre)","Garage punk (fusion genre)"
"http://dbpedia.org/resource/Goldwork_(embroidery)","Goldwork (embroidery)"
"http://dbpedia.org/resource/Internet_of_things","Internet of things"
"http://dbpedia.org/resource/LGBT_Literature","LGBT Literature"
"http://dbpedia.org/resource/Music_genre","Music genre"
"http://dbpedia.org/resource/Pakistani_pop_music","Pakistani pop music"
"http://dbpedia.org/resource/Television_production","Television production"
"http://dbpedia.org/resource/3D_model","3D model"
"http://dbpedia.org/resource/Crime_novel","Crime novel"
"http://dbpedia.org/resource/Electro-acoustic","Electro-acoustic"
"http://dbpedia.org/resource/Animated","Animated"
"http://dbpedia.org/resource/Crowd_manipulation","Crowd manipulation"
"http://dbpedia.org/resource/Desh_(raga)","Desh (raga)"
"http://dbpedia.org/resource/Egbert_van_der_Poel","Egbert van der Poel"
"http://dbpedia.org/resource/Electronic_punk","Electronic punk"
"http://dbpedia.org/resource/Elias_Martin","Elias Martin"
"http://dbpedia.org/resource/Newsgame","Newsgame"
"http://dbpedia.org/resource/Physics_game","Physics game"
"http://dbpedia.org/resource/Situation_comedy","Situation comedy"
"http://dbpedia.org/resource/Telenovela","Telenovela"
"http://dbpedia.org/resource/Witch_house_(genre)","Witch house (genre)"
"http://dbpedia.org/resource/API","API"
"http://dbpedia.org/resource/Art_pop","Art pop"
"http://dbpedia.org/resource/Banking_software","Banking software"
"http://dbpedia.org/resource/Bitcoin","Bitcoin"
"http://dbpedia.org/resource/Burmese_royal_titles","Burmese royal titles"
"http://dbpedia.org/resource/Command-line_interface","Command-line interface"
"http://dbpedia.org/resource/DevOps","DevOps"
"http://dbpedia.org/resource/E-mail","E-mail"
"http://dbpedia.org/resource/Gurjari_(raga)","Gurjari (raga)"
"http://dbpedia.org/resource/Harawi_(genre)","Harawi (genre)"
"http://dbpedia.org/resource/Mormon_studies","Mormon studies"
"http://dbpedia.org/resource/Pentecostal","Pentecostal"
"http://dbpedia.org/resource/Tween_(demographic)","Tween (demographic)"
"http://dbpedia.org/resource/African_blues","African blues"
"http://dbpedia.org/resource/Art_Pop","Art Pop"
