"pol","name"
"http://dbpedia.org/resource/3rd_Taktra_Rinpoche","3rd Taktra Rinpoche"
"http://dbpedia.org/resource/8th_Arjia_Rinpoche","8th Arjia Rinpoche"
"http://dbpedia.org/resource/9th_Jebtsundamba_Khutughtu","9th Jebtsundamba Khutughtu"
"http://dbpedia.org/resource/A'eau_Peniamina","A'eau Peniamina"
"http://dbpedia.org/resource/A.B.M._Fazle_Karim_Chowdhury","A.B.M. Fazle Karim Chowdhury"
"http://dbpedia.org/resource/A.B.M._Ruhul_Amin_Howlader","A.B.M. Ruhul Amin Howlader"
"http://dbpedia.org/resource/A.J.H._Stewart","A.J.H. Stewart"
"http://dbpedia.org/resource/A.J._Andrews","A.J. Andrews"
"http://dbpedia.org/resource/A.K.M._Mostafizur_Rahman","A.K.M. Mostafizur Rahman"
"http://dbpedia.org/resource/A.K.M._Rahmatullah","A.K.M. Rahmatullah"
"http://dbpedia.org/resource/A.K.M._Shahjahan_Kamal","A.K.M. Shahjahan Kamal"
"http://dbpedia.org/resource/A.M._Thomas","A.M. Thomas"
"http://dbpedia.org/resource/A.T._Frank","A.T. Frank"
"http://dbpedia.org/resource/A.V._Kunjambu","A.V. Kunjambu"
"http://dbpedia.org/resource/A._A._Adams","A. A. Adams"
"http://dbpedia.org/resource/A._A._Ames","A. A. Ames"
"http://dbpedia.org/resource/A._A._Aziz","A. A. Aziz"
"http://dbpedia.org/resource/A._A._Baramuli","A. A. Baramuli"
"http://dbpedia.org/resource/A._A._Birch_Jr.","A. A. Birch Jr."
"http://dbpedia.org/resource/A._A._Heaps","A. A. Heaps"
"http://dbpedia.org/resource/A._A._K._Niazi","A. A. K. Niazi"
"http://dbpedia.org/resource/A._A._MacLeod","A. A. MacLeod"
"http://dbpedia.org/resource/A._A._Maruf_Saklain","A. A. Maruf Saklain"
"http://dbpedia.org/resource/A._A._Pennington","A. A. Pennington"
"http://dbpedia.org/resource/A._A._Rahim","A. A. Rahim"
"http://dbpedia.org/resource/A._A._Townsend","A. A. Townsend"
"http://dbpedia.org/resource/A._A._Wijethunga","A. A. Wijethunga"
"http://dbpedia.org/resource/A._Aiyappan","A. Aiyappan"
"http://dbpedia.org/resource/A._Amirthalingam","A. Amirthalingam"
"http://dbpedia.org/resource/A._Andrew_Hauk","A. Andrew Hauk"
"http://dbpedia.org/resource/A._Anwhar_Raajhaa","A. Anwhar Raajhaa"
"http://dbpedia.org/resource/A._Aravind_Kumar","A. Aravind Kumar"
"http://dbpedia.org/resource/A._Arunmozhithevan","A. Arunmozhithevan"
"http://dbpedia.org/resource/A._Asokan","A. Asokan"
"http://dbpedia.org/resource/A._B._A._Ghani_Khan_Choudhury","A. B. A. Ghani Khan Choudhury"
"http://dbpedia.org/resource/A._B._Bardhan","A. B. Bardhan"
"http://dbpedia.org/resource/A._B._Comfort","A. B. Comfort"
"http://dbpedia.org/resource/A._B._Comstock","A. B. Comstock"
"http://dbpedia.org/resource/A._B._Dilworth","A. B. Dilworth"
"http://dbpedia.org/resource/A._B._Fyers","A. B. Fyers"
"http://dbpedia.org/resource/A._B._M._Khairul_Haque","A. B. M. Khairul Haque"
"http://dbpedia.org/resource/A._B._M._Mohiuddin_Chowdhury","A. B. M. Mohiuddin Chowdhury"
"http://dbpedia.org/resource/A._B._Swindell","A. B. Swindell"
"http://dbpedia.org/resource/A._Bartlett_Giamatti","A. Bartlett Giamatti"
"http://dbpedia.org/resource/A._Barton_Hepburn","A. Barton Hepburn"
"http://dbpedia.org/resource/A._Boyd_Ferris","A. Boyd Ferris"
"http://dbpedia.org/resource/A._Bruce_Bielaski","A. Bruce Bielaski"
"http://dbpedia.org/resource/A._C._Benson","A. C. Benson"
"http://dbpedia.org/resource/A._C._Bonnell","A. C. Bonnell"
"http://dbpedia.org/resource/A._C._Clemons","A. C. Clemons"
"http://dbpedia.org/resource/A._C._Croom","A. C. Croom"
"http://dbpedia.org/resource/A._C._Crowder","A. C. Crowder"
"http://dbpedia.org/resource/A._C._Cuza","A. C. Cuza"
"http://dbpedia.org/resource/A._C._Gibbs","A. C. Gibbs"
"http://dbpedia.org/resource/A._C._Grayling","A. C. Grayling"
"http://dbpedia.org/resource/A._C._Hamlin","A. C. Hamlin"
"http://dbpedia.org/resource/A._C._Jose","A. C. Jose"
"http://dbpedia.org/resource/A._C._Moideen","A. C. Moideen"
"http://dbpedia.org/resource/A._C._N._Nambiar","A. C. N. Nambiar"
"http://dbpedia.org/resource/A._Canagaratnam","A. Canagaratnam"
"http://dbpedia.org/resource/A._Carville_Foster","A. Carville Foster"
"http://dbpedia.org/resource/A._Cavour_Chapman","A. Cavour Chapman"
"http://dbpedia.org/resource/A._Cecil_Snyder","A. Cecil Snyder"
"http://dbpedia.org/resource/A._Chandranehru","A. Chandranehru"
"http://dbpedia.org/resource/A._Chapin_Whiting","A. Chapin Whiting"
"http://dbpedia.org/resource/A._Chase_Fawcett","A. Chase Fawcett"
"http://dbpedia.org/resource/A._Constantine_Barry","A. Constantine Barry"
"http://dbpedia.org/resource/A._Coomaraswamy","A. Coomaraswamy"
"http://dbpedia.org/resource/A._Crozer_Reeves","A. Crozer Reeves"
"http://dbpedia.org/resource/A._D._Duffey","A. D. Duffey"
"http://dbpedia.org/resource/A._D._Loganathan","A. D. Loganathan"
"http://dbpedia.org/resource/A._D._Rice","A. D. Rice"
"http://dbpedia.org/resource/A._David_Mazzone","A. David Mazzone"
"http://dbpedia.org/resource/A._Dayton_Oliphant","A. Dayton Oliphant"
"http://dbpedia.org/resource/A._Dean_Jeffs","A. Dean Jeffs"
"http://dbpedia.org/resource/A._Devitt_Vanech","A. Devitt Vanech"
"http://dbpedia.org/resource/A._Durai_Arasan","A. Durai Arasan"
"http://dbpedia.org/resource/A._E._Sunderland","A. E. Sunderland"
"http://dbpedia.org/resource/A._Ekanayake_Gunasinha","A. Ekanayake Gunasinha"
"http://dbpedia.org/resource/A._F._Golam_Osmani","A. F. Golam Osmani"
"http://dbpedia.org/resource/A._F._M._Ahsanuddin_Chowdhury","A. F. M. Ahsanuddin Chowdhury"
"http://dbpedia.org/resource/A._F._M._Entaz_Ali","A. F. M. Entaz Ali"
"http://dbpedia.org/resource/A._F._Maciejewski","A. F. Maciejewski"
"http://dbpedia.org/resource/A._F._Summer","A. F. Summer"
"http://dbpedia.org/resource/A._F._Vandeventer","A. F. Vandeventer"
"http://dbpedia.org/resource/A._G._Bainbridge","A. G. Bainbridge"
"http://dbpedia.org/resource/A._G._Daniells","A. G. Daniells"
"http://dbpedia.org/resource/A._G._Lancione","A. G. Lancione"
