"potus","name"
"http://dbpedia.org/resource/Joe_Biden","Joe Biden"
"http://dbpedia.org/resource/Benjamin_Harrison","Benjamin Harrison"
"http://dbpedia.org/resource/Barack_Obama","Barack Obama"
"http://dbpedia.org/resource/Abraham_Lincoln","Abraham Lincoln"
"http://dbpedia.org/resource/Andrew_Jackson","Andrew Jackson"
"http://dbpedia.org/resource/Andrew_Johnson","Andrew Johnson"
"http://dbpedia.org/resource/Bill_Clinton","Bill Clinton"
"http://dbpedia.org/resource/Calvin_Coolidge","Calvin Coolidge"
"http://dbpedia.org/resource/Dwight_D._Eisenhower","Dwight D. Eisenhower"
"http://dbpedia.org/resource/Franklin_D._Roosevelt","Franklin D. Roosevelt"
"http://dbpedia.org/resource/George_H._W._Bush","George H. W. Bush"
"http://dbpedia.org/resource/George_Washington","George Washington"
"http://dbpedia.org/resource/Grover_Cleveland","Grover Cleveland"
"http://dbpedia.org/resource/Herbert_Hoover","Herbert Hoover"
"http://dbpedia.org/resource/James_K._Polk","James K. Polk"
"http://dbpedia.org/resource/James_Madison","James Madison"
"http://dbpedia.org/resource/James_Monroe","James Monroe"
"http://dbpedia.org/resource/Jimmy_Carter","Jimmy Carter"
"http://dbpedia.org/resource/John_Quincy_Adams","John Quincy Adams"
"http://dbpedia.org/resource/Martin_Van_Buren","Martin Van Buren"
"http://dbpedia.org/resource/Donald_Trump","Donald Trump"
"http://dbpedia.org/resource/Gerald_Ford","Gerald Ford"
"http://dbpedia.org/resource/John_F._Kennedy","John F. Kennedy"
"http://dbpedia.org/resource/James_A._Garfield","James A. Garfield"
"http://dbpedia.org/resource/Lyndon_B._Johnson","Lyndon B. Johnson"
"http://dbpedia.org/resource/President_of_the_United_States","President of the United States"
"http://dbpedia.org/resource/Richard_Nixon","Richard Nixon"
"http://dbpedia.org/resource/Ronald_Reagan","Ronald Reagan"
"http://dbpedia.org/resource/Theodore_Roosevelt","Theodore Roosevelt"
"http://dbpedia.org/resource/Thomas_Jefferson","Thomas Jefferson"
"http://dbpedia.org/resource/Ulysses_S._Grant","Ulysses S. Grant"
"http://dbpedia.org/resource/Warren_G._Harding","Warren G. Harding"
"http://dbpedia.org/resource/William_Henry_Harrison","William Henry Harrison"
"http://dbpedia.org/resource/William_Howard_Taft","William Howard Taft"
"http://dbpedia.org/resource/William_McKinley","William McKinley"
"http://dbpedia.org/resource/Woodrow_Wilson","Woodrow Wilson"
"http://dbpedia.org/resource/George_W._Bush","George W. Bush"
"http://dbpedia.org/resource/Harry_S._Truman","Harry S. Truman"
"http://dbpedia.org/resource/John_Adams","John Adams"
"http://dbpedia.org/resource/Franklin_Pierce","Franklin Pierce"
"http://dbpedia.org/resource/James_Buchanan","James Buchanan"
"http://dbpedia.org/resource/John_Tyler","John Tyler"
"http://dbpedia.org/resource/Millard_Fillmore","Millard Fillmore"
"http://dbpedia.org/resource/Rutherford_B._Hayes","Rutherford B. Hayes"
"http://dbpedia.org/resource/Zachary_Taylor","Zachary Taylor"
"http://dbpedia.org/resource/Chester_A._Arthur","Chester A. Arthur"
