"usCo","name"
"http://dbpedia.org/resource/BMW_in_the_United_States","BMW in the United States"
"http://dbpedia.org/resource/CSX_Rigolets_Pass_Bridge","CSX Rigolets Pass Bridge"
"http://dbpedia.org/resource/Kiawah_Island_Golf_Resort","Kiawah Island Golf Resort"
"http://dbpedia.org/resource/S._Davies_Warfield","S. Davies Warfield"
"http://dbpedia.org/resource/Sneak_Prevue","Sneak Prevue"
"http://dbpedia.org/resource/WEPR","WEPR"
"http://dbpedia.org/resource/Palmetto_Citizens_Federal_Credit_Union","Palmetto Citizens Federal Credit Union"
"http://dbpedia.org/resource/Philadelphia_and_Reading_Railroad,_Bridge_at_West_Falls","Philadelphia and Reading Railroad, Bridge at West Falls"
"http://dbpedia.org/resource/Upper_Bay_Bridge","Upper Bay Bridge"
"http://dbpedia.org/resource/B&O_Railroad_Bridge","B&O Railroad Bridge"
"http://dbpedia.org/resource/Chesterfield_Inn","Chesterfield Inn"
"http://dbpedia.org/resource/Columbia_Railroad_Bridge","Columbia Railroad Bridge"
"http://dbpedia.org/resource/Grand_Rapids_Swing_Bridge","Grand Rapids Swing Bridge"
"http://dbpedia.org/resource/McCrady's_Tavern_and_Long_Room","McCrady's Tavern and Long Room"
"http://dbpedia.org/resource/Ocean_Forest_Country_Club","Ocean Forest Country Club"
"http://dbpedia.org/resource/Pleasant_Inn","Pleasant Inn"
"http://dbpedia.org/resource/Rainbow_Court","Rainbow Court"
"http://dbpedia.org/resource/Schuylkill_Arsenal_Railroad_Bridge","Schuylkill Arsenal Railroad Bridge"
"http://dbpedia.org/resource/South_Carolina_Central_Railroad","South Carolina Central Railroad"
"http://dbpedia.org/resource/Alcolu_Railroad","Alcolu Railroad"
"http://dbpedia.org/resource/Ashley_River_Railroad","Ashley River Railroad"
"http://dbpedia.org/resource/Atlantic_and_French_Broad_Valley_Railroad","Atlantic and French Broad Valley Railroad"
"http://dbpedia.org/resource/Augusta,_Knoxville_and_Greenwood_Railroad","Augusta, Knoxville and Greenwood Railroad"
"http://dbpedia.org/resource/Belton,_Williamston_and_Easley_Railroad","Belton, Williamston and Easley Railroad"
"http://dbpedia.org/resource/Cape_Fear_and_Yadkin_Valley_Railway","Cape Fear and Yadkin Valley Railway"
"http://dbpedia.org/resource/Carolina,_Cumberland_Gap_and_Chicago_Railway","Carolina, Cumberland Gap and Chicago Railway"
"http://dbpedia.org/resource/Carolina_Northern_Railroad","Carolina Northern Railroad"
