"usTech","name"
"http://dbpedia.org/resource/A._J._Riebli","A. J. Riebli"
"http://dbpedia.org/resource/AMBRA_Computer_Corporation","AMBRA Computer Corporation"
"http://dbpedia.org/resource/All_I_Need_(Matchbox_Twenty_song)","All I Need (Matchbox Twenty song)"
"http://dbpedia.org/resource/Amber_Lee_Ettinger","Amber Lee Ettinger"
"http://dbpedia.org/resource/Atari_video_game_burial","Atari video game burial"
"http://dbpedia.org/resource/Atlantis_(Aquaman)","Atlantis (Aquaman)"
"http://dbpedia.org/resource/Better_Than","Better Than"
"http://dbpedia.org/resource/Bill_Perkins_(saxophonist)","Bill Perkins (saxophonist)"
"http://dbpedia.org/resource/Bill_Walsh_College_Football_'95","Bill Walsh College Football '95"
"http://dbpedia.org/resource/Blender_Bros.","Blender Bros."
"http://dbpedia.org/resource/Brain_Drain_(comics)","Brain Drain (comics)"
"http://dbpedia.org/resource/Brandon_Hardesty","Brandon Hardesty"
"http://dbpedia.org/resource/Brett_Erlich","Brett Erlich"
"http://dbpedia.org/resource/Chicken_Skin_Music","Chicken Skin Music"
"http://dbpedia.org/resource/Chip_an'_Dale","Chip an' Dale"
"http://dbpedia.org/resource/Christine_Gambito","Christine Gambito"
"http://dbpedia.org/resource/Chrome_Dreams_II","Chrome Dreams II"
"http://dbpedia.org/resource/Cold_as_Ice_(Foreigner_song)","Cold as Ice (Foreigner song)"
"http://dbpedia.org/resource/D_(film)","D (film)"
"http://dbpedia.org/resource/David_Pakman","David Pakman"
"http://dbpedia.org/resource/Dig_Out_Your_Soul","Dig Out Your Soul"
"http://dbpedia.org/resource/Double_Dribble_(film)","Double Dribble (film)"
"http://dbpedia.org/resource/Easy_(Ralph_McTell_album)","Easy (Ralph McTell album)"
"http://dbpedia.org/resource/Eben_Fiske_Ostby","Eben Fiske Ostby"
"http://dbpedia.org/resource/Eggomania","Eggomania"
"http://dbpedia.org/resource/F-22:_Air_Dominance_Fighter","F-22: Air Dominance Fighter"
"http://dbpedia.org/resource/Feels_Like_the_First_Time","Feels Like the First Time"
"http://dbpedia.org/resource/Forever_(Kid_Rock_song)","Forever (Kid Rock song)"
"http://dbpedia.org/resource/G2G_(TV_series)","G2G (TV series)"
"http://dbpedia.org/resource/Gerard_Parkes","Gerard Parkes"
"http://dbpedia.org/resource/Hanna-Barbera's_All-Star_Comedy_Ice_Revue","Hanna-Barbera's All-Star Comedy Ice Revue"
"http://dbpedia.org/resource/Hannah_Montana:_The_Movie","Hannah Montana: The Movie"
"http://dbpedia.org/resource/Heathcliff_(1980_TV_series)","Heathcliff (1980 TV series)"
"http://dbpedia.org/resource/Heathcliff_(1984_TV_series)","Heathcliff (1984 TV series)"
"http://dbpedia.org/resource/Hospital_Food_(song)","Hospital Food (song)"
"http://dbpedia.org/resource/How_Far_We've_Come","How Far We've Come"
"http://dbpedia.org/resource/Hurt_(T.I._song)","Hurt (T.I. song)"
"http://dbpedia.org/resource/Hypnotized_(Plies_song)","Hypnotized (Plies song)"
"http://dbpedia.org/resource/I'm_Still_in_Love_with_You_(Sean_Paul_song)","I'm Still in Love with You (Sean Paul song)"
"http://dbpedia.org/resource/IMacros","IMacros"
"http://dbpedia.org/resource/Iggy_Arbuckle","Iggy Arbuckle"
"http://dbpedia.org/resource/It's_Just_a_Matter_of_Time_(song)","It's Just a Matter of Time (song)"
"http://dbpedia.org/resource/Jimmy_Hayward","Jimmy Hayward"
"http://dbpedia.org/resource/KKND2:_Krossfire","KKND2: Krossfire"
"http://dbpedia.org/resource/Katherine_Sarafian","Katherine Sarafian"
"http://dbpedia.org/resource/Kismat_Konnection","Kismat Konnection"
"http://dbpedia.org/resource/Knockout_Kings_2001","Knockout Kings 2001"
"http://dbpedia.org/resource/Looney_Tunes:_Marvin_Strikes_Back!","Looney Tunes: Marvin Strikes Back!"
"http://dbpedia.org/resource/Love's_About_to_Change_My_Heart","Love's About to Change My Heart"
"http://dbpedia.org/resource/Madden_NFL_09","Madden NFL 09"
"http://dbpedia.org/resource/Mark_McCorkle","Mark McCorkle"
"http://dbpedia.org/resource/Miles_Away_(Winger_song)","Miles Away (Winger song)"
"http://dbpedia.org/resource/Mireille_Soria","Mireille Soria"
"http://dbpedia.org/resource/Misunderstanding_(Genesis_song)","Misunderstanding (Genesis song)"
"http://dbpedia.org/resource/Never_Say_Never_(Brandy_song)","Never Say Never (Brandy song)"
"http://dbpedia.org/resource/Not_till_Tomorrow","Not till Tomorrow"
"http://dbpedia.org/resource/Out_of_Jimmy's_Head","Out of Jimmy's Head"
"http://dbpedia.org/resource/People_Are_Funny","People Are Funny"
"http://dbpedia.org/resource/Pete_Christlieb","Pete Christlieb"
"http://dbpedia.org/resource/Piggsburg_Pigs!","Piggsburg Pigs!"
"http://dbpedia.org/resource/Requiem_for_an_Almost_Lady","Requiem for an Almost Lady"
"http://dbpedia.org/resource/Romain_Grosjean","Romain Grosjean"
"http://dbpedia.org/resource/Runaround_Sue","Runaround Sue"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_10)","Saturday Night Live (season 10)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_11)","Saturday Night Live (season 11)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_12)","Saturday Night Live (season 12)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_13)","Saturday Night Live (season 13)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_14)","Saturday Night Live (season 14)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_15)","Saturday Night Live (season 15)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_5)","Saturday Night Live (season 5)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_6)","Saturday Night Live (season 6)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_7)","Saturday Night Live (season 7)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_8)","Saturday Night Live (season 8)"
"http://dbpedia.org/resource/Saturday_Night_Live_(season_9)","Saturday Night Live (season 9)"
"http://dbpedia.org/resource/Smosh","Smosh"
"http://dbpedia.org/resource/Soulja_Boy","Soulja Boy"
"http://dbpedia.org/resource/Teddy_Newton","Teddy Newton"
"http://dbpedia.org/resource/The_Best_of_Me_(David_Foster_song)","The Best of Me (David Foster song)"
"http://dbpedia.org/resource/The_Flintstones'_New_Neighbors","The Flintstones' New Neighbors"
"http://dbpedia.org/resource/The_Flintstones:_Fred's_Final_Fling","The Flintstones: Fred's Final Fling"
"http://dbpedia.org/resource/The_Flintstones:_Jogging_Fever","The Flintstones: Jogging Fever"
"http://dbpedia.org/resource/The_Flintstones:_Little_Big_League","The Flintstones: Little Big League"
"http://dbpedia.org/resource/The_Flintstones:_Wind-Up_Wilma","The Flintstones: Wind-Up Wilma"
"http://dbpedia.org/resource/The_New_Release","The New Release"
"http://dbpedia.org/resource/The_One_I_Love_(David_Gray_song)","The One I Love (David Gray song)"
"http://dbpedia.org/resource/The_Unhanged","The Unhanged"
"http://dbpedia.org/resource/To_Market,_to_Market_(Sex_and_the_City)","To Market, to Market (Sex and the City)"
"http://dbpedia.org/resource/Tom_McGrath_(animator)","Tom McGrath (animator)"
"http://dbpedia.org/resource/Victoria_Beckham:_Coming_to_America","Victoria Beckham: Coming to America"
"http://dbpedia.org/resource/Wild,_Wild_West_(The_Escape_Club_song)","Wild, Wild West (The Escape Club song)"
"http://dbpedia.org/resource/William_Reeves_(animator)","William Reeves (animator)"
"http://dbpedia.org/resource/Witch's_Night_Out","Witch's Night Out"
"http://dbpedia.org/resource/Wolves_(Idiot_Pilot_album)","Wolves (Idiot Pilot album)"
"http://dbpedia.org/resource/Work_That_Magic","Work That Magic"
"http://dbpedia.org/resource/You_Are_the_Woman","You Are the Woman"
"http://dbpedia.org/resource/You_Were_Meant_for_Me_(Jewel_song)","You Were Meant for Me (Jewel song)"
"http://dbpedia.org/resource/2010_FIFA_World_Cup_South_Africa_(video_game)","2010 FIFA World Cup South Africa (video game)"
"http://dbpedia.org/resource/7_Khoon_Maaf","7 Khoon Maaf"
"http://dbpedia.org/resource/Afro-Bossa","Afro-Bossa"
"http://dbpedia.org/resource/Airplanes_(song)","Airplanes (song)"
"http://dbpedia.org/resource/Appomattox_(statue)","Appomattox (statue)"
"http://dbpedia.org/resource/Asylum_(Disturbed_album)","Asylum (Disturbed album)"
