"veg","name"
"http://dbpedia.org/resource/Allium_textile","Allium textile"
"http://dbpedia.org/resource/Dal_makhani","Dal makhani"
"http://dbpedia.org/resource/Ligstroside","Ligstroside"
"http://dbpedia.org/resource/Lyrick_Studios","Lyrick Studios"
"http://dbpedia.org/resource/McCoy's_(crisp)","McCoy's (crisp)"
"http://dbpedia.org/resource/Oleuropein","Oleuropein"
"http://dbpedia.org/resource/Sabritas","Sabritas"
"http://dbpedia.org/resource/Soup_joumou","Soup joumou"
"http://dbpedia.org/resource/Taro_cake","Taro cake"
"http://dbpedia.org/resource/Tigerella","Tigerella"
"http://dbpedia.org/resource/Yellow_soybean_paste","Yellow soybean paste"
"http://dbpedia.org/resource/Annoying_Orange","Annoying Orange"
"http://dbpedia.org/resource/Bugala_Thermal_Power_Station","Bugala Thermal Power Station"
"http://dbpedia.org/resource/Ibrahim_Dada","Ibrahim Dada"
"http://dbpedia.org/resource/Joseph_Peabody","Joseph Peabody"
"http://dbpedia.org/resource/Kuala_Lumpur_Kepong_Berhad","Kuala Lumpur Kepong Berhad"
"http://dbpedia.org/resource/List_of_Annoying_Orange_episodes","List of Annoying Orange episodes"
"http://dbpedia.org/resource/List_of_hot_sauces","List of hot sauces"
"http://dbpedia.org/resource/Roundtable_on_Sustainable_Palm_Oil","Roundtable on Sustainable Palm Oil"
"http://dbpedia.org/resource/Federal_Land_Development_Authority","Federal Land Development Authority"
"http://dbpedia.org/resource/Kinema","Kinema"
"http://dbpedia.org/resource/Sakurajima_radish","Sakurajima radish"
"http://dbpedia.org/resource/Tacca_integrifolia","Tacca integrifolia"
"http://dbpedia.org/resource/Bamboo_shoot","Bamboo shoot"
"http://dbpedia.org/resource/Frederick_Douglass_and_the_White_Negro","Frederick Douglass and the White Negro"
"http://dbpedia.org/resource/Hannah_(1849_shipwreck)","Hannah (1849 shipwreck)"
"http://dbpedia.org/resource/Hungarian_wax_pepper","Hungarian wax pepper"
"http://dbpedia.org/resource/Infinity_chili","Infinity chili"
"http://dbpedia.org/resource/Jantzen_&_Thormählen","Jantzen & Thormählen"
"http://dbpedia.org/resource/Kambuzi","Kambuzi"
"http://dbpedia.org/resource/Nali_Sauce","Nali Sauce"
"http://dbpedia.org/resource/Reese's_Fast_Break","Reese's Fast Break"
"http://dbpedia.org/resource/Stokely-Van_Camp_Industrial_Complex","Stokely-Van Camp Industrial Complex"
"http://dbpedia.org/resource/The_Tale_of_the_Wonderful_Potato","The Tale of the Wonderful Potato"
"http://dbpedia.org/resource/Tung_oil","Tung oil"
"http://dbpedia.org/resource/Utz_Brands","Utz Brands"
"http://dbpedia.org/resource/Argan_oil","Argan oil"
"http://dbpedia.org/resource/Beefsteak_tomato","Beefsteak tomato"
"http://dbpedia.org/resource/Dal_bhat","Dal bhat"
