actors;p_age;p_gender;p_education;p_country;p_id
tomcruise;26;Male;Bachelor's degree;Germany;0
amyadams;26;Male;Bachelor's degree;Germany;0
arnoldschwarzenegger;26;Male;Bachelor's degree;Germany;0
jacknicholson;44;Male;Doctorate (e.g. PhD);Germany;1
nicolekidman;44;Male;Doctorate (e.g. PhD);Germany;1
georgeclooney;44;Male;Doctorate (e.g. PhD);Germany;1
gérarddepardieu;46;Male;Bachelor's degree;France;2
christinaricci;46;Male;Bachelor's degree;France;2
bradpitt;46;Male;Bachelor's degree;France;2
bradpitt;28;Male;Master's degree;Germany;3
denzelwashington;28;Male;Master's degree;Germany;3
georgeclooney;28;Male;Master's degree;Germany;3
nicolekidman;34;Female;Master's degree;Switzerland;4
merylstreep;34;Female;Master's degree;Switzerland;4
penelopecruz;34;Female;Master's degree;Switzerland;4
leonardodicaprio;27;Male;Bachelor's degree;Germany;5
dwaynejohnson;27;Male;Bachelor's degree;Germany;5
tomholland;27;Male;Bachelor's degree;Germany;5
georgeclooney;27;Male;Master's degree;Germany;6
amandaseyfried;27;Male;Master's degree;Germany;6
mattdamon;27;Male;Master's degree;Germany;6
angelinajolie;27;Male;Master's degree;Germany;7
brattpitt;27;Male;Master's degree;Germany;7
moritzbleibtreu;27;Male;Master's degree;Germany;7
bradpitt;28;Male;High school degree or equivalent;Germany;8
robertdeniro;28;Male;High school degree or equivalent;Germany;8
benaffleck;28;Male;High school degree or equivalent;Germany;8
robertdeniro;29;Male;Master's degree;Germany;9
tomhanks;29;Male;Master's degree;Germany;9
christophwaltz;29;Male;Master's degree;Germany;9
kevinbacon;26;Male;Master's degree;Germany;10
leonardodicaprio;26;Male;Master's degree;Germany;10
angelinajolie;26;Male;Master's degree;Germany;10
schwarzenegger;37;Male;Master's degree;Germany;11
stallone;37;Male;Master's degree;Germany;11
brunoganz;37;Male;Master's degree;Germany;11
juliaroberts;24;Male;Master's degree;Germany;12
tilschweiger;24;Male;Master's degree;Germany;12
janjosefliefers;24;Male;Master's degree;Germany;12
nan;26;Female;Master's degree;Germany;13
jenniferlawrence;26;Female;Master's degree;Germany;14
benaffleck;26;Female;Master's degree;Germany;14
chrishemsworth;26;Female;Master's degree;Germany;14
blakelively;28;Female;Doctorate (e.g. PhD);Germany;15
sandraoh;28;Female;Doctorate (e.g. PhD);Germany;15
georgeclooney;28;Female;Doctorate (e.g. PhD);Germany;15
tomcruse;25;Male;NaN;Germany;16
danielcraig;25;Male;NaN;Germany;16
georgecloony;31;Female;Master's degree;Germany;17
ryangossling;31;Female;Master's degree;Germany;17
jeniferlawrence;31;Female;Master's degree;Germany;17
billcosby;36;Male;Master's degree;Germany;18
charlysheen;36;Male;Master's degree;Germany;18
pamelaanderson;36;Male;Master's degree;Germany;18
leonardodicaprio;27;Male;Master's degree;Germany;19
robertdeniro;27;Male;Master's degree;Germany;19
juliaroberts;27;Male;Master's degree;Germany;19
