authors;p_age;p_gender;p_education;p_country;p_id
frankherbert;26;Male;Bachelor's degree;Germany;0
georger.r.martin;26;Male;Bachelor's degree;Germany;0
j.k.rowling;26;Male;Bachelor's degree;Germany;0
shakespeare;44;Male;Doctorate (e.g. PhD);Germany;1
goethe;44;Male;Doctorate (e.g. PhD);Germany;1
stephenking;44;Male;Doctorate (e.g. PhD);Germany;1
asimov;46;Male;Bachelor's degree;France;2
frankherbert;46;Male;Bachelor's degree;France;2
simmons;46;Male;Bachelor's degree;France;2
j.k.rowling;28;Male;Master's degree;Germany;3
johngrisham;28;Male;Master's degree;Germany;3
danbrown;28;Male;Master's degree;Germany;3
dostoevsky;34;Female;Master's degree;Switzerland;4
nabokov;34;Female;Master's degree;Switzerland;4
bradbury;34;Female;Master's degree;Switzerland;4
j.k.rowling;27;Male;Bachelor's degree;Germany;5
georger.r.martin;27;Male;Bachelor's degree;Germany;5
eoincolfer;27;Male;Bachelor's degree;Germany;5
julizeh;27;Male;Master's degree;Germany;6
michelhouellebecq;27;Male;Master's degree;Germany;6
michaellewis;27;Male;Master's degree;Germany;6
j.k.rowling;27;Male;Master's degree;Germany;7
sebastianfitzek;27;Male;Master's degree;Germany;7
martinsuter;27;Male;Master's degree;Germany;7
sebastianfitzek;28;Male;High school degree or equivalent;Germany;8
gerdkommer;28;Male;High school degree or equivalent;Germany;8
georgeorwell;29;Male;Master's degree;Germany;9
georger.r.martin;29;Male;Master's degree;Germany;9
ernestcline;29;Male;Master's degree;Germany;9
marcelsberg;26;Male;Master's degree;Germany;10
georger.r.martin;26;Male;Master's degree;Germany;10
georgeorwell;26;Male;Master's degree;Germany;10
kästner;37;Male;Master's degree;Germany;11
goethe;37;Male;Master's degree;Germany;11
franzen;37;Male;Master's degree;Germany;11
j.j.tolkin;24;Male;Master's degree;Germany;12
j.k.rowling;24;Male;Master's degree;Germany;12
marcuwekling;24;Male;Master's degree;Germany;12
j.k.rowling;26;Female;Master's degree;Germany;13
tolkien;26;Female;Master's degree;Germany;13
kerstingier;26;Female;Master's degree;Germany;13
michelleobama;26;Female;Master's degree;Germany;14
jkrowling;26;Female;Master's degree;Germany;14
gottfriedkeller;26;Female;Master's degree;Germany;14
sebastianfitzek;28;Female;Doctorate (e.g. PhD);Germany;15
ritafalk;28;Female;Doctorate (e.g. PhD);Germany;15
jojomoyes;28;Female;Doctorate (e.g. PhD);Germany;15
simonsinek;25;Male;NaN;Germany;16
stephanking;25;Male;NaN;Germany;16
j.k.rowling;31;Female;Master's degree;Germany;17
c.ruizzafon;31;Female;Master's degree;Germany;17
janeausten;31;Female;Master's degree;Germany;17
danbrown;36;Male;Master's degree;Germany;18
frankschätzing;36;Male;Master's degree;Germany;18
jkrowling;36;Male;Master's degree;Germany;18
jkrowling;27;Male;Master's degree;Germany;19
georger.r.martin;33;Male;Doctorate (e.g. PhD);Germany;20
hohlbein;33;Male;Doctorate (e.g. PhD);Germany;20
tolkien;33;Male;Doctorate (e.g. PhD);Germany;20
kurtvonnegut;26;Male;Bachelor's degree;USA;21
juliaroberts;26;Male;Bachelor's degree;USA;21
marktwain;26;Male;Bachelor's degree;USA;21
nan;44;Female;Doctorate (e.g. PhD);Sweden;22
stephenking;26;Male;Bachelor's degree;Germany;23
sebastianfitzek;26;Male;Bachelor's degree;Germany;23
robertt.kyosaki;26;Male;Bachelor's degree;Germany;23
nan;27;Male;Bachelor's degree;NaN;24
hansd.rosling;23;Male;Bachelor's degree;Germany;25
stevenking;22;Male;Bachelor's degree;Germany;26
goethe;22;Male;Bachelor's degree;Germany;26
