dax_companies;p_age;p_gender;p_education;p_country;p_id
sap;26;Male;Bachelor's degree;Germany;0
allianz;26;Male;Bachelor's degree;Germany;0
lufthansa;26;Male;Bachelor's degree;Germany;0
sap;44;Male;Doctorate (e.g. PhD);Germany;1
bmw;44;Male;Doctorate (e.g. PhD);Germany;1
siemens;44;Male;Doctorate (e.g. PhD);Germany;1
bayer;46;Male;Bachelor's degree;France;2
bmw;46;Male;Bachelor's degree;France;2
volkswagen;46;Male;Bachelor's degree;France;2
lufthansa;28;Male;Master's degree;Germany;3
volkswagen;28;Male;Master's degree;Germany;3
fresenius;28;Male;Master's degree;Germany;3
zalando;34;Female;Master's degree;Switzerland;4
volkswagen;34;Female;Master's degree;Switzerland;4
daimler;34;Female;Master's degree;Switzerland;4
mercedesbenz;27;Male;Bachelor's degree;Germany;5
basf;27;Male;Bachelor's degree;Germany;5
sap;27;Male;Bachelor's degree;Germany;5
sap;27;Male;Master's degree;Germany;6
basf;27;Male;Master's degree;Germany;6
zalando;27;Male;Master's degree;Germany;6
basf;27;Male;Master's degree;Germany;7
bmw;27;Male;Master's degree;Germany;7
allianz;27;Male;Master's degree;Germany;7
volkswagen;28;Male;High school degree or equivalent;Germany;8
adidas;28;Male;High school degree or equivalent;Germany;8
rheinmetall;28;Male;High school degree or equivalent;Germany;8
vw;29;Male;Master's degree;Germany;9
sap;29;Male;Master's degree;Germany;9
heidelbergcement;29;Male;Master's degree;Germany;9
daimler;26;Male;Master's degree;Germany;10
volkswagen;26;Male;Master's degree;Germany;10
sap;26;Male;Master's degree;Germany;10
siemens;37;Male;Master's degree;Germany;11
mercedes;37;Male;Master's degree;Germany;11
deutschebank;37;Male;Master's degree;Germany;11
henkel;24;Male;Master's degree;Germany;12
daimler;24;Male;Master's degree;Germany;12
sap;26;Female;Master's degree;Germany;13
lufthansa;26;Female;Master's degree;Germany;13
basf;26;Female;Master's degree;Germany;13
basf;26;Female;Master's degree;Germany;14
sap;26;Female;Master's degree;Germany;14
henkel;26;Female;Master's degree;Germany;14
bmw;28;Female;Doctorate (e.g. PhD);Germany;15
allianz;25;Male;NaN;Germany;16
adidas;25;Male;NaN;Germany;16
sap;25;Male;NaN;Germany;16
siemens;31;Female;Master's degree;Germany;17
volkswagen;31;Female;Master's degree;Germany;17
basf;31;Female;Master's degree;Germany;17
bmw;36;Male;Master's degree;Germany;18
lufthansa;36;Male;Master's degree;Germany;18
siemens;36;Male;Master's degree;Germany;18
bmw;27;Male;Master's degree;Germany;19
vw;27;Male;Master's degree;Germany;19
thyssenkrupp;27;Male;Master's degree;Germany;19
siemens;33;Male;Doctorate (e.g. PhD);Germany;20
infineon;33;Male;Doctorate (e.g. PhD);Germany;20
thyssenkrupp;33;Male;Doctorate (e.g. PhD);Germany;20
nan;26;Male;Bachelor's degree;USA;21
nan;44;Female;Doctorate (e.g. PhD);Sweden;22
fresenius;26;Male;Bachelor's degree;Germany;23
bmw;26;Male;Bachelor's degree;Germany;23
basf;26;Male;Bachelor's degree;Germany;23
sap;27;Male;Bachelor's degree;NaN;24
heidelbergcement;27;Male;Bachelor's degree;NaN;24
bechtle;27;Male;Bachelor's degree;NaN;24
allianz;23;Male;Bachelor's degree;Germany;25
adidas;23;Male;Bachelor's degree;Germany;25
bmw;23;Male;Bachelor's degree;Germany;25
hellofresh;22;Male;Bachelor's degree;Germany;26
lufthansa;22;Male;Bachelor's degree;Germany;26
heidelbergercement;22;Male;Bachelor's degree;Germany;26
lufthansa;25;Male;Bachelor's degree;Germany;27
audi;25;Male;Bachelor's degree;Germany;27
vw;25;Male;Bachelor's degree;Germany;27
mercedesbenz;27;Male;Master's degree;Germany;28
sap;27;Male;Master's degree;Germany;28
deliveryhero;27;Male;Master's degree;Germany;28
audi;30;Male;Bachelor's degree;USA;29
bayer;30;Male;Bachelor's degree;USA;29
sap;30;Male;Bachelor's degree;USA;29
daimler;28;Male;Master's degree;Germany;30
dhl;28;Male;Master's degree;Germany;30
volkswagen;28;Male;Master's degree;Germany;30
nan;38;Female;Doctorate (e.g. PhD);Greece;31
bmw;28;Male;Master's degree;Germany;32
