nineties_movies;p_age;p_gender;p_education;p_country;p_id
thematrix;26;Male;Bachelor's degree;Germany;0
groundhogday;26;Male;Bachelor's degree;Germany;0
goodfellas;26;Male;Bachelor's degree;Germany;0
batman;44;Male;Doctorate (e.g. PhD);Germany;1
matrix;44;Male;Doctorate (e.g. PhD);Germany;1
eyeswideshut;44;Male;Doctorate (e.g. PhD);Germany;1
totalrecall;46;Male;Bachelor's degree;France;2
lethalweapon;46;Male;Bachelor's degree;France;2
predator;46;Male;Bachelor's degree;France;2
léon:theprofessional;28;Male;Master's degree;Germany;3
thematrix;28;Male;Master's degree;Germany;3
departed;28;Male;Master's degree;Germany;3
homealone;34;Female;Master's degree;Switzerland;4
matrix;34;Female;Master's degree;Switzerland;4
titanic;34;Female;Master's degree;Switzerland;4
matrix;27;Male;Bachelor's degree;Germany;5
oceans11;27;Male;Master's degree;Germany;6
starwars;27;Male;Master's degree;Germany;6
harrypotter;27;Male;Master's degree;Germany;6
prettywoman;27;Male;Master's degree;Germany;7
dermitdemwolftanzt;27;Male;Master's degree;Germany;7
dasschweigenderlämmer;27;Male;Master's degree;Germany;7
americanpie1;28;Male;High school degree or equivalent;Germany;8
americanpie2;28;Male;High school degree or equivalent;Germany;8
americanpie3;28;Male;High school degree or equivalent;Germany;8
matrix;29;Male;Master's degree;Germany;9
pulpfiction;29;Male;Master's degree;Germany;9
shawshankredemption;29;Male;Master's degree;Germany;9
batmanreturns;26;Male;Master's degree;Germany;10
therainmaker;26;Male;Master's degree;Germany;10
jurrasicpark;37;Male;Master's degree;Germany;11
forrestgump;37;Male;Master's degree;Germany;11
ginawild3;37;Male;Master's degree;Germany;11
nottinghill;24;Male;Master's degree;Germany;12
nightbeforechristmas;26;Female;Master's degree;Germany;13
homealone;26;Female;Master's degree;Germany;14
dirtydancing;26;Female;Master's degree;Germany;14
clueless;28;Female;Doctorate (e.g. PhD);Germany;15
americanpie;28;Female;Doctorate (e.g. PhD);Germany;15
nan;25;Male;NaN;Germany;16
thelionking;31;Female;Master's degree;Germany;17
thematrix;31;Female;Master's degree;Germany;17
titanic;31;Female;Master's degree;Germany;17
honealone;36;Male;Master's degree;Germany;18
matrix;36;Male;Master's degree;Germany;18
titanic;36;Male;Master's degree;Germany;18
backtothefuture;27;Male;Master's degree;Germany;19
terminator;33;Male;Doctorate (e.g. PhD);Germany;20
jurassicpark;33;Male;Doctorate (e.g. PhD);Germany;20
waterworld;33;Male;Doctorate (e.g. PhD);Germany;20
thematrix;26;Male;Bachelor's degree;USA;21
diehard;26;Male;Bachelor's degree;USA;21
thefifthelement;26;Male;Bachelor's degree;USA;21
beingjohnmalkovich;44;Female;Doctorate (e.g. PhD);Sweden;22
thematrix;44;Female;Doctorate (e.g. PhD);Sweden;22
americanhistoryx;26;Male;Bachelor's degree;Germany;23
schindlersliste;26;Male;Bachelor's degree;Germany;23
matrix;26;Male;Bachelor's degree;Germany;23
nan;27;Male;Bachelor's degree;NaN;24
l.a.confidental;23;Male;Bachelor's degree;Germany;25
heat;23;Male;Bachelor's degree;Germany;25
thegreenmile;23;Male;Bachelor's degree;Germany;25
