music_genres;p_age;p_gender;p_education;p_country;p_id
pop;26;Male;Bachelor's degree;Germany;0
techno;26;Male;Bachelor's degree;Germany;0
rap;26;Male;Bachelor's degree;Germany;0
metal;44;Male;Doctorate (e.g. PhD);Germany;1
rock;44;Male;Doctorate (e.g. PhD);Germany;1
pop;44;Male;Doctorate (e.g. PhD);Germany;1
funk;46;Male;Bachelor's degree;France;2
rock;46;Male;Bachelor's degree;France;2
electro;46;Male;Bachelor's degree;France;2
techno;28;Male;Master's degree;Germany;3
house;28;Male;Master's degree;Germany;3
jazz;28;Male;Master's degree;Germany;3
jazz;34;Female;Master's degree;Switzerland;4
pop;34;Female;Master's degree;Switzerland;4
hiphop;34;Female;Master's degree;Switzerland;4
pop;27;Male;Bachelor's degree;Germany;5
jazz;27;Male;Bachelor's degree;Germany;5
swing;27;Male;Bachelor's degree;Germany;5
rock;27;Male;Master's degree;Germany;6
pop;27;Male;Master's degree;Germany;6
classic;27;Male;Master's degree;Germany;6
jazz;27;Male;Master's degree;Germany;7
rnb;27;Male;Master's degree;Germany;7
hiphop;27;Male;Master's degree;Germany;7
rap;28;Male;High school degree or equivalent;Germany;8
pop;28;Male;High school degree or equivalent;Germany;8
metal;28;Male;High school degree or equivalent;Germany;8
rock;29;Male;Master's degree;Germany;9
pop;29;Male;Master's degree;Germany;9
classical;29;Male;Master's degree;Germany;9
rock;26;Male;Master's degree;Germany;10
pop;26;Male;Master's degree;Germany;10
metal;26;Male;Master's degree;Germany;10
metal;37;Male;Master's degree;Germany;11
rock;37;Male;Master's degree;Germany;11
choral;37;Male;Master's degree;Germany;11
hiphop;24;Male;Master's degree;Germany;12
dance;24;Male;Master's degree;Germany;12
trance;24;Male;Master's degree;Germany;12
rock;26;Female;Master's degree;Germany;13
pop;26;Female;Master's degree;Germany;13
indie;26;Female;Master's degree;Germany;13
metal;26;Female;Master's degree;Germany;14
classical;26;Female;Master's degree;Germany;14
jazz;26;Female;Master's degree;Germany;14
soul;28;Female;Doctorate (e.g. PhD);Germany;15
indie;28;Female;Doctorate (e.g. PhD);Germany;15
hiphop;28;Female;Doctorate (e.g. PhD);Germany;15
hiphop;25;Male;NaN;Germany;16
classical;25;Male;NaN;Germany;16
jazz;25;Male;NaN;Germany;16
jazz;31;Female;Master's degree;Germany;17
rock;31;Female;Master's degree;Germany;17
blues;31;Female;Master's degree;Germany;17
pop;36;Male;Master's degree;Germany;18
rock;36;Male;Master's degree;Germany;18
indie;36;Male;Master's degree;Germany;18
funk;27;Male;Master's degree;Germany;19
hiphop;33;Male;Doctorate (e.g. PhD);Germany;20
jazz;33;Male;Doctorate (e.g. PhD);Germany;20
metal;33;Male;Doctorate (e.g. PhD);Germany;20
rock;26;Male;Bachelor's degree;USA;21
jazz;26;Male;Bachelor's degree;USA;21
classical;26;Male;Bachelor's degree;USA;21
rock;44;Female;Doctorate (e.g. PhD);Sweden;22
pop;44;Female;Doctorate (e.g. PhD);Sweden;22
heavymetal;44;Female;Doctorate (e.g. PhD);Sweden;22
techno;26;Male;Bachelor's degree;Germany;23
trance;26;Male;Bachelor's degree;Germany;23
metal;26;Male;Bachelor's degree;Germany;23
metal;27;Male;Bachelor's degree;NaN;24
rock;27;Male;Bachelor's degree;NaN;24
klassik;27;Male;Bachelor's degree;NaN;24
rock;23;Male;Bachelor's degree;Germany;25
hiphop;23;Male;Bachelor's degree;Germany;25
classical;23;Male;Bachelor's degree;Germany;25
pop;22;Male;Bachelor's degree;Germany;26
classical;22;Male;Bachelor's degree;Germany;26
funk;22;Male;Bachelor's degree;Germany;26
hiphop;25;Male;Bachelor's degree;Germany;27
rnb;25;Male;Bachelor's degree;Germany;27
rap;25;Male;Bachelor's degree;Germany;27
