politicians;p_age;p_gender;p_education;p_country;p_id
barackobama;26;Male;Bachelor's degree;Germany;0
olafscholz;26;Male;Bachelor's degree;Germany;0
roberthabeck;26;Male;Bachelor's degree;Germany;0
angelamerkel;44;Male;Doctorate (e.g. PhD);Germany;1
joebiden;44;Male;Doctorate (e.g. PhD);Germany;1
georgew.bush;44;Male;Doctorate (e.g. PhD);Germany;1
jeanlucmélenchon;46;Male;Bachelor's degree;France;2
raphaëlcorrea;46;Male;Bachelor's degree;France;2
gabrielboric;46;Male;Bachelor's degree;France;2
roberthabeck;28;Male;Master's degree;Germany;3
olafscholz;28;Male;Master's degree;Germany;3
martinschulz;28;Male;Master's degree;Germany;3
merkel;34;Female;Master's degree;Switzerland;4
obama;34;Female;Master's degree;Switzerland;4
biden;34;Female;Master's degree;Switzerland;4
angelamerkel;27;Male;Bachelor's degree;Germany;5
emanuelmacron;27;Male;Bachelor's degree;Germany;5
olafscholz;27;Male;Bachelor's degree;Germany;5
angelamerkel;27;Male;Master's degree;Germany;6
borisjohnson;27;Male;Master's degree;Germany;6
arnoldschwarzenegger;27;Male;Master's degree;Germany;6
merkel;27;Male;Master's degree;Germany;7
clinton;27;Male;Master's degree;Germany;7
putin;27;Male;Master's degree;Germany;7
olafscholz;28;Male;High school degree or equivalent;Germany;8
vladimirputin;28;Male;High school degree or equivalent;Germany;8
ursulavonderleyen;28;Male;High school degree or equivalent;Germany;8
wladimirputin;29;Male;Master's degree;Germany;9
marcustulliuscicero;29;Male;Master's degree;Germany;9
angelamerkel;29;Male;Master's degree;Germany;9
merkel;26;Male;Master's degree;Germany;10
obama;26;Male;Master's degree;Germany;10
johnson;26;Male;Master's degree;Germany;10
kohl;37;Male;Master's degree;Germany;11
merkel;37;Male;Master's degree;Germany;11
stroebel;37;Male;Master's degree;Germany;11
angelamerkel;24;Male;Master's degree;Germany;12
donaldtrump;24;Male;Master's degree;Germany;12
joebiden;24;Male;Master's degree;Germany;12
olafscholz;26;Female;Master's degree;Germany;13
annalenabaerbock;26;Female;Master's degree;Germany;13
christianlindner;26;Female;Master's degree;Germany;13
merkel;26;Female;Master's degree;Germany;14
putin;26;Female;Master's degree;Germany;14
biden;26;Female;Master's degree;Germany;14
merkel;28;Female;Doctorate (e.g. PhD);Germany;15
söder;28;Female;Doctorate (e.g. PhD);Germany;15
scholz;28;Female;Doctorate (e.g. PhD);Germany;15
angelamerkel;25;Male;NaN;Germany;16
joschkafischer;25;Male;NaN;Germany;16
wilfriedmartens;25;Male;NaN;Germany;16
angelamerkel;31;Female;Master's degree;Germany;17
olafscholz;31;Female;Master's degree;Germany;17
claudiaroth;31;Female;Master's degree;Germany;17
merkel;36;Male;Master's degree;Germany;18
clinton;36;Male;Master's degree;Germany;18
scholz;36;Male;Master's degree;Germany;18
angelamerkel;27;Male;Master's degree;Germany;19
wladimirputin;27;Male;Master's degree;Germany;19
borisjohnson;27;Male;Master's degree;Germany;19
merkel;33;Male;Doctorate (e.g. PhD);Germany;20
scholz;33;Male;Doctorate (e.g. PhD);Germany;20
söder;33;Male;Doctorate (e.g. PhD);Germany;20
borisjohnson;26;Male;Bachelor's degree;USA;21
vladimirputin;26;Male;Bachelor's degree;USA;21
olafschulz;26;Male;Bachelor's degree;USA;21
merkel;44;Female;Doctorate (e.g. PhD);Sweden;22
macron;44;Female;Doctorate (e.g. PhD);Sweden;22
putin;44;Female;Doctorate (e.g. PhD);Sweden;22
christianlindner;26;Male;Bachelor's degree;Germany;23
