us_presidents;p_age;p_gender;p_education;p_country;p_id
barackobama;26;Male;Bachelor's degree;Germany;0
joebiden;26;Male;Bachelor's degree;Germany;0
georgewashington;26;Male;Bachelor's degree;Germany;0
joebiden;44;Male;Doctorate (e.g. PhD);Germany;1
goergew.bush;44;Male;Doctorate (e.g. PhD);Germany;1
barackobama;44;Male;Doctorate (e.g. PhD);Germany;1
georgewashington;46;Male;Bachelor's degree;France;2
abrahamlincoln;46;Male;Bachelor's degree;France;2
richardnixon;46;Male;Bachelor's degree;France;2
donaldtrump;28;Male;Master's degree;Germany;3
johnf.kennedy;28;Male;Master's degree;Germany;3
geraldford;28;Male;Master's degree;Germany;3
obama;34;Female;Master's degree;Switzerland;4
biden;34;Female;Master's degree;Switzerland;4
lincoln;34;Female;Master's degree;Switzerland;4
barrackobama;27;Male;Bachelor's degree;Germany;5
donaldtrump;27;Male;Bachelor's degree;Germany;5
joebiden;27;Male;Bachelor's degree;Germany;5
washington;27;Male;Master's degree;Germany;6
adams;27;Male;Master's degree;Germany;6
madison;27;Male;Master's degree;Germany;6
clinton;27;Male;Master's degree;Germany;7
bush;27;Male;Master's degree;Germany;7
trump;27;Male;Master's degree;Germany;7
billclinton;28;Male;High school degree or equivalent;Germany;8
georgew.bush;28;Male;High school degree or equivalent;Germany;8
barackobama;28;Male;High school degree or equivalent;Germany;8
georgewashington;29;Male;Master's degree;Germany;9
abrahamlincoln;29;Male;Master's degree;Germany;9
barackobama;29;Male;Master's degree;Germany;9
obama;26;Male;Master's degree;Germany;10
bush;26;Male;Master's degree;Germany;10
biden;26;Male;Master's degree;Germany;10
trump;37;Male;Master's degree;Germany;11
washington;37;Male;Master's degree;Germany;11
roosevelt;37;Male;Master's degree;Germany;11
j.w.bush;24;Male;Master's degree;Germany;12
barackobama;24;Male;Master's degree;Germany;12
donaldtrump;24;Male;Master's degree;Germany;12
biden;26;Female;Master's degree;Germany;13
obama;26;Female;Master's degree;Germany;13
washington;26;Female;Master's degree;Germany;13
washington;26;Female;Master's degree;Germany;14
obama;26;Female;Master's degree;Germany;14
biden;26;Female;Master's degree;Germany;14
biden;28;Female;Doctorate (e.g. PhD);Germany;15
trump;28;Female;Doctorate (e.g. PhD);Germany;15
bush;28;Female;Doctorate (e.g. PhD);Germany;15
obama;25;Male;NaN;Germany;16
biden;25;Male;NaN;Germany;16
trump;25;Male;NaN;Germany;16
georgewashington;31;Female;Master's degree;Germany;17
barackobama;31;Female;Master's degree;Germany;17
donaldtrump;31;Female;Master's degree;Germany;17
clinton;36;Male;Master's degree;Germany;18
obama;36;Male;Master's degree;Germany;18
trump;36;Male;Master's degree;Germany;18
joebiden;27;Male;Master's degree;Germany;19
trump;33;Male;Doctorate (e.g. PhD);Germany;20
biden;33;Male;Doctorate (e.g. PhD);Germany;20
obama;33;Male;Doctorate (e.g. PhD);Germany;20
georgewbush;26;Male;Bachelor's degree;USA;21
barackobama;26;Male;Bachelor's degree;USA;21
franklindelanoroosevelt;26;Male;Bachelor's degree;USA;21
clinton;44;Female;Doctorate (e.g. PhD);Sweden;22
obama;44;Female;Doctorate (e.g. PhD);Sweden;22
trump;44;Female;Doctorate (e.g. PhD);Sweden;22
joebiden;26;Male;Bachelor's degree;Germany;23
donaldtrump;26;Male;Bachelor's degree;Germany;23
franklind.roosevelt;26;Male;Bachelor's degree;Germany;23
abrahamlincoln;27;Male;Bachelor's degree;NaN;24
barackobama;27;Male;Bachelor's degree;NaN;24
georgew.bush;27;Male;Bachelor's degree;NaN;24
georgew.bush;23;Male;Bachelor's degree;Germany;25
donaldtrump;23;Male;Bachelor's degree;Germany;25
ronaldreagan;23;Male;Bachelor's degree;Germany;25
biden;22;Male;Bachelor's degree;Germany;26
trump;22;Male;Bachelor's degree;Germany;26
obama;22;Male;Bachelor's degree;Germany;26
georgewbush;25;Male;Bachelor's degree;Germany;27
barackobama;25;Male;Bachelor's degree;Germany;27
donaldtrump;25;Male;Bachelor's degree;Germany;27
jefferson;27;Male;Master's degree;Germany;28
dixon;27;Male;Master's degree;Germany;28
lincoln;27;Male;Master's degree;Germany;28
abrahamlincoln;30;Male;Bachelor's degree;USA;29
jfk;30;Male;Bachelor's degree;USA;29
tylerhamilton;30;Male;Bachelor's degree;USA;29
trump;28;Male;Master's degree;Germany;30
obama;28;Male;Master's degree;Germany;30
johnf.kennedy;28;Male;Master's degree;Germany;30
barackobama;38;Female;Doctorate (e.g. PhD);Greece;31
georgebush;38;Female;Doctorate (e.g. PhD);Greece;31
billclinton;38;Female;Doctorate (e.g. PhD);Greece;31
biden;28;Male;Master's degree;Germany;32
trump;28;Male;Master's degree;Germany;32
obama;28;Male;Master's degree;Germany;32
roosevelt;26;Male;Bachelor's degree;Germany;33
lincoln;26;Male;Bachelor's degree;Germany;33
bush;26;Male;Bachelor's degree;Germany;33
nixon;19;Male;High school degree or equivalent;Germany;34
jefferson;19;Male;High school degree or equivalent;Germany;34
reagan;19;Male;High school degree or equivalent;Germany;34
obama;25;Female;Bachelor's degree;Germany;35
trump;25;Female;Bachelor's degree;Germany;35
bush;25;Female;Bachelor's degree;Germany;35
biden;24;Female;Master's degree;Germany;36
trump;24;Female;Master's degree;Germany;36
obama;24;Female;Master's degree;Germany;36
washington;25;Male;Bachelor's degree;Germany;37
lincoln;25;Male;Bachelor's degree;Germany;37
jefferson;25;Male;Bachelor's degree;Germany;37
bush;64;Male;Doctorate (e.g. PhD);Austria;38
trump;64;Male;Doctorate (e.g. PhD);Austria;38
kennedy;64;Male;Doctorate (e.g. PhD);Austria;38
joebiden;24;Male;Bachelor's degree;Germany;39
donaldtrump;24;Male;Bachelor's degree;Germany;39
barackobama;24;Male;Bachelor's degree;Germany;39
trump;31;Male;Bachelor's degree;Germany;40
obama;31;Male;Bachelor's degree;Germany;40
lincoln;31;Male;Bachelor's degree;Germany;40
trump;25;Female;Bachelor's degree;Germany;41
biden;25;Female;Bachelor's degree;Germany;41
bush;25;Female;Bachelor's degree;Germany;41
georgbush;28;Female;Bachelor's degree;Germany;42
ronaldreagan;28;Female;Bachelor's degree;Germany;42
johnfkennedy;28;Female;Bachelor's degree;Germany;42
georgew.bush;37;Female;Master's degree;Germany;43
billclinton;37;Female;Master's degree;Germany;43
barackobama;37;Female;Master's degree;Germany;43
ronaldreagan;50;Female;High school degree or equivalent;Germany;44
barackobama;50;Female;High school degree or equivalent;Germany;44
joebiden;50;Female;High school degree or equivalent;Germany;44
donaldtrump;28;Female;High school degree or equivalent;Germany;45
barackobama;28;Female;High school degree or equivalent;Germany;45
georgew.bush;28;Female;High school degree or equivalent;Germany;45
bushsr;31;Male;Bachelor's degree;Germany;46
bushjr;31;Male;Bachelor's degree;Germany;46
obama;31;Male;Bachelor's degree;Germany;46
