uri;cities;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Berlin;berlin;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/New_York_City;new york;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Moscow;moscow;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/New_York_City;new york;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Amsterdam;amsterdam;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Berlin;berlin;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Paris;paris;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/New_York_City;new york;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Istanbul;istanbul;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Berlin;berlin;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/New_York_City;new york;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Kyiv;kyiv;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Leuven;leuven;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Chișinău;chisinau;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Moscow;moscow;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Paris;paris;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Berlin;berlin;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/City_of_London;london;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Brussels;brussels;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/City_of_London;london;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Berlin;berlin;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Berlin;berlin;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Amsterdam;amsterdam;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Cologne;cologne;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Berlin;berlin;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/City_of_London;london;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Belfast;belfast;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Heidelberg;heidelberg;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/New_York_City;new york;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Milan;milan;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Berlin;berlin;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Paris;paris;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Brussels;brussels;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Hövelhof;hövelhof;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Delbrück;delbrück;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Detmold;detmold;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Mannheim;mannheim;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Berlin;berlin;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Düsseldorf;düsseldorf;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Berlin;berlin;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Paris;paris;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Rome;rome;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Amsterdam;amsterdam;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Berlin;berlin;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Munich;munich;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Munich;munich;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Berlin;berlin;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Hamburg;hamburg;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/San_Francisco;san francisco;25;Male;NaN;germany;16
http://dbpedia.org/resource/Sydney;sydney;25;Male;NaN;germany;16
http://dbpedia.org/resource/Berlin;berlin;25;Male;NaN;germany;16
http://dbpedia.org/resource/New_York_City;new york;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Rio_de_Janeiro;rio de janeiro;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Rosenheim;rosenheim;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Mannheim;mannheim;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Hamburg;hamburg;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Munich;munich;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Kyiv;kyiv;27;Male;Master's degree;germany;19
http://dbpedia.org/resource/Moscow;moscow;27;Male;Master's degree;germany;19
http://dbpedia.org/resource/Freiburg_im_Breisgau;freiburg;27;Male;Master's degree;germany;19
http://dbpedia.org/resource/Berlin;berlin;33;Male;Doctorate (e.g. PhD);germany;20
http://dbpedia.org/resource/City_of_London;london;33;Male;Doctorate (e.g. PhD);germany;20
http://dbpedia.org/resource/Barcelona;barcelona;33;Male;Doctorate (e.g. PhD);germany;20
