uri;european_capital_cities;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Berlin;berlin;26;Male;Bachelor's degree;Germany;0
http://dbpedia.org/resource/Paris;paris;26;Male;Bachelor's degree;Germany;0
http://dbpedia.org/resource/London;london;26;Male;Bachelor's degree;Germany;0
http://dbpedia.org/resource/Amsterdam;amsterdam;44;Male;Doctorate (e.g. PhD);Germany;1
http://dbpedia.org/resource/Berlin;berlin;44;Male;Doctorate (e.g. PhD);Germany;1
http://dbpedia.org/resource/Rome;rome;44;Male;Doctorate (e.g. PhD);Germany;1
http://dbpedia.org/resource/Paris;paris;46;Male;Bachelor's degree;France;2
http://dbpedia.org/resource/London;london;46;Male;Bachelor's degree;France;2
http://dbpedia.org/resource/Madrid;madrid;46;Male;Bachelor's degree;France;2
http://dbpedia.org/resource/Berlin;berlin;28;Male;Master's degree;Germany;3
http://dbpedia.org/resource/Paris;paris;28;Male;Master's degree;Germany;3
http://dbpedia.org/resource/Madrid;madrid;28;Male;Master's degree;Germany;3
https://dbpedia.org/resource/Brussels;brussels;34;Female;Master's degree;Switzerland;4
http://dbpedia.org/resource/Paris;paris;34;Female;Master's degree;Switzerland;4
http://dbpedia.org/resource/Berlin;berlin;34;Female;Master's degree;Switzerland;4
http://dbpedia.org/resource/Berlin;berlin;27;Male;Bachelor's degree;Germany;5
http://dbpedia.org/resource/Amsterdam;amsterdam;27;Male;Bachelor's degree;Germany;5
http://dbpedia.org/resource/Paris;paris;27;Male;Bachelor's degree;Germany;5
https://dbpedia.org/resource/Brussels;brussels;27;Male;Master's degree;Germany;6
http://dbpedia.org/resource/London;london;27;Male;Master's degree;Germany;6
http://dbpedia.org/resource/Berlin;berlin;27;Male;Master's degree;Germany;6
http://dbpedia.org/resource/Rome;rome;27;Male;Master's degree;Germany;7
https://dbpedia.org/resource/Brussels;brussels;27;Male;Master's degree;Germany;7
http://dbpedia.org/resource/Berlin;berlin;27;Male;Master's degree;Germany;7
http://dbpedia.org/resource/Berlin;berlin;28;Male;High school degree or equivalent;Germany;8
http://dbpedia.org/resource/Paris;paris;28;Male;High school degree or equivalent;Germany;8
http://dbpedia.org/resource/London;london;28;Male;High school degree or equivalent;Germany;8
http://dbpedia.org/resource/Rome;rome;29;Male;Master's degree;Germany;9
http://dbpedia.org/resource/Madrid;madrid;29;Male;Master's degree;Germany;9
http://dbpedia.org/resource/London;london;29;Male;Master's degree;Germany;9
http://dbpedia.org/resource/Berlin;berlin;26;Male;Master's degree;Germany;10
https://dbpedia.org/resource/Brussels;brussels;26;Male;Master's degree;Germany;10
http://dbpedia.org/resource/Paris;paris;26;Male;Master's degree;Germany;10
http://dbpedia.org/resource/Berlin;berlin;37;Male;Master's degree;Germany;11
http://dbpedia.org/resource/Paris;paris;37;Male;Master's degree;Germany;11
http://dbpedia.org/resource/Rome;rome;37;Male;Master's degree;Germany;11
http://dbpedia.org/resource/Paris;paris;24;Male;Master's degree;Germany;12
http://dbpedia.org/resource/Berlin;berlin;24;Male;Master's degree;Germany;12
http://dbpedia.org/resource/Stockholm;stockholm;24;Male;Master's degree;Germany;12
http://dbpedia.org/resource/Berlin;berlin;26;Female;Master's degree;Germany;13
http://dbpedia.org/resource/Paris;paris;26;Female;Master's degree;Germany;13
https://dbpedia.org/resource/Brussels;brussels;26;Female;Master's degree;Germany;13
http://dbpedia.org/resource/Rome;rome;26;Female;Master's degree;Germany;14
http://dbpedia.org/resource/Berlin;berlin;26;Female;Master's degree;Germany;14
http://dbpedia.org/resource/Amsterdam;amsterdam;26;Female;Master's degree;Germany;14
http://dbpedia.org/resource/Berlin;berlin;28;Female;Doctorate (e.g. PhD);Germany;15
http://dbpedia.org/resource/Rome;rome;28;Female;Doctorate (e.g. PhD);Germany;15
http://dbpedia.org/resource/London;london;28;Female;Doctorate (e.g. PhD);Germany;15
https://dbpedia.org/resource/Brussels;brussels;25;Male;NaN;Germany;16
http://dbpedia.org/resource/Berlin;berlin;25;Male;NaN;Germany;16
http://dbpedia.org/resource/Copenhagen;copenhagen;25;Male;NaN;Germany;16
http://dbpedia.org/resource/Paris;paris;31;Female;Master's degree;Germany;17
http://dbpedia.org/resource/Berlin;berlin;31;Female;Master's degree;Germany;17
http://dbpedia.org/resource/London;london;31;Female;Master's degree;Germany;17
http://dbpedia.org/resource/Vienna;vienna;36;Male;Master's degree;Germany;18
http://dbpedia.org/resource/Berlin;berlin;36;Male;Master's degree;Germany;18
http://dbpedia.org/resource/London;london;36;Male;Master's degree;Germany;18
http://dbpedia.org/resource/Berlin;berlin;27;Male;Master's degree;Germany;19
http://dbpedia.org/resource/Paris;paris;27;Male;Master's degree;Germany;19
http://dbpedia.org/resource/Paris;paris;33;Male;Doctorate (e.g. PhD);Germany;20
http://dbpedia.org/resource/London;london;33;Male;Doctorate (e.g. PhD);Germany;20
http://dbpedia.org/resource/Berlin;berlin;33;Male;Doctorate (e.g. PhD);Germany;20
http://dbpedia.org/resource/Berlin;berlin;26;Male;Bachelor's degree;USA;21
http://dbpedia.org/resource/London;london;26;Male;Bachelor's degree;USA;21
http://dbpedia.org/resource/Rome;rome;26;Male;Bachelor's degree;USA;21
http://dbpedia.org/resource/Paris;paris;44;Female;Doctorate (e.g. PhD);Sweden;22
http://dbpedia.org/resource/Rome;rome;44;Female;Doctorate (e.g. PhD);Sweden;22
http://dbpedia.org/resource/Stockholm;stockholm;44;Female;Doctorate (e.g. PhD);Sweden;22
http://dbpedia.org/resource/Berlin;berlin;26;Male;Bachelor's degree;Germany;23
http://dbpedia.org/resource/Paris;paris;26;Male;Bachelor's degree;Germany;23
https://dbpedia.org/resource/Brussels;brussels;26;Male;Bachelor's degree;Germany;23
http://dbpedia.org/resource/Paris;paris;27;Male;Bachelor's degree;NaN;24
http://dbpedia.org/resource/London;london;27;Male;Bachelor's degree;NaN;24
http://dbpedia.org/resource/Madrid;madrid;27;Male;Bachelor's degree;NaN;24
http://dbpedia.org/resource/London;london;23;Male;Bachelor's degree;Germany;25
http://dbpedia.org/resource/Madrid;madrid;23;Male;Bachelor's degree;Germany;25
http://dbpedia.org/resource/Copenhagen;copenhagen;23;Male;Bachelor's degree;Germany;25
http://dbpedia.org/resource/Paris;paris;22;Male;Bachelor's degree;Germany;26
http://dbpedia.org/resource/Rome;rome;22;Male;Bachelor's degree;Germany;26
http://dbpedia.org/resource/Madrid;madrid;22;Male;Bachelor's degree;Germany;26
http://dbpedia.org/resource/Berlin;berlin;25;Male;Bachelor's degree;Germany;27
http://dbpedia.org/resource/London;london;25;Male;Bachelor's degree;Germany;27
http://dbpedia.org/resource/Reykjavík;reykjavik;25;Male;Bachelor's degree;Germany;27
http://dbpedia.org/resource/Vienna;vienna;27;Male;Master's degree;Germany;28
http://dbpedia.org/resource/Tórshavn;torshavn;27;Male;Master's degree;Germany;28
http://dbpedia.org/resource/Valletta;valetta;27;Male;Master's degree;Germany;28
http://dbpedia.org/resource/Berlin;berlin;30;Male;Bachelor's degree;USA;29
http://dbpedia.org/resource/Madrid;madrid;30;Male;Bachelor's degree;USA;29
http://dbpedia.org/resource/Paris;paris;30;Male;Bachelor's degree;USA;29
http://dbpedia.org/resource/Madrid;madrid;28;Male;Master's degree;Germany;30
http://dbpedia.org/resource/Berlin;berlin;28;Male;Master's degree;Germany;30
http://dbpedia.org/resource/Paris;paris;28;Male;Master's degree;Germany;30
http://dbpedia.org/resource/Paris;paris;38;Female;Doctorate (e.g. PhD);Greece;31
http://dbpedia.org/resource/Berlin;berlin;38;Female;Doctorate (e.g. PhD);Greece;31
http://dbpedia.org/resource/London;london;38;Female;Doctorate (e.g. PhD);Greece;31
http://dbpedia.org/resource/Rome;rome;28;Male;Master's degree;Germany;32
http://dbpedia.org/resource/Berlin;berlin;28;Male;Master's degree;Germany;32
http://dbpedia.org/resource/Paris;paris;28;Male;Master's degree;Germany;32
http://dbpedia.org/resource/Paris;paris;26;Male;Bachelor's degree;Germany;33
http://dbpedia.org/resource/Berlin;berlin;26;Male;Bachelor's degree;Germany;33
http://dbpedia.org/resource/Rome;rome;26;Male;Bachelor's degree;Germany;33
http://dbpedia.org/resource/Berlin;berlin;19;Male;High school degree or equivalent;Germany;34
http://dbpedia.org/resource/Paris;paris;19;Male;High school degree or equivalent;Germany;34
http://dbpedia.org/resource/London;london;19;Male;High school degree or equivalent;Germany;34
