uri;european_countries;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Germany;germany;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/France;france;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Italy;italy;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Germany;germany;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/France;france;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Italy;italy;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/France;france;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Germany;germany;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Italy;italy;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Germany;germany;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/France;france;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/United_Kingdom;united kingdom;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Austria;austria;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Germany;germany;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/France;france;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Germany;germany;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/France;france;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Spain;spain;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Germany;germany;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Switzerland;switzerland;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Denmark;denmark;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Bulgaria;bulgaria;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Poland;poland;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Italy;italy;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Germany;germany;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Austria;austria;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Switzerland;switzerland;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Germany;germany;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/France;france;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Spain;spain;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Germany;germany;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Switzerland;switzerland;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Denmark;denmark;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Monaco;monaco;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Vatican_City;vatican city;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Ukraine;ukraine;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/France;france;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Germany;germany;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Denmark;denmark;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Germany;germany;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/France;france;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Italy;italy;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Germany;germany;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Italy;italy;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/France;france;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Germany;germany;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/France;france;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Spain;spain;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Italy;italy;25;Male;NaN;germany;16
http://dbpedia.org/resource/Spain;spain;25;Male;NaN;germany;16
http://dbpedia.org/resource/Belgium;belgium;25;Male;NaN;germany;16
