continents;p_age;p_gender;p_education;p_country;p_id;uri
europe;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Europe
africa;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Africa
asia;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Asia
europe;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Europe
africa;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Africa
north america;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/North_America
europe;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Europe
asia;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Asia
north america;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/North_America
europe;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Europe
north america;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/North_America
asia;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Asia
asia;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Asia
africa;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Africa
australia;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Australia_(continent)
asia;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Asia
europe;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Europe
africa;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Africa
europe;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Europe
africa;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Africa
asia;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Asia
asia;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Asia
africa;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Africa
europe;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Europe
europe;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Europe
africa;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Africa
australia;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Australia_(continent)
australia;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Australia_(continent)
north america;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/North_America
south america;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/South_America
africa;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Africa
europe;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Europe
antarctica;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Antarctica
asia;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Asia
africa;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Africa
north america;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/North_America
europe;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Europe
asia;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Asia
africa;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Africa
africa;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Africa
europe;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Europe
australia;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Australia_(continent)
africa;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Africa
south america;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/South_America
australia;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Australia_(continent)
asia;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Asia
europe;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Europe
africa;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Africa
