actors;p_age;p_gender;p_education;p_country;p_id;uri
tom cruise;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Tom_Cruise
amy adams;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Amy_Adams
arnold schwarzenegger;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Arnold_Schwarzenegger
jack nicholson;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Jack_Nicholson
nicole kidman;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Nicole_Kidman
george clooney;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/George_Clooney
gérard depardieu;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Gérard_Depardieu
christina ricci;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Christina_Ricci
brad pitt;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Brad_Pitt
brad pitt;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Brad_Pitt
denzel washington;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Denzel_Washington
george clooney;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/George_Clooney
nicole kidman;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Nicole_Kidman
meryl streep;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Meryl_Streep
penelope cruz;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Penélope_Cruz
leonardo dicaprio;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Leonardo_DiCaprio
dwayne johnson;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Dwayne_Johnson
tom holland;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Tom_Holland_(actor)
george clooney;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/George_Clooney
amanda seyfried;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Amanda_Seyfried
matt damon;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Matt_Damon
angelina jolie;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Angelina_Jolie
bratt pitt;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Brad_Pitt
moritz bleibtreu;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Moritz_Bleibtreu
brad pitt;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Brad_Pitt
robert de niro;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Robert_De_Niro
ben affleck;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Ben_Affleck
robert de niro;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Robert_De_Niro
tom hanks;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Tom_Hanks
christoph waltz;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Christoph_Waltz
kevin bacon;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Kevin_Bacon
leonardo dicaprio;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Leonardo_DiCaprio
angelina jolie;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Angelina_Jolie
schwarzenegger;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Arnold_Schwarzenegger
stallone;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Sylvester_Stallone
bruno ganz;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Bruno_Ganz
julia roberts;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Julia_Roberts
til schweiger;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Til_Schweiger
jan josef liefers;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Jan_Josef_Liefers
nan;26;Female;Master's degree;Germany;13;NaN
jennifer lawrence;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Jennifer_Lawrence
ben affleck;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Ben_Affleck
chris hemsworth;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Chris_Hemsworth
blake lively;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Blake_Lively
sandra oh;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Sandra_Oh
george clooney;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/George_Clooney
tom cruse;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Tom_Cruise
daniel craig;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Daniel_Craig
george cloony;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/George_Clooney
ryan gossling;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Ryan_Gosling
jenifer lawrence;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Jennifer_Lawrence
bill cosby;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Bill_Cosby
charly sheen;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Charlie_Sheen
pamela anderson;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Pamela_Anderson
leonardo di caprio;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Leonardo_DiCaprio
robert deniro;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Robert_De_Niro
julia roberts;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Julia_Roberts
hugh jackman;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Hugh_Jackman
tom cruise;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Tom_Cruise
arnold schwarzenegger;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Arnold_Schwarzenegger
christoph waltz;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Christoph_Waltz
samuel l jackson;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Samuel_L._Jackson
leonardo dicaprio;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Leonardo_DiCaprio
sean connery;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Sean_Connery
greta garbo;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Greta_Garbo
johnny depp;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Johnny_Depp
kevin hart;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Kevin_Hart
matt daemon;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Matt_Damon
keanu reeves;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Keanu_Reeves
angelina jolie;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Angelina_Jolie
daniel radcliffe;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Daniel_Radcliffe
leonardo di caprio;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Leonardo_DiCaprio
ryan gosling;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Ryan_Gosling
tom hardy;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Tom_Hardy
di caprio;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Leonardo_DiCaprio
ryan gossling;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Ryan_Gosling
jennifer aniston;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Jennifer_Aniston
will smith;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Will_Smith
michael b jordan;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Michael_B._Jordan
alexandra daddario;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Alexandra_Daddario
george clooney;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/George_Clooney
emma watson;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Emma_Watson
daniel radcliffe;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Daniel_Radcliffe
morgan freeman;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Morgan_Freeman
brad pitt;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Brad_Pitt
leonardo di caprio;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Leonardo_DiCaprio
sylvester stallone;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Sylvester_Stallone
liam neeson;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Liam_Neeson
johnny depp;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Johnny_Depp
brat pitt;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Brad_Pitt
michelle pfeiffer;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Michelle_Pfeiffer
george clooney;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/George_Clooney
brad pitt;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Brad_Pitt
johnny depp;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Johnny_Depp
ryan gosling;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Ryan_Gosling
mads mikkelsen;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Mads_Mikkelsen
toni servillo;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Toni_Servillo
steve carell;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Steve_Carell
jason statham;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Jason_Statham
keanu reeves;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Keanu_Reeves
jennifer lawrence;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Jennifer_Lawrence
leonardo dicaprio;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Leonardo_DiCaprio
jude law;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Jude_Law
bill murray;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Bill_Murray
scarlett johanson;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Scarlett_Johansson
angelina jolie;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Angelina_Jolie
will smith;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Will_Smith
günter grass;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Günter_Grass
irving;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Henry_Irving
rainkin;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Richard_Rankin
brad pitt;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Brad_Pitt
johnny depp;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Johnny_Depp
jennifer lawrence;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Jennifer_Lawrence
denzel washington;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Denzel_Washington
brad pitt;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Brad_Pitt
alexandra daddario;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Alexandra_Daddario
johnny depp;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Johnny_Depp
angelina jolie;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Angelina_Jolie
tom hardy;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Tom_Hardy
jessica chastain;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Jessica_Chastain
charlie hunnam;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Charlie_Hunnam
christoph waltz;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Christoph_Waltz
ryan reynolds;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Ryan_Reynolds
arnold schwarzenegger;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Arnold_Schwarzenegger
liz taylor;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Elizabeth_Taylor
jack nicolsen;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Jack_Nicholson
meryel streep;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Meryl_Streep
will smith;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Will_Smith
leonardo dicaprio;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Leonardo_DiCaprio
timothèe chalamet;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Timothée_Chalamet
julia garner;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Julia_Garner
johnny depp;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Johnny_Depp
andrew garfield;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Andrew_Garfield
freddie highmore;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Freddie_Highmore
brad pit;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Brad_Pitt
leonardo dicaprio;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Leonardo_DiCaprio
tom cruise;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Tom_Cruise
brad pitt;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Brad_Pitt
blake lively;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Blake_Lively
george cloony;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/George_Clooney
robert downey jr;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Robert_Downey_Jr.
scarlet johnson;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Scarlett_Johansson
liam neeson;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Liam_Neeson
robert de niro;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Robert_De_Niro
robert redford;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Robert_Redford
al pacino;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Al_Pacino
emma watson;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Emma_Watson
kilian murphy;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Kilian_Murphy
cate blanchett;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Cate_Blanchett
chris evans;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Chris_Evans_(actor)
chris hemsworth;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Chris_Hemsworth
chris pine;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Chris_Pine
nan;25;Male;Bachelor's degree;Germany;53;NaN
scarlet johansen;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Scarlett_Johansson
rachel weiz;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Rachel_Weisz
kristen bell;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Kristen_Bell
palina rojinski;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Palina_Rojinski
elyas m barek;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Elyas_M'Barek
jessica schwarz;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Jessica_Schwarz
brad pitt;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Brad_Pitt
george clooney;26;Female;Master's degree;France;56;http://dbpedia.org/resource/George_Clooney
jennifer aniston;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Jennifer_Aniston
til schweiger;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Til_Schweiger
christoph walz;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Christoph_Waltz
kevin spacey;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Kevin_Spacey
liam neeson;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Liam_Neeson
ewan mcgregor;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Ewan_McGregor
marlon brando;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Marlon_Brando
cumberbatch;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Benedict_Cumberbatch
lewis;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Damian_Lewis
schwarzenegger;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Arnold_Schwarzenegger
daniel craig;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Daniel_Craig
ellen pompeo;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Ellen_Pompeo
elias m‘barek;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Elyas_M'Barek
kevin costner;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Kevin_Costner
liam neeson;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Liam_Neeson
jennifer aniston;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Jennifer_Aniston
brad pitt;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Brad_Pitt
leonardo dicaprio;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Leonardo_DiCaprio
tom hanks;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Tom_Hanks
emma watson;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Emma_Watson
ryan gosling;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Ryan_Gosling
christian bale;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Christian_Bale
karry fisher;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Kacie_Fischer
ryan reynolds;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Ryan_Reynolds
benedict cumberbatch;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Benedict_Cumberbatch
otto walkes;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Otto_Waalkes
gal gadot;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Gal_Gadot
the rock;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Dwayne_Johnson
ryan reynolds;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Ryan_Reynolds
ryan reynolds;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Ryan_Reynolds
elyas m barek;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Elyas_M'Barek
scarlett johanssen;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Scarlett_Johansson
jonny depp;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Johnny_Depp
angelina jolie;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Angelina_Jolie
