african_animals;p_age;p_gender;p_education;p_country;p_id;uri
lion;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Lion
elephant;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Elephant
honeybadger;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Honey_badger
elephant;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Elephant
lion;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Lion
zebra;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Zebra
leopard;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Leopard
hyena;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Hyena
gazelle;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Gazelle
zebra;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Zebra
elephant;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Elephant
lion;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Lion
elephant;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Elephant
zebra;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Zebra
giraffe;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Giraffe
elephant;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Elephant
lion;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Lion
hyena;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Hyena
lion;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Lion
giraffe;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Giraffe
elephant;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Elephant
lion;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Lion
elephant;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Elephant
antelope;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Antelope
lion;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Lion
elephant;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Elephant
giraffe;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Giraffe
elephant;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Elephant
giraffe;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Giraffe
chetah;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Cheetah
elephant;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Elephant
giraffe;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Giraffe
lion;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Lion
elephant;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Elephant
lion;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Lion
hippo;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Hippopotamus
