asian_countries;p_age;p_gender;p_education;p_country;p_id;uri
japan;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Japan
china;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/China
india;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/India
china;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/China
japan;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Japan
south korea;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/South_Korea
japan;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Japan
china;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/China
south korea;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/South_Korea
thailand;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Thailand
vietnam;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Vietnam
china;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/China
vietnam;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Vietnam
thailand;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Thailand
japan;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Japan
china;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/China
korea;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/South_Korea
japan;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Japan
myanmar;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Myanmar
china;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/China
japan;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Japan
thailand;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Thailand
china;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/China
pakistan;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Pakistan
taiwan;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Taiwan
taiwan;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Taiwan
japan;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Japan
china;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/China
japan;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Japan
india;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/India
china;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/China
japan;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Japan
nepal;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Nepal
russia;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Russia
mongolia;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Mongolia
kazakhstan;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Kazakhstan
india;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/India
china;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/China
japan;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Japan
japan;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Japan
china;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/China
china;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/China
japan;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Japan
south korea;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/South_Korea
indonesia;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Indonesia
thailand;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Thailand
laos;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Laos
thailand;25;Male;;germany;16;http://dbpedia.org/resource/Thailand
china;25;Male;;germany;16;http://dbpedia.org/resource/China
japan;25;Male;;germany;16;http://dbpedia.org/resource/Japan
vietnam;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Vietnam
singapore;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Singapore
china;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/China
india;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/India
srilanka;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Sri_Lanka
south korea;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/South_Korea
indonesia;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Indonesia
china;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/China
vietnam;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Vietnam
india;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/India
china;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/China
japan;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Japan
china;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/China
taiwan;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Taiwan
vietnam;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Vietnam
china;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/China
korea;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/South_Korea
japan;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Japan
thailand;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Thailand
china;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/China
south korea;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/South_Korea
thailand;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Thailand
myanmar;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Myanmar
cambodia;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Cambodia
japan;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Japan
china;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/China
;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Hunan
china;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/China
japan;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Japan
india;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/India
macao;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Macau
pakistan;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Pakistan
bangladesh;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Bangladesh
singapore;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Singapore
cambodia;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Cambodia
laos;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Laos
thailand;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Thailand
china;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/China
japan;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Japan
japan;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Japan
india;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/India
china;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/China
china;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/China
vietnam;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Vietnam
thailand;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Thailand
china;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/China
taiwan;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Taiwan
south korea;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/South_Korea
china;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/China
singapore;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Singapore
japan;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Japan
hong kong;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hong_Kong
cambodia;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Cambodia
laos;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Laos
china;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/China
india;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/India
south korea;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/South_Korea
