birds;p_age;p_gender;p_education;p_country;p_id;uri
robin;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Robin
mockingbird;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Mockingbird
pelican;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Pelican
ostrich;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Ostrich
owl;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Owl
mockingbird;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Mockingbird
nightingale;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Common_nightingale
swallow;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Swallow
pelican;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Pelican
eagle;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Eagle
magpie;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Magpie
owl;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Owl
sparrow;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Sparrow
eagle;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Eagle
gull;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Gull
eagle;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Eagle
dove;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Columbidae
pigeon;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Columbidae
eagle;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Eagle
sparrow;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Sparrow
duck;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Duck
eagle;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Eagle
buzzard;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Buteo
blackbird;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Common_blackbird
eagle;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Eagle
falcon;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Falcon
ostrich;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Ostrich
eagle;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Eagle
penguin;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Penguin
kiwi;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Kiwi_(bird)
robin;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Robin
owl;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Owl
penguin;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Penguin
blackbird;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Common_blackbird
choke;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Thrush_(bird)
fink;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Finch
blackbird;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Common_blackbird
red calyx;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Robin
stork;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Stork
dove;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Columbidae
crow;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Crow
stork;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Stork
eagle;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Eagle
hummingbird;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Hummingbird
robin;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Robin
blackbird;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Common_blackbird
choke;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Thrush_(bird)
fink;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Finch
pidgeon;25;Male;;germany;16;http://dbpedia.org/resource/Columbidae
mockingbird;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Mockingbird
chicken;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Chicken
seagull;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Gull
owl;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Owl
hawk;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Hawk
hummingbird;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Hummingbird
mockingbird;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Mockingbird
hummingbird;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Hummingbird
pigeon;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Columbidae
swallow;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Swallow
owl;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Owl
robin;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Robin
crow;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Crow
cardinal;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Cardinal_(bird)
kiwi;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Kiwi_(bird)
hummingbird;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Hummingbird
robin;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Robin
owl;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Owl
sparrow;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Sparrow
eagle;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Eagle
tit;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Tit_(bird)
woodpecker;27;Male;Bachelor's degree;;24;
robin;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Robin
parrot;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Parrot
eagle;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Eagle
pelican;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Pelican
raven;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Raven
eagle;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Eagle
eagle;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Eagle
cardinal;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Cardinal_(bird)
dove;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Columbidae
eagle;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Eagle
goose;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Goose
penguin;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Penguin
eagle;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Eagle
parakeet;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Parakeet
falcon;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Falcon
sparrow;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Sparrow
falcon;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Falcon
hummingbird;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Hummingbird
crow;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Crow
chicken;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Chicken
nightingale;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Common_nightingale
hummingbird;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Hummingbird
eagle;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Eagle
sparrow;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Sparrow
dove;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Columbidae
sparrow;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Sparrow
seagull;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Gull
blue tit;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Eurasian_blue_tit
eagle;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Eagle
sparrow;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Sparrow
colibri;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hummingbird
stork;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Stork
chicken;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Chicken
woodpecker;24;Female;Master's degree;germany;36;
cuckoo;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Cuckoo
crow;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Crow
red kite;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Red_kite
brown throat;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Whinchat
blackbird;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Common_blackbird
blackbird;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Common_blackbird
eagle;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Eagle
sparrow;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Sparrow
eagle;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Eagle
vulture;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Vulture
crow;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Crow
blackbird;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Common_blackbird
eagle;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Eagle
vulture;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Vulture
ara;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Ara_(bird)
mockingbird;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Mockingbird
robin;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Robin
tit;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Tit_(bird)
blackbird;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Common_blackbird
hummingbird;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Hummingbird
blackbird;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Common_blackbird
sparrow;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Sparrow
fink;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Finch
eagle;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Eagle
robin;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Robin
parrot;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Parrot
owl;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Owl
duck;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Duck
swan;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Swan
eagle;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Eagle
chicken;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Chicken
vulture;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Vulture
eagle;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Eagle
chicken;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Chicken
penguin;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Penguin
swan;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Swan
eagle;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Eagle
hummingbird;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Hummingbird
crane;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Crane_(bird)
pigeon;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Columbidae
eagle;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Eagle
sparrow;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Sparrow
woodpecker;19;Female;High school degree or equivalent;germany;51;
sparrow;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Sparrow
blackbird;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Common_blackbird
tit;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Tit_(bird)
swallow;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Swallow
gull;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Gull
;25;Male;Bachelor's degree;germany;53;
parakeet;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Parakeet
robin;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Robin
duck;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Duck
blackbird;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Common_blackbird
