cities;p_age;p_gender;p_education;p_country;p_id;uri
berlin;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Berlin
new york;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/New_York_City
moscow;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Moscow
new york;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/New_York_City
amsterdam;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Amsterdam
berlin;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Berlin
paris;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Paris
new york;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/New_York_City
istanbul;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Istanbul
berlin;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Berlin
new york;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/New_York_City
kyiv;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Kyiv
leuven;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Leuven
chisinau;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Chișinău
moscow;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Moscow
paris;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Paris
berlin;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Berlin
london;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/City_of_London
brussels;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Brussels
london;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/City_of_London
berlin;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Berlin
berlin;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Berlin
amsterdam;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Amsterdam
cologne;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Cologne
berlin;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Berlin
london;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/City_of_London
belfast;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Belfast
heidelberg;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Heidelberg
new york;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/New_York_City
milan;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Milan
berlin;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Berlin
paris;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Paris
brussels;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Brussels
hövelhof;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Hövelhof
delbrück;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Delbrück
detmold;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Detmold
mannheim;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Mannheim
berlin;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Berlin
düsseldorf;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Düsseldorf
berlin;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Berlin
paris;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Paris
rome;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Rome
amsterdam;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Amsterdam
berlin;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Berlin
munich;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Munich
munich;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Munich
berlin;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Berlin
hamburg;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Hamburg
san francisco;25;Male;;germany;16;http://dbpedia.org/resource/San_Francisco
sydney;25;Male;;germany;16;http://dbpedia.org/resource/Sydney
berlin;25;Male;;germany;16;http://dbpedia.org/resource/Berlin
new york;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/New_York_City
rio de janeiro;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Rio_de_Janeiro
rosenheim;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Rosenheim
mannheim;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Mannheim
hamburg;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Hamburg
munich;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Munich
