dax_companies;p_age;p_gender;p_education;p_country;p_id;uri
sap;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/SAP_SE
allianz;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Allianz
lufthansa;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Lufthansa
sap;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/SAP_SE
bmw;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/BMW
siemens;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Siemens
bayer;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Bayer
bmw;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/BMW
volkswagen;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Volkswagen
lufthansa;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Lufthansa
volkswagen;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Volkswagen
fresenius;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Fresenius_(company)
zalando;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Zalando
volkswagen;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Volkswagen
daimler;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Daimler_AG
mercedes benz;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Daimler_AG
basf;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/BASF
sap;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/SAP_SE
sap;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/SAP_SE
basf;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/BASF
zalando;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Zalando
basf;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/BASF
bmw;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/BMW
allianz;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Allianz
volkswagen;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Volkswagen
adidas;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Adidas
rheinmetall;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Rheinmetall
vw;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Volkswagen
sap;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/SAP_SE
