fast_food;p_age;p_gender;p_education;p_country;p_id;uri
french fries;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/French_fries
hamburger;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Hamburger
pizza;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Pizza
hamburger;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Hamburger
pizza;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Pizza
french fries;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/French_fries
hamburger;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Hamburger
poutine;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Poutine
hot dog;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Hot_dog
hamburger;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Hamburger
french fries;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/French_fries
pizza;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Pizza
french fries;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/French_fries
hamburger;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Hamburger
nuggets;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Chicken_nugget
hamburger;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Hamburger
sandwich;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Sandwich
pizza;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Pizza
hamburger;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Hamburger
french fries;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/French_fries
kebab;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Kebab
hamburger;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Hamburger
pizza;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Pizza
asian;27;Male;Master's degree;germany;7;NaN
citizen;28;Male;High school degree or equivalent;germany;8;NaN
pizza;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Pizza
chips;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Fish_and_chips
pizza;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Pizza
doner kebab;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Doner_kebab
currywurst;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Currywurst
hamburger;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Hamburger
falafel;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Falafel
kebab;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Kebab
hamburger;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Hamburger
pizza;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Pizza
bratwurst;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Bratwurst
hamburger;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Hamburger
kebab;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Kebab
french fries;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/French_fries
hamburger;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Hamburger
pizza;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Pizza
kebab;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Kebab
french fries;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/French_fries
hamburger;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Hamburger
chick nuggets;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Chicken_nugget
hamburger;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Hamburger
