furniture;p_age;p_gender;p_education;p_country;p_id;uri
chair;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Chair
table;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Table_(furniture
lamp;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Fluorescent_lamp
chair;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Chair
table;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Table_(furniture
sofa;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Couch
table;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Table_(furniture
cupboard;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Cupboard
chair;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Chair
bed;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Bed
sofa;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Couch
table;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Table_(furniture
chair;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Chair
table;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Table_(furniture
cabinet;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/West_Sussex
chair;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Chair
sofa;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Couch
table;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Table_(furniture
couch;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Couch
chair;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Chair
wardrobe;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Wardrobe
chair;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Chair
table;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Table_(furniture
cabinet;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/West_Sussex
couch;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Couch
