lakes;p_age;p_gender;p_education;p_country;p_id;uri
bodensee;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Lake_Constance
lake victoria;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Lake_Victoria
lake tahoe;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Lake_Tahoe
lake geneva;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Lake_Geneva
lake tahoe;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Lake_Tahoe
lake eerie;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Erie,_Pennsylvania
erie;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Erie,_Pennsylvania
léman;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Lake_Geneva
lake garda;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Lake_Garda
lake michigan;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Michigan
bodensee;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Lake_Constance
geneva lake baikal lake;34;Female;Master's degree;switzerland;4;NaN
baikal lake;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Lake_Baikal
lugano lake;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Lake_Lugano
bodensee;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Lake_Constance
garda lake;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Lake_Garda
tegernsee;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Tegernsee
bodensee;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Lake_Constance
Lake Constance;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Lake_Constance
lake garda;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Lake_Garda
lake michigan;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Michigan
bodensee;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Lake_Constance
lake garda;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Lake_Garda
