mountains;p_age;p_gender;p_education;p_country;p_id;uri
k2;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/K2
zugspitze;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Zugspitze
brocken;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Brocken
mount everest;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Mount_Everest
matterhorn;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Matterhorn
nanga parbat;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Nanga_Parbat
mount kilimanjaro;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Mount_Everest
mont blanc;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Mont_Blanc
k2;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/K2
mount everest;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Mount_Everest
zugspitze;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Zugspitze
alps;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Alps
jura;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Jura_Mountains
carpathian mountains;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Carpathian_Mountains
mount everest;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Mount_Everest
zugspitze;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Zugspitze
mount rushmore;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Mount_Rushmore
mont blanc;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Mont_Blanc
mount everest;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Mount_Everest
k2;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/K2
weißer stein (vogelsberg);27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Weißer_Stein_(Vogelsberg)
sandberg;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Max_Martin
k2;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/K2
mount everest;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Mount_Everest
königstuhl;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Königstuhl
grossglockner;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Grossglockner
zugspitze;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Zugspitze
mount everest;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Mount_Everest
mount kilimanjaro;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Mount_Kilimanjaro
zugspitze;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Zugspitze
matterhorn;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Matterhorn
mount everest;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Mount_Everest
barebones;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Praise-God_Barebone
brocken;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Brocken
mount kilimanjaro;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Mount_Kilimanjaro
zugspitze;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Zugspitze
mont blanc;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Mont_Blanc
k2;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/K2
zugspitze;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Zugspitze
mont blanc;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Mont_Blanc
mount fuji;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Mount_Fuji
mount everest;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Mount_Everest
mount kilimanjaro;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Mount_Kilimanjaro
mont blanc;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Mont_Blanc
zugspitze;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Zugspitze
dolomites;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Dolomites
karwendel;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Karwendel
mount everest;25;Male;;germany;16;http://dbpedia.org/resource/Mount_Everest
