music_genres;p_age;p_gender;p_education;p_country;p_id;uri
pop;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Pop_music
techno;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Techno
rap;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Hip_hop_music
metal;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Heavy_metal_music
rock;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Rock_music
pop;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Pop_music
funk;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Funk
rock;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Rock_music
electro;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Electro_(music)
techno;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Techno
house;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/House_music
jazz;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Jazz
jazz;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Jazz
pop;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Pop_music
hip hop;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Hip_hop_music
pop;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Pop_music
jazz;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Jazz
swing;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Swing_music
rock;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Rock_music
pop;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Pop_music
classic;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Classical_music
jazz;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Jazz
rnb;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Rhythm_and_blues
hiphop;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Hip_hop_music
rap;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Hip_hop_music
pop;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Pop_music
metal;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Heavy_metal_music
