us_presidents;p_age;p_gender;p_education;p_country;p_id;uri
barack obama;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Barack_Obama
joe biden;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Joe_Biden
george washington;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/George_Washington
joe biden;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Joe_Biden
goerge w. bush;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/George_W._Bush
barack obama;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Barack_Obama
george washington;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/George_Washington
abraham lincoln;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Abraham_Lincoln
richard nixon;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Richard_Nixon
donald trump;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Donald_Trump
john f. kennedy;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/John_F._Kennedy
gerald ford;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Gerald_Ford
obama;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Barack_Obama
biden;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Joe_Biden
lincoln;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Abraham_Lincoln
barrack obama;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Barack_Obama
donald trump;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Donald_Trump
joe biden;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Joe_Biden
washington;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/George_Washington
adams;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/John_Quincy_Adams
madison;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/James_Madison
clinton;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Bill_Clinton
bush;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/George_W._Bush
trump;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Donald_Trump
bill clinton;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Bill_Clinton
george w. bush;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/George_W._Bush
barack obama;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Barack_Obama
george washington;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/George_Washington
abraham lincoln;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Abraham_Lincoln
barack obama;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Barack_Obama
obama;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Barack_Obama
bush;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/George_W._Bush
biden;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Joe_Biden
trump;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Donald_Trump
washington;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/George_Washington
roosevelt;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Franklin_D._Roosevelt
j.w. bush;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/George_W._Bush
barack obama;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Barack_Obama
donald trump;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Donald_Trump
biden;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Joe_Biden
obama;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Barack_Obama
washington;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/George_Washington
washington;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/George_Washington
obama;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Barack_Obama
biden;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Joe_Biden
biden;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Joe_Biden
trump;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Donald_Trump
bush;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/George_W._Bush
obama;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Barack_Obama
biden;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Joe_Biden
trump;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Donald_Trump
george washington;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/George_Washington
barack obama;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Barack_Obama
donald trump;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Donald_Trump
clinton;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Bill_Clinton
obama;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Barack_Obama
trump;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Donald_Trump
joe biden;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Joe_Biden
trump;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Donald_Trump
biden;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Joe_Biden
obama;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Barack_Obama
george w bush;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/George_W._Bush
barack obama;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Barack_Obama
