vegetables;p_age;p_gender;p_education;p_country;p_id;uri
peas;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Pea
carrot;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Carrot
tomato;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Tomato
cucumber;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Cucumber
tomato;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Tomato
zucchini;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Zucchini
leek;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Leek
cabbage;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Cabbage
potato;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Potato
zucchini;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Zucchini
eggplant;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Eggplant
pepper;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Bell_pepper
bell pepper;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Bell_pepper
eggplant;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Eggplant
tomato;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Tomato
zucchini;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Zucchini
eggplant;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Eggplant
carrot;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Carrot
cucumber;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Cucumber
tomato;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Tomato
grapes;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Grape
cucumber;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Cucumber
paprika;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Paprika
radishes;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Radish
potato;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Potato
carrott;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Carrot
bean;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Bean
tomato;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Tomato
potato;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Potato
carrot;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Carrot
carrot;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Carrot
cucumber;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Cucumber
spinach;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Spinach
kale;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Kale
cucumber;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Cucumber
pepper;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Bell_pepper
tomato;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Tomato
bell pepper;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Bell_pepper
eggplant;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Eggplant
carrot;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Carrot
cucumber;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Cucumber
pepper;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Bell_pepper
carrot;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Carrot
cucumber;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Cucumber
tomato;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Tomato
asparagus;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Asparagus
bean;25;Male;;germany;16;http://dbpedia.org/resource/Bean
cucumber;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Cucumber
carrot;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Carrot
bell pepper;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Bell_pepper
cucumber;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Cucumber
carrot;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Carrot
salad;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Lettuce
potato;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Potato
carrot;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Carrot
onion;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Onion
pumpkin;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Pumpkin
carrot;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Carrot
celery;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Celery
turnip;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Turnip
cucumber;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Cucumber
pepper;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Bell_pepper
carrot;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Carrot
broccoli;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Broccoli
mushrooms;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Mushroom
carrot;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Carrot
tomato;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Tomato
cucumber;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Cucumber
zucchini;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Zucchini
onion;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Onion
mushroom;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Mushroom
broccoli;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Broccoli
carrott;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Carrot
salad;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Lettuce
cucumber;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Cucumber
tomato;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Tomato
pepper;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Bell_pepper
carrot;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Carrot
tomato;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Tomato
onion;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Onion
carrot;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Carrot
carrot;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Carrot
broccoli;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Broccoli
zucchini;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Zucchini
carrot;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Carrot
broccoli;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Broccoli
