uri;birds;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Robin;robin;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Mockingbird;mockingbird;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Pelican;pelican;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Ostrich;ostrich;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Owl;owl;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Mockingbird;mockingbird;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Common_nightingale;nightingale;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Swallow;swallow;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Pelican;pelican;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Eagle;eagle;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Magpie;magpie;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Owl;owl;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Sparrow;sparrow;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Eagle;eagle;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Gull;gull;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Eagle;eagle;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Columbidae;dove;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Columbidae;pigeon;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Eagle;eagle;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Sparrow;sparrow;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Duck;duck;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Eagle;eagle;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Buteo;buzzard;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Common_blackbird;blackbird;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Eagle;eagle;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Falcon;falcon;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Ostrich;ostrich;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Eagle;eagle;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Penguin;penguin;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Kiwi_(bird);kiwi;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Robin;robin;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Owl;owl;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Penguin;penguin;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Common_blackbird;blackbird;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Thrush_(bird);choke;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Finch;fink;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Common_blackbird;blackbird;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Robin;red calyx;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Stork;stork;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Columbidae;dove;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Crow;crow;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Stork;stork;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Eagle;eagle;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Hummingbird;hummingbird;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Robin;robin;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Common_blackbird;blackbird;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Thrush_(bird);choke;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Finch;fink;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Columbidae;pidgeon;25;Male;NaN;germany;16
http://dbpedia.org/resource/Mockingbird;mockingbird;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Chicken;chicken;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Gull;seagull;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Owl;owl;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Hawk;hawk;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Hummingbird;hummingbird;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Mockingbird;mockingbird;27;Male;Master's degree;germany;19
http://dbpedia.org/resource/Hummingbird;hummingbird;27;Male;Master's degree;germany;19
http://dbpedia.org/resource/Columbidae;pigeon;33;Male;Doctorate (e.g. PhD);germany;20
http://dbpedia.org/resource/Swallow;swallow;33;Male;Doctorate (e.g. PhD);germany;20
http://dbpedia.org/resource/Owl;owl;33;Male;Doctorate (e.g. PhD);germany;20
http://dbpedia.org/resource/Robin;robin;26;Male;Bachelor's degree;usa;21
http://dbpedia.org/resource/Crow;crow;26;Male;Bachelor's degree;usa;21
http://dbpedia.org/resource/Cardinal_(bird);cardinal;26;Male;Bachelor's degree;usa;21
http://dbpedia.org/resource/Kiwi_(bird);kiwi;44;Female;Doctorate (e.g. PhD);sweden;22
http://dbpedia.org/resource/Hummingbird;hummingbird;44;Female;Doctorate (e.g. PhD);sweden;22
http://dbpedia.org/resource/Robin;robin;26;Male;Bachelor's degree;germany;23
http://dbpedia.org/resource/Owl;owl;26;Male;Bachelor's degree;germany;23
http://dbpedia.org/resource/Sparrow;sparrow;26;Male;Bachelor's degree;germany;23
http://dbpedia.org/resource/Eagle;eagle;27;Male;Bachelor's degree;nan;24
http://dbpedia.org/resource/Tit_(bird);tit;27;Male;Bachelor's degree;nan;24
;woodpecker;27;Male;Bachelor's degree;nan;24
http://dbpedia.org/resource/Robin;robin;23;Male;Bachelor's degree;germany;25
http://dbpedia.org/resource/Parrot;parrot;23;Male;Bachelor's degree;germany;25
http://dbpedia.org/resource/Eagle;eagle;23;Male;Bachelor's degree;germany;25
http://dbpedia.org/resource/Pelican;pelican;22;Male;Bachelor's degree;germany;26
http://dbpedia.org/resource/Raven;raven;22;Male;Bachelor's degree;germany;26
http://dbpedia.org/resource/Eagle;eagle;22;Male;Bachelor's degree;germany;26
http://dbpedia.org/resource/Eagle;eagle;25;Male;Bachelor's degree;germany;27
http://dbpedia.org/resource/Cardinal_(bird);cardinal;25;Male;Bachelor's degree;germany;27
http://dbpedia.org/resource/Columbidae;dove;25;Male;Bachelor's degree;germany;27
http://dbpedia.org/resource/Eagle;eagle;27;Male;Master's degree;germany;28
http://dbpedia.org/resource/Goose;goose;27;Male;Master's degree;germany;28
http://dbpedia.org/resource/Penguin;penguin;27;Male;Master's degree;germany;28
http://dbpedia.org/resource/Eagle;eagle;30;Male;Bachelor's degree;usa;29
http://dbpedia.org/resource/Parakeet;parakeet;30;Male;Bachelor's degree;usa;29
http://dbpedia.org/resource/Falcon;falcon;30;Male;Bachelor's degree;usa;29
http://dbpedia.org/resource/Sparrow;sparrow;28;Male;Master's degree;germany;30
http://dbpedia.org/resource/Falcon;falcon;28;Male;Master's degree;germany;30
http://dbpedia.org/resource/Hummingbird;hummingbird;28;Male;Master's degree;germany;30
http://dbpedia.org/resource/Crow;crow;38;Female;Doctorate (e.g. PhD);greece;31
http://dbpedia.org/resource/Chicken;chicken;38;Female;Doctorate (e.g. PhD);greece;31
http://dbpedia.org/resource/Common_nightingale;nightingale;38;Female;Doctorate (e.g. PhD);greece;31
http://dbpedia.org/resource/Hummingbird;hummingbird;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Eagle;eagle;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Sparrow;sparrow;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Columbidae;dove;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/Sparrow;sparrow;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/Gull;seagull;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/Eurasian_blue_tit;blue tit;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/Eagle;eagle;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/Sparrow;sparrow;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/Hummingbird;colibri;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/Stork;stork;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/Chicken;chicken;25;Female;Bachelor's degree;germany;35
;woodpecker;24;Female;Master's degree;germany;36
http://dbpedia.org/resource/Cuckoo;cuckoo;24;Female;Master's degree;germany;36
http://dbpedia.org/resource/Crow;crow;24;Female;Master's degree;germany;36
http://dbpedia.org/resource/Red_kite;red kite;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Whinchat;brown throat;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Common_blackbird;blackbird;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Common_blackbird;blackbird;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Eagle;eagle;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Sparrow;sparrow;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Eagle;eagle;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Vulture;vulture;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Crow;crow;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Common_blackbird;blackbird;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/Eagle;eagle;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/Vulture;vulture;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/Ara_(bird);ara;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/Mockingbird;mockingbird;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/Robin;robin;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/Tit_(bird);tit;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Common_blackbird;blackbird;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Hummingbird;hummingbird;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Common_blackbird;blackbird;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/Sparrow;sparrow;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/Finch;fink;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/Eagle;eagle;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/Robin;robin;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/Parrot;parrot;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/Owl;owl;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/Duck;duck;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/Swan;swan;28;Female;High school degree or equivalent;germany;45
http://dbpedia.org/resource/Eagle;eagle;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/Chicken;chicken;31;Male;Bachelor's degree;germany;46
http://dbpedia.org/resource/Vulture;vulture;31;Male;Bachelor's degree;germany;46
