uri;us_presidents;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Barack_Obama;barackobama;26;Male;Bachelor's degree;Germany;0
http://dbpedia.org/resource/Joe_Biden;joebiden;26;Male;Bachelor's degree;Germany;0
http://dbpedia.org/resource/George_Washington;georgewashington;26;Male;Bachelor's degree;Germany;0
http://dbpedia.org/resource/Joe_Biden;joebiden;44;Male;Doctorate (e.g. PhD);Germany;1
http://dbpedia.org/resource/George_W._Bush;goergew.bush;44;Male;Doctorate (e.g. PhD);Germany;1
http://dbpedia.org/resource/Barack_Obama;barackobama;44;Male;Doctorate (e.g. PhD);Germany;1
http://dbpedia.org/resource/George_Washington;georgewashington;46;Male;Bachelor's degree;France;2
http://dbpedia.org/resource/Abraham_Lincoln;abrahamlincoln;46;Male;Bachelor's degree;France;2
http://dbpedia.org/resource/Richard_Nixon;richardnixon;46;Male;Bachelor's degree;France;2
http://dbpedia.org/resource/Donald_Trump;donaldtrump;28;Male;Master's degree;Germany;3
http://dbpedia.org/resource/John_F._Kennedy;johnf.kennedy;28;Male;Master's degree;Germany;3
http://dbpedia.org/resource/Gerald_Ford;geraldford;28;Male;Master's degree;Germany;3
http://dbpedia.org/resource/Barack_Obama;obama;34;Female;Master's degree;Switzerland;4
http://dbpedia.org/resource/Joe_Biden;biden;34;Female;Master's degree;Switzerland;4
http://dbpedia.org/resource/Abraham_Lincoln;lincoln;34;Female;Master's degree;Switzerland;4
http://dbpedia.org/resource/Barack_Obama;barrackobama;27;Male;Bachelor's degree;Germany;5
http://dbpedia.org/resource/Donald_Trump;donaldtrump;27;Male;Bachelor's degree;Germany;5
http://dbpedia.org/resource/Joe_Biden;joebiden;27;Male;Bachelor's degree;Germany;5
http://dbpedia.org/resource/George_Washington;washington;27;Male;Master's degree;Germany;6
http://dbpedia.org/resource/John_Quincy_Adams;adams;27;Male;Master's degree;Germany;6
http://dbpedia.org/resource/James_Madison;madison;27;Male;Master's degree;Germany;6
http://dbpedia.org/resource/Bill_Clinton;clinton;27;Male;Master's degree;Germany;7
http://dbpedia.org/resource/George_W._Bush;bush;27;Male;Master's degree;Germany;7
http://dbpedia.org/resource/Donald_Trump;trump;27;Male;Master's degree;Germany;7
http://dbpedia.org/resource/Bill_Clinton;billclinton;28;Male;High school degree or equivalent;Germany;8
http://dbpedia.org/resource/George_W._Bush;georgew.bush;28;Male;High school degree or equivalent;Germany;8
http://dbpedia.org/resource/Barack_Obama;barackobama;28;Male;High school degree or equivalent;Germany;8
http://dbpedia.org/resource/George_Washington;georgewashington;29;Male;Master's degree;Germany;9
http://dbpedia.org/resource/Abraham_Lincoln;abrahamlincoln;29;Male;Master's degree;Germany;9
http://dbpedia.org/resource/Barack_Obama;barackobama;29;Male;Master's degree;Germany;9
http://dbpedia.org/resource/Barack_Obama;obama;26;Male;Master's degree;Germany;10
http://dbpedia.org/resource/George_W._Bush;bush;26;Male;Master's degree;Germany;10
http://dbpedia.org/resource/Joe_Biden;biden;26;Male;Master's degree;Germany;10
http://dbpedia.org/resource/Donald_Trump;trump;37;Male;Master's degree;Germany;11
http://dbpedia.org/resource/George_Washington;washington;37;Male;Master's degree;Germany;11
http://dbpedia.org/resource/Franklin_D._Roosevelt;roosevelt;37;Male;Master's degree;Germany;11
http://dbpedia.org/resource/George_W._Bush;j.w.bush;24;Male;Master's degree;Germany;12
http://dbpedia.org/resource/Barack_Obama;barackobama;24;Male;Master's degree;Germany;12
http://dbpedia.org/resource/Donald_Trump;donaldtrump;24;Male;Master's degree;Germany;12
http://dbpedia.org/resource/Joe_Biden;biden;26;Female;Master's degree;Germany;13
http://dbpedia.org/resource/Barack_Obama;obama;26;Female;Master's degree;Germany;13
http://dbpedia.org/resource/George_Washington;washington;26;Female;Master's degree;Germany;13
http://dbpedia.org/resource/George_Washington;washington;26;Female;Master's degree;Germany;14
http://dbpedia.org/resource/Barack_Obama;obama;26;Female;Master's degree;Germany;14
http://dbpedia.org/resource/Joe_Biden;biden;26;Female;Master's degree;Germany;14
http://dbpedia.org/resource/Joe_Biden;biden;28;Female;Doctorate (e.g. PhD);Germany;15
http://dbpedia.org/resource/Donald_Trump;trump;28;Female;Doctorate (e.g. PhD);Germany;15
http://dbpedia.org/resource/George_W._Bush;bush;28;Female;Doctorate (e.g. PhD);Germany;15
http://dbpedia.org/resource/Barack_Obama;obama;25;Male;NaN;Germany;16
http://dbpedia.org/resource/Joe_Biden;biden;25;Male;NaN;Germany;16
http://dbpedia.org/resource/Donald_Trump;trump;25;Male;NaN;Germany;16
http://dbpedia.org/resource/George_Washington;georgewashington;31;Female;Master's degree;Germany;17
http://dbpedia.org/resource/Barack_Obama;barackobama;31;Female;Master's degree;Germany;17
http://dbpedia.org/resource/Donald_Trump;donaldtrump;31;Female;Master's degree;Germany;17
http://dbpedia.org/resource/Bill_Clinton;clinton;36;Male;Master's degree;Germany;18
http://dbpedia.org/resource/Barack_Obama;obama;36;Male;Master's degree;Germany;18
http://dbpedia.org/resource/Donald_Trump;trump;36;Male;Master's degree;Germany;18
http://dbpedia.org/resource/Joe_Biden;joebiden;27;Male;Master's degree;Germany;19
http://dbpedia.org/resource/Donald_Trump;trump;33;Male;Doctorate (e.g. PhD);Germany;20
http://dbpedia.org/resource/Joe_Biden;biden;33;Male;Doctorate (e.g. PhD);Germany;20
http://dbpedia.org/resource/Barack_Obama;obama;33;Male;Doctorate (e.g. PhD);Germany;20
http://dbpedia.org/resource/George_W._Bush;georgewbush;26;Male;Bachelor's degree;USA;21
http://dbpedia.org/resource/Barack_Obama;barackobama;26;Male;Bachelor's degree;USA;21
http://dbpedia.org/resource/Franklin_D._Roosevelt;franklindelanoroosevelt;26;Male;Bachelor's degree;USA;21
http://dbpedia.org/resource/Bill_Clinton;clinton;44;Female;Doctorate (e.g. PhD);Sweden;22
http://dbpedia.org/resource/Barack_Obama;obama;44;Female;Doctorate (e.g. PhD);Sweden;22
http://dbpedia.org/resource/Donald_Trump;trump;44;Female;Doctorate (e.g. PhD);Sweden;22
http://dbpedia.org/resource/Joe_Biden;joebiden;26;Male;Bachelor's degree;Germany;23
http://dbpedia.org/resource/Donald_Trump;donaldtrump;26;Male;Bachelor's degree;Germany;23
http://dbpedia.org/resource/Franklin_D._Roosevelt;franklind.roosevelt;26;Male;Bachelor's degree;Germany;23
http://dbpedia.org/resource/Abraham_Lincoln;abrahamlincoln;27;Male;Bachelor's degree;NaN;24
http://dbpedia.org/resource/Barack_Obama;barackobama;27;Male;Bachelor's degree;NaN;24
http://dbpedia.org/resource/George_W._Bush;georgew.bush;27;Male;Bachelor's degree;NaN;24
http://dbpedia.org/resource/George_W._Bush;georgew.bush;23;Male;Bachelor's degree;Germany;25
http://dbpedia.org/resource/Donald_Trump;donaldtrump;23;Male;Bachelor's degree;Germany;25
http://dbpedia.org/resource/Ronald_Reagan;ronaldreagan;23;Male;Bachelor's degree;Germany;25
http://dbpedia.org/resource/Joe_Biden;biden;22;Male;Bachelor's degree;Germany;26
http://dbpedia.org/resource/Donald_Trump;trump;22;Male;Bachelor's degree;Germany;26
http://dbpedia.org/resource/Barack_Obama;obama;22;Male;Bachelor's degree;Germany;26
http://dbpedia.org/resource/George_W._Bush;georgewbush;25;Male;Bachelor's degree;Germany;27
