uri;vegetables;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Pea;peas;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Carrot;carrot;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Tomato;tomato;26;Male;Bachelor's degree;germany;0
http://dbpedia.org/resource/Cucumber;cucumber;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Tomato;tomato;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Zucchini;zucchini;44;Male;Doctorate (e.g. PhD);germany;1
http://dbpedia.org/resource/Leek;leek;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Cabbage;cabbage;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Potato;potato;46;Male;Bachelor's degree;france;2
http://dbpedia.org/resource/Zucchini;zucchini;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Eggplant;eggplant;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Bell_pepper;pepper;28;Male;Master's degree;germany;3
http://dbpedia.org/resource/Bell_pepper;bell pepper;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Eggplant;eggplant;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Tomato;tomato;34;Female;Master's degree;switzerland;4
http://dbpedia.org/resource/Zucchini;zucchini;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Eggplant;eggplant;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Carrot;carrot;27;Male;Bachelor's degree;germany;5
http://dbpedia.org/resource/Cucumber;cucumber;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Tomato;tomato;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Grape;grapes;27;Male;Master's degree;germany;6
http://dbpedia.org/resource/Cucumber;cucumber;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Paprika;paprika;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Radish;radishes;27;Male;Master's degree;germany;7
http://dbpedia.org/resource/Potato;potato;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Carrot;carrott;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Bean;bean;28;Male;High school degree or equivalent;germany;8
http://dbpedia.org/resource/Tomato;tomato;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Potato;potato;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Carrot;carrot;29;Male;Master's degree;germany;9
http://dbpedia.org/resource/Carrot;carrot;26;Male;Master's degree;germany;10
http://dbpedia.org/resource/Cucumber;cucumber;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Spinach;spinach;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Kale;kale;37;Male;Master's degree;germany;11
http://dbpedia.org/resource/Cucumber;cucumber;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Bell_pepper;pepper;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Tomato;tomato;24;Male;Master's degree;germany;12
http://dbpedia.org/resource/Bell_pepper;bell pepper;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Eggplant;eggplant;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Carrot;carrot;26;Female;Master's degree;germany;13
http://dbpedia.org/resource/Cucumber;cucumber;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Bell_pepper;pepper;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Carrot;carrot;26;Female;Master's degree;germany;14
http://dbpedia.org/resource/Cucumber;cucumber;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Tomato;tomato;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Asparagus;asparagus;28;Female;Doctorate (e.g. PhD);germany;15
http://dbpedia.org/resource/Bean;bean;25;Male;NaN;germany;16
http://dbpedia.org/resource/Cucumber;cucumber;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Carrot;carrot;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Bell_pepper;bell pepper;31;Female;Master's degree;germany;17
http://dbpedia.org/resource/Cucumber;cucumber;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Carrot;carrot;36;Male;Master's degree;germany;18
http://dbpedia.org/resource/Lettuce;salad;36;Male;Master's degree;germany;18
