african_animals;p_age;p_gender;p_education;p_country;p_id;uri
lion;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Essex
elephant;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Republican_Party_(United_States)
honeybadger;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Honey_badger
elephant;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Essex
zebra;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Zebra_Puzzle
leopard;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Mac_OS_X_Leopard
hyena;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Spotted_hyena
gazelle;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Gazelle_Stakes
zebra;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Zebra_Puzzle
elephant;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Essex
elephant;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Zebra_Puzzle
giraffe;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Giraffe
elephant;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Essex
hyena;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Spotted_hyena
lion;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Essex
giraffe;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Giraffe
elephant;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Essex
elephant;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Republican_Party_(United_States)
antelope;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Antelope_County,_Nebraska
lion;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Essex
elephant;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Giraffe
