birds;p_age;p_gender;p_education;p_country;p_id;uri
robin;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Robin_Gibb
mockingbird;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/To_Kill_a_Mockingbird
pelican;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Louisiana
ostrich;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Common_ostrich
owl;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
mockingbird;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/To_Kill_a_Mockingbird
nightingale;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Florence_Nightingale
swallow;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Tokyo_Yakult_Swallows
pelican;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Louisiana
eagle;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/EAGLE_(program)
magpie;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Magpie-lark
owl;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
sparrow;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Sparrow_Records
eagle;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/EAGLE_(program)
gull;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Gull
eagle;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/EAGLE_(program)
dove;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/List_of_Dove_Medical_Press_academic_journals
pigeon;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Pheasant_pigeon
eagle;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/EAGLE_(program)
sparrow;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Sparrow_Records
duck;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Preston_North_End_F.C.
eagle;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/EAGLE_(program)
buzzard;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Leighton_Buzzard
blackbird;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
eagle;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/EAGLE_(program)
falcon;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Atlanta_Falcons
ostrich;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Common_ostrich
eagle;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/EAGLE_(program)
penguin;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Penguin_Books
kiwi;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Vailima_Kiwi_FC
robin;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Robin_Gibb
owl;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
penguin;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Penguin_Books
blackbird;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
choke;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Arm_triangle_choke
fink;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Fink_(singer)
blackbird;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
red calyx;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Mercury(II)_oxide
stork;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Saddle-billed_stork
dove;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/List_of_Dove_Medical_Press_academic_journals
crow;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Sheryl_Crow
stork;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Saddle-billed_stork
eagle;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/EAGLE_(program)
hummingbird;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Boeing_A160_Hummingbird
robin;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Robin_Gibb
blackbird;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
choke;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Arm_triangle_choke
fink;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Fink_(singer)
pidgeon;25;Male;;germany;16;http://dbpedia.org/resource/Pidgeon
mockingbird;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/To_Kill_a_Mockingbird
chicken;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Chicken
seagull;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Curtiss_SOC_Seagull
owl;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
hawk;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Sphingidae
hummingbird;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Boeing_A160_Hummingbird
mockingbird;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/To_Kill_a_Mockingbird
hummingbird;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Boeing_A160_Hummingbird
pigeon;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Pheasant_pigeon
swallow;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Tokyo_Yakult_Swallows
owl;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
robin;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Robin_Gibb
crow;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Sheryl_Crow
cardinal;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Stanford_Cardinal
kiwi;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Vailima_Kiwi_FC
hummingbird;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Boeing_A160_Hummingbird
robin;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Robin_Gibb
owl;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
sparrow;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Sparrow_Records
eagle;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/EAGLE_(program)
tit;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Crested_shriketit
woodpecker;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Woody_Woodpecker
robin;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Robin_Gibb
parrot;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Grey_parrot
