european_capital_cities;p_age;p_gender;p_education;p_country;p_id;uri
berlin;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Berlin
paris;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Paris
london;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/London
amsterdam;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Amsterdam
berlin;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Berlin
rome;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Rome
paris;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Paris
london;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/London
madrid;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Madrid
berlin;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Berlin
paris;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Paris
madrid;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Madrid
brussels;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Brussels
paris;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Paris
berlin;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Berlin
berlin;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Berlin
amsterdam;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Amsterdam
paris;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Paris
brussels;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Brussels
london;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/London
berlin;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Berlin
rome;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Rome
brussels;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Brussels
berlin;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Berlin
berlin;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Berlin
paris;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Paris
london;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/London
rome;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Rome
madrid;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Madrid
london;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/London
berlin;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Berlin
brussels;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Brussels
paris;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Paris
berlin;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Berlin
paris;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Paris
rome;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Rome
paris;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Paris
berlin;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Berlin
stockholm;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Stockholm
berlin;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Berlin
paris;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Paris
brussels;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Brussels
rome;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Rome
berlin;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Berlin
amsterdam;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Amsterdam
berlin;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Berlin
rome;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Rome
london;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/London
brussels;25;Male;;Germany;16;http://dbpedia.org/resource/Brussels
berlin;25;Male;;Germany;16;http://dbpedia.org/resource/Berlin
copenhagen;25;Male;;Germany;16;http://dbpedia.org/resource/Copenhagen
paris;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Paris
berlin;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Berlin
london;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/London
vienna;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Vienna
berlin;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Berlin
london;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/London
berlin;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Berlin
paris;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Paris
paris;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Paris
london;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/London
berlin;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Berlin
berlin;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Berlin
london;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/London
rome;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Rome
paris;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Paris
rome;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Rome
stockholm;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Stockholm
berlin;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Berlin
paris;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Paris
brussels;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Brussels
paris;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Paris
london;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/London
madrid;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Madrid
london;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/London
madrid;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Madrid
copenhagen;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Copenhagen
paris;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Paris
rome;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Rome
madrid;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Madrid
berlin;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Berlin
london;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/London
reykjavik;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Reykjavík
vienna;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Vienna
torshavn;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/B36_Tórshavn
valetta;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Valletta
berlin;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Berlin
madrid;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Madrid
paris;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Paris
madrid;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Madrid
berlin;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Berlin
paris;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Paris
paris;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Paris
berlin;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Berlin
london;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/London
rome;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Rome
berlin;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Berlin
paris;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Paris
paris;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Paris
berlin;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Berlin
rome;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Rome
berlin;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Berlin
paris;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Paris
london;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/London
warsaw;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Warsaw
prague;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Prague
lisbon;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Lisbon
paris;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Paris
london;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/London
berlin;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Berlin
berlin;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Berlin
rome;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Rome
paris;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Paris
paris;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Paris
london;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/London
berlin;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Berlin
berlin;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Berlin
paris;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Paris
rome;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Rome
berlin;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Berlin
warsaw;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Warsaw
kiev;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Kiev
berlin;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Berlin
vienna;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Vienna
paris;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Paris
milan;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Milan
london;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/London
madrid;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Madrid
berlin;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Berlin
paris;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Paris
london;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/London
