european_countries;p_age;p_gender;p_education;p_country;p_id;uri
germany;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Germany
france;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/France
italy;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Italy
germany;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Germany
france;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/France
italy;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Italy
france;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/France
germany;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Germany
italy;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Italy
germany;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Germany
france;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/France
united kingdom;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/United_Kingdom
austria;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Austria
germany;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Germany
france;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/France
germany;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Germany
france;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/France
spain;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Spain
germany;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Germany
switzerland;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Switzerland
denmark;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Denmark
bulgaria;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Bulgaria
poland;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Poland
italy;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Italy
germany;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Germany
austria;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Austria
switzerland;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Switzerland
germany;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Germany
france;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/France
spain;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Spain
germany;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Germany
switzerland;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Switzerland
denmark;26;Male;Master's degree;germany;10;http://dbpedia.org/resource/Denmark
monaco;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/AS_Monaco_FC
vatican city;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Vatican_City
ukraine;37;Male;Master's degree;germany;11;http://dbpedia.org/resource/Ukraine
france;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/France
germany;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Germany
denmark;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Denmark
germany;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Germany
france;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/France
italy;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Italy
germany;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Germany
italy;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Italy
france;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/France
germany;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Germany
france;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/France
spain;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Spain
italy;25;Male;;germany;16;http://dbpedia.org/resource/Italy
spain;25;Male;;germany;16;http://dbpedia.org/resource/Spain
belgium;25;Male;;germany;16;http://dbpedia.org/resource/Belgium
germany;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Germany
france;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/France
italy;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Italy
germany;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Germany
austria;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Austria
switzerland;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Switzerland
germany;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Germany
switzerland;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Switzerland
ukraine;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Ukraine
germany;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Germany
france;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/France
italy;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Italy
france;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/France
germany;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Germany
denmark;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Denmark
france;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/France
italy;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Italy
spain;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Spain
germany;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Germany
france;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/France
poland;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Poland
germany;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Germany
germany;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Germany
france;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/France
denmark;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Denmark
germany;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Germany
france;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/France
spain;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Spain
germany;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Germany
spain;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Spain
united kingdom;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/United_Kingdom
austria;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Austria
iceland;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Iceland
faroerislands;27;Male;Master's degree;germany;28;NaN
norway;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Norway
denmark;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Denmark
sweden;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Sweden
netherlands;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Netherlands
austria;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Austria
italy;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Italy
france;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/France
greece;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Greece
croatia;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Croatia
germany;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Germany
france;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/France
italy;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Italy
germany;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Germany
france;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/France
italy;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Italy
germany;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Germany
united kingdom;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/United_Kingdom
