european_landmarks;p_age;p_gender;p_education;p_country;p_id;uri
eiffel tower;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Brandenburg_Gate
colosseum;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Colosseum
eiffel tower;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Eiffel_Tower
towerbridge;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Keith_Towbridge
leaning tower of pisa;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Leaning_Tower_of_Pisa
eiffel tower;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Eiffel_Tower
leaning tower of pisa;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Leaning_Tower_of_Pisa
stonehenge;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Stonehenge
eiffel tower;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Brandenburg_Gate
london eye;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/London_Eye
eiffel tower;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Eiffel_Tower
big ben;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/V8_engine
manneken pis;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Manneken_Pis
eiffel tower;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Brandenburg_Gate
neuschwanstein castle;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Neuschwanstein_Castle
brandenburg gate;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Brandenburg_Gate
big ben;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/V8_engine
