nineties_movies;p_age;p_gender;p_education;p_country;p_id;uri
the matrix;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/The_Matrix_(franchise)
groundhog day;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Groundhog_Day
goodfellas;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Goodfellas
batman;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/List_of_Batman:_The_Animated_Series_episodes
matrix;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/The_Matrix_(franchise)
eyes wide shut;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Eyes_Wide_Shut_(song)
total recall;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Total_Recall
lethal weapon;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Non-lethal_weapon
predator;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Bacteria
léon: the professional;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Léon:_The_Professional
the matrix;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/The_Matrix_(franchise)
departed;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/The_Departed
home alone;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Home_Alone
matrix;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/The_Matrix_(franchise)
titanic;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/RMS_Titanic
matrix;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/The_Matrix_(franchise)
oceans 11;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Ocean's_11
star wars;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Star_Wars
harry potter;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Harry_Potter
pretty woman;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Pretty_Woman
der mit dem wolf tanzt;27;Male;Master's degree;Germany;7;NaN
das schweigen der lämmer;27;Male;Master's degree;Germany;7;NaN
american pie 1;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Kickboxing
american pie 2;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/American_Pie_2
american pie 3;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/American_Wedding
matrix;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/The_Matrix_(franchise)
pulp fiction;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Pulp_magazine
shawshank redemption;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/The_Shawshank_Redemption
batman returns;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/List_of_Batman:_The_Animated_Series_episodes
the rainmaker;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Rainmaker_Studios
jurrasic park;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Jurassic_Park
forrest gump;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Forrest_Gump
gina wild 3;37;Male;Master's degree;Germany;11;http://dbpedia.org/resource/Papua_New_Guinea
nottinghill;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/1958_Notting_Hill_race_riots
night before christmas;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/The_Nightmare_Before_Christmas
home alone;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Home_Alone
dirty dancing;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Dirty_Dancing
clueless;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Pigeon_John
american pie;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/American_Pie_(song)
nan;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Hunan
the lion king;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Essex
the matrix;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/The_Matrix_(franchise)
titanic;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/RMS_Titanic
hone alone;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Home_Alone
matrix;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/The_Matrix_(franchise)
titanic;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/RMS_Titanic
back to the future;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Back_to_the_Future
terminator;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Terminator_(franchise)
jurassic park;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Jurassic_Park
water world;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Water_World
the matrix;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/The_Matrix_(franchise)
die hard;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Die_Hard_with_a_Vengeance
the fifth element;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/The_Fifth_Element
being john malkovich;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Being_John_Malkovich
the matrix;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/The_Matrix_(franchise)
american history x;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/United_States_men's_national_soccer_team
schindlers liste;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Schindler's_List
matrix;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/The_Matrix_(franchise)
nan;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Hunan
l.a. confidental;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/L.A._Confidential
heat;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Miami_Heat
the green mile;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Mile_End
nan;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Hunan
fight club;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Fight_Club
titanic;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/RMS_Titanic
man in black;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Mel_Blanc
james bond;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/James_Bond
star wars;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Star_Wars
lord of the rings;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/The_Lord_of_the_Rings
lion king;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Essex
dumb & dumber;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Dumb_and_Dumber
youve got mail;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/You've_Got_Mail
rocky;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Rock_music
stirb langsam 1;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Television_Critics_Association
titanic;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/RMS_Titanic
the age of innocence;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/The_Age_of_Innocence_(disambiguation)
12 monkeys;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/12_Monkeys
fear and loathing in las vegas;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas
scary movie;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Scary_Movie_(film_series)
water world;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Water_World
braveheart;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Braveheart
blade;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Metal_Blade_Records
tomorrow never dies;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Tomorrow_Never_Dies
die hard;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Die_Hard_with_a_Vengeance
nan;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Hunan
glenngarry glenn ross;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Glengarry_Glen_Ross
