furniture;p_age;p_gender;p_education;p_country;p_id;uri
chair;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Professor
table;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Table_tennis
lamp;26;Male;Bachelor's degree;germany;0;http://dbpedia.org/resource/Fluorescent_lamp
chair;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Professor
table;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Table_tennis
sofa;44;Male;Doctorate (e.g. PhD);germany;1;http://dbpedia.org/resource/Sofia
table;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Table_tennis
cupboard;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Cupboard
chair;46;Male;Bachelor's degree;france;2;http://dbpedia.org/resource/Professor
bed;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Finistère
sofa;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Sofia
table;28;Male;Master's degree;germany;3;http://dbpedia.org/resource/Table_tennis
chair;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Professor
table;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/Table_tennis
cabinet;34;Female;Master's degree;switzerland;4;http://dbpedia.org/resource/West_Sussex
chair;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Professor
sofa;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Sofia
table;27;Male;Bachelor's degree;germany;5;http://dbpedia.org/resource/Table_tennis
couch;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Couch
chair;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/Professor
wardrobe;27;Male;Master's degree;germany;6;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
chair;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Professor
table;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/Table_tennis
cabinet;27;Male;Master's degree;germany;7;http://dbpedia.org/resource/West_Sussex
couch;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Couch
dining table;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Restaurant
bed;28;Male;High school degree or equivalent;germany;8;http://dbpedia.org/resource/Finistère
chair;29;Male;Master's degree;germany;9;http://dbpedia.org/resource/Professor
