politicians;p_age;p_gender;p_education;p_country;p_id;uri
barack obama;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Barack_Obama
olaf scholz;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Olaf_Scholz
robert habeck;26;Male;Bachelor's degree;Germany;0;http://dbpedia.org/resource/Robert_Habeck
angela merkel;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Angela_Merkel
joe biden;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/Joe_Biden
george w. bush;44;Male;Doctorate (e.g. PhD);Germany;1;http://dbpedia.org/resource/George_W._Bush
jean luc mélenchon;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Jean-Luc_Mélenchon
raphaël correa;46;Male;Bachelor's degree;France;2;NaN
gabriel boric;46;Male;Bachelor's degree;France;2;http://dbpedia.org/resource/Gabriel_Boric
robert habeck;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Robert_Habeck
olaf scholz;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Olaf_Scholz
martin schulz;28;Male;Master's degree;Germany;3;http://dbpedia.org/resource/Martin_Schulz
merkel;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Angela_Merkel
obama;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Barack_Obama
biden;34;Female;Master's degree;Switzerland;4;http://dbpedia.org/resource/Joe_Biden
angela merkel;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Angela_Merkel
emanuel macron;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Emmanuel_Macron
olaf scholz;27;Male;Bachelor's degree;Germany;5;http://dbpedia.org/resource/Olaf_Scholz
angela merkel;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Angela_Merkel
boris johnson;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Boris_Johnson
arnold schwarzenegger;27;Male;Master's degree;Germany;6;http://dbpedia.org/resource/Arnold_Schwarzenegger
merkel;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Angela_Merkel
clinton;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Bill_Clinton
putin;27;Male;Master's degree;Germany;7;http://dbpedia.org/resource/Vladimir_Putin
olaf scholz;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Olaf_Scholz
vladimir putin;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Vladimir_Putin
ursula von der leyen;28;Male;High school degree or equivalent;Germany;8;http://dbpedia.org/resource/Ursula_von_der_Leyen
wladimir putin;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Vladimir_Putin
marcus tullius cicero;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Cicero
angela merkel;29;Male;Master's degree;Germany;9;http://dbpedia.org/resource/Angela_Merkel
merkel;26;Male;Master's degree;Germany;10;http://dbpedia.org/resource/Angela_Merkel
