us_tech_companies;p_age;p_gender;p_education;p_country;p_id
apple;26;Male;Bachelor's degree;Germany;0
google;26;Male;Bachelor's degree;Germany;0
tesla;26;Male;Bachelor's degree;Germany;0
meta;44;Male;Doctorate (e.g. PhD);Germany;1
alphabet;44;Male;Doctorate (e.g. PhD);Germany;1
zoom;44;Male;Doctorate (e.g. PhD);Germany;1
google;46;Male;Bachelor's degree;France;2
amazon;46;Male;Bachelor's degree;France;2
microsoft;46;Male;Bachelor's degree;France;2
alphabet;28;Male;Master's degree;Germany;3
apple;28;Male;Master's degree;Germany;3
oracle;28;Male;Master's degree;Germany;3
tesla;34;Female;Master's degree;Switzerland;4
google;34;Female;Master's degree;Switzerland;4
microsoft;34;Female;Master's degree;Switzerland;4
apple;27;Male;Bachelor's degree;Germany;5
microsoft;27;Male;Bachelor's degree;Germany;5
google;27;Male;Bachelor's degree;Germany;5
stripe;27;Male;Master's degree;Germany;6
apple;27;Male;Master's degree;Germany;6
microsoft;27;Male;Master's degree;Germany;6
amazon;27;Male;Master's degree;Germany;7
apple;27;Male;Master's degree;Germany;7
alphabet;27;Male;Master's degree;Germany;7
apple;28;Male;High school degree or equivalent;Germany;8
google;28;Male;High school degree or equivalent;Germany;8
microsoft;28;Male;High school degree or equivalent;Germany;8
google;29;Male;Master's degree;Germany;9
palantir;29;Male;Master's degree;Germany;9
uber;29;Male;Master's degree;Germany;9
meta;26;Male;Master's degree;Germany;10
apple;26;Male;Master's degree;Germany;10
google;26;Male;Master's degree;Germany;10
apple;37;Male;Master's degree;Germany;11
amazon;37;Male;Master's degree;Germany;11
nvidia;37;Male;Master's degree;Germany;11
ibm;24;Male;Master's degree;Germany;12
amazon;24;Male;Master's degree;Germany;12
google;24;Male;Master's degree;Germany;12
microsoft;26;Female;Master's degree;Germany;13
amazon;26;Female;Master's degree;Germany;13
apple;26;Female;Master's degree;Germany;13
apple;26;Female;Master's degree;Germany;14
microsoft;26;Female;Master's degree;Germany;14
dell;26;Female;Master's degree;Germany;14
apple;28;Female;Doctorate (e.g. PhD);Germany;15
samsung;28;Female;Doctorate (e.g. PhD);Germany;15
microsoft;28;Female;Doctorate (e.g. PhD);Germany;15
apple;25;Male;NaN;Germany;16
salesforce;25;Male;NaN;Germany;16
zsacler;25;Male;NaN;Germany;16
meta;31;Female;Master's degree;Germany;17
apple;31;Female;Master's degree;Germany;17
ibm;31;Female;Master's degree;Germany;17
apple;36;Male;Master's degree;Germany;18
