asian_countries;p_age;p_gender;p_education;p_country;p_id
japan;26;Male;Bachelor's degree;germany;0
china;26;Male;Bachelor's degree;germany;0
india;26;Male;Bachelor's degree;germany;0
china;44;Male;Doctorate (e.g. PhD);germany;1
japan;44;Male;Doctorate (e.g. PhD);germany;1
south korea;44;Male;Doctorate (e.g. PhD);germany;1
japan;46;Male;Bachelor's degree;france;2
china;46;Male;Bachelor's degree;france;2
south korea;46;Male;Bachelor's degree;france;2
thailand;28;Male;Master's degree;germany;3
vietnam;28;Male;Master's degree;germany;3
china;28;Male;Master's degree;germany;3
vietnam;34;Female;Master's degree;switzerland;4
thailand;34;Female;Master's degree;switzerland;4
japan;34;Female;Master's degree;switzerland;4
china;27;Male;Bachelor's degree;germany;5
korea;27;Male;Bachelor's degree;germany;5
japan;27;Male;Bachelor's degree;germany;5
myanmar;27;Male;Master's degree;germany;6
china;27;Male;Master's degree;germany;6
japan;27;Male;Master's degree;germany;6
thailand;27;Male;Master's degree;germany;7
china;27;Male;Master's degree;germany;7
pakistan;27;Male;Master's degree;germany;7
taiwan;28;Male;High school degree or equivalent;germany;8
taiwan;28;Male;High school degree or equivalent;germany;8
japan;28;Male;High school degree or equivalent;germany;8
china;29;Male;Master's degree;germany;9
japan;29;Male;Master's degree;germany;9
india;29;Male;Master's degree;germany;9
china;26;Male;Master's degree;germany;10
japan;26;Male;Master's degree;germany;10
nepal;26;Male;Master's degree;germany;10
russia;37;Male;Master's degree;germany;11
mongolia;37;Male;Master's degree;germany;11
kazakhstan;37;Male;Master's degree;germany;11
india;24;Male;Master's degree;germany;12
china;24;Male;Master's degree;germany;12
japan;24;Male;Master's degree;germany;12
japan;26;Female;Master's degree;germany;13
china;26;Female;Master's degree;germany;13
china;26;Female;Master's degree;germany;14
japan;26;Female;Master's degree;germany;14
south korea;26;Female;Master's degree;germany;14
indonesia;28;Female;Doctorate (e.g. PhD);germany;15
thailand;28;Female;Doctorate (e.g. PhD);germany;15
laos;28;Female;Doctorate (e.g. PhD);germany;15
thailand;25;Male;NaN;germany;16
china;25;Male;NaN;germany;16
japan;25;Male;NaN;germany;16
vietnam;31;Female;Master's degree;germany;17
singapore;31;Female;Master's degree;germany;17
china;31;Female;Master's degree;germany;17
india;36;Male;Master's degree;germany;18
srilanka;36;Male;Master's degree;germany;18
south korea;36;Male;Master's degree;germany;18
indonesia;27;Male;Master's degree;germany;19
china;27;Male;Master's degree;germany;19
vietnam;27;Male;Master's degree;germany;19
india;33;Male;Doctorate (e.g. PhD);germany;20
china;33;Male;Doctorate (e.g. PhD);germany;20
japan;33;Male;Doctorate (e.g. PhD);germany;20
china;26;Male;Bachelor's degree;usa;21
taiwan;26;Male;Bachelor's degree;usa;21
vietnam;26;Male;Bachelor's degree;usa;21
china;44;Female;Doctorate (e.g. PhD);sweden;22
korea;44;Female;Doctorate (e.g. PhD);sweden;22
japan;44;Female;Doctorate (e.g. PhD);sweden;22
thailand;26;Male;Bachelor's degree;germany;23
china;26;Male;Bachelor's degree;germany;23
south korea;26;Male;Bachelor's degree;germany;23
thailand;27;Male;Bachelor's degree;nan;24
myanmar;27;Male;Bachelor's degree;nan;24
cambodia;27;Male;Bachelor's degree;nan;24
japan;23;Male;Bachelor's degree;germany;25
china;23;Male;Bachelor's degree;germany;25
nan;22;Male;Bachelor's degree;germany;26
china;25;Male;Bachelor's degree;germany;27
japan;25;Male;Bachelor's degree;germany;27
india;25;Male;Bachelor's degree;germany;27
macao;27;Male;Master's degree;germany;28
pakistan;27;Male;Master's degree;germany;28
bangladesh;27;Male;Master's degree;germany;28
singapore;30;Male;Bachelor's degree;usa;29
cambodia;30;Male;Bachelor's degree;usa;29
laos;30;Male;Bachelor's degree;usa;29
thailand;28;Male;Master's degree;germany;30
china;28;Male;Master's degree;germany;30
japan;28;Male;Master's degree;germany;30
japan;38;Female;Doctorate (e.g. PhD);greece;31
india;38;Female;Doctorate (e.g. PhD);greece;31
china;38;Female;Doctorate (e.g. PhD);greece;31
china;28;Male;Master's degree;germany;32
vietnam;28;Male;Master's degree;germany;32
thailand;28;Male;Master's degree;germany;32
china;26;Male;Bachelor's degree;germany;33
taiwan;26;Male;Bachelor's degree;germany;33
south korea;26;Male;Bachelor's degree;germany;33
china;19;Male;High school degree or equivalent;germany;34
singapore;19;Male;High school degree or equivalent;germany;34
japan;19;Male;High school degree or equivalent;germany;34
hong kong;25;Female;Bachelor's degree;germany;35
cambodia;25;Female;Bachelor's degree;germany;35
laos;25;Female;Bachelor's degree;germany;35
china;24;Female;Master's degree;germany;36
india;24;Female;Master's degree;germany;36
south korea;24;Female;Master's degree;germany;36
japan;25;Male;Bachelor's degree;germany;37
china;25;Male;Bachelor's degree;germany;37
burma;25;Male;Bachelor's degree;germany;37
malaysia;64;Male;Doctorate (e.g. PhD);austria;38
indonesia;64;Male;Doctorate (e.g. PhD);austria;38
india;64;Male;Doctorate (e.g. PhD);austria;38
china;24;Male;Bachelor's degree;germany;39
japan;24;Male;Bachelor's degree;germany;39
india;24;Male;Bachelor's degree;germany;39
china;31;Male;Bachelor's degree;germany;40
russia;31;Male;Bachelor's degree;germany;40
india;31;Male;Bachelor's degree;germany;40
thailand;25;Female;Bachelor's degree;germany;41
china;25;Female;Bachelor's degree;germany;41
indonesia;25;Female;Bachelor's degree;germany;41
south korea;28;Female;Bachelor's degree;germany;42
japan;28;Female;Bachelor's degree;germany;42
china;28;Female;Bachelor's degree;germany;42
philippines;37;Female;Master's degree;germany;43
china;37;Female;Master's degree;germany;43
malaysia;37;Female;Master's degree;germany;43
thailand;50;Female;High school degree or equivalent;germany;44
vietnam;50;Female;High school degree or equivalent;germany;44
cambodia;50;Female;High school degree or equivalent;germany;44
vietnam;28;Female;High school degree or equivalent;germany;45
india;28;Female;High school degree or equivalent;germany;45
thailand;28;Female;High school degree or equivalent;germany;45
china;31;Male;Bachelor's degree;germany;46
japan;31;Male;Bachelor's degree;germany;46
india;31;Male;Bachelor's degree;germany;46
india;21;Female;High school degree or equivalent;germany;47
china;21;Female;High school degree or equivalent;germany;47
japan;21;Female;High school degree or equivalent;germany;47
peking;23;Female;Bachelor's degree;germany;48
shanghai;23;Female;Bachelor's degree;germany;48
mumbai;23;Female;Bachelor's degree;germany;48
india;36;Male;Bachelor's degree;india;49
china;36;Male;Bachelor's degree;india;49
singapore;36;Male;Bachelor's degree;india;49
japan;28;Female;Master's degree;romania;50
south korea;28;Female;Master's degree;romania;50
thailand;28;Female;Master's degree;romania;50
china;19;Female;High school degree or equivalent;germany;51
japan;19;Female;High school degree or equivalent;germany;51
india;19;Female;High school degree or equivalent;germany;51
china;19;Female;High school degree or equivalent;germany;52
south korea;19;Female;High school degree or equivalent;germany;52
japan;19;Female;High school degree or equivalent;germany;52
china;25;Male;Bachelor's degree;germany;53
thailand;25;Male;Bachelor's degree;germany;53
vietnam;25;Male;Bachelor's degree;germany;53
indonesia;34;Female;Master's degree;france;54
