birds;p_age;p_gender;p_education;p_country;p_id
robin;26;Male;Bachelor's degree;germany;0
mockingbird;26;Male;Bachelor's degree;germany;0
pelican;26;Male;Bachelor's degree;germany;0
ostrich;44;Male;Doctorate (e.g. PhD);germany;1
owl;44;Male;Doctorate (e.g. PhD);germany;1
mockingbird;44;Male;Doctorate (e.g. PhD);germany;1
nightingale;46;Male;Bachelor's degree;france;2
swallow;46;Male;Bachelor's degree;france;2
pelican;46;Male;Bachelor's degree;france;2
eagle;28;Male;Master's degree;germany;3
magpie;28;Male;Master's degree;germany;3
owl;28;Male;Master's degree;germany;3
sparrow;34;Female;Master's degree;switzerland;4
eagle;34;Female;Master's degree;switzerland;4
gull;34;Female;Master's degree;switzerland;4
eagle;27;Male;Bachelor's degree;germany;5
dove;27;Male;Bachelor's degree;germany;5
pigeon;27;Male;Bachelor's degree;germany;5
eagle;27;Male;Master's degree;germany;6
sparrow;27;Male;Master's degree;germany;6
duck;27;Male;Master's degree;germany;6
eagle;27;Male;Master's degree;germany;7
buzzard;27;Male;Master's degree;germany;7
blackbird;27;Male;Master's degree;germany;7
eagle;28;Male;High school degree or equivalent;germany;8
falcon;28;Male;High school degree or equivalent;germany;8
ostrich;28;Male;High school degree or equivalent;germany;8
eagle;29;Male;Master's degree;germany;9
penguin;29;Male;Master's degree;germany;9
kiwi;29;Male;Master's degree;germany;9
robin;26;Male;Master's degree;germany;10
owl;26;Male;Master's degree;germany;10
penguin;26;Male;Master's degree;germany;10
blackbird;37;Male;Master's degree;germany;11
choke;37;Male;Master's degree;germany;11
fink;37;Male;Master's degree;germany;11
blackbird;24;Male;Master's degree;germany;12
red calyx;24;Male;Master's degree;germany;12
stork;24;Male;Master's degree;germany;12
dove;26;Female;Master's degree;germany;13
crow;26;Female;Master's degree;germany;13
stork;26;Female;Master's degree;germany;13
eagle;26;Female;Master's degree;germany;14
hummingbird;26;Female;Master's degree;germany;14
robin;26;Female;Master's degree;germany;14
blackbird;28;Female;Doctorate (e.g. PhD);germany;15
choke;28;Female;Doctorate (e.g. PhD);germany;15
fink;28;Female;Doctorate (e.g. PhD);germany;15
pidgeon;25;Male;NaN;germany;16
mockingbird;31;Female;Master's degree;germany;17
chicken;31;Female;Master's degree;germany;17
seagull;31;Female;Master's degree;germany;17
owl;36;Male;Master's degree;germany;18
hawk;36;Male;Master's degree;germany;18
hummingbird;36;Male;Master's degree;germany;18
mockingbird;27;Male;Master's degree;germany;19
hummingbird;27;Male;Master's degree;germany;19
pigeon;33;Male;Doctorate (e.g. PhD);germany;20
swallow;33;Male;Doctorate (e.g. PhD);germany;20
owl;33;Male;Doctorate (e.g. PhD);germany;20
robin;26;Male;Bachelor's degree;usa;21
crow;26;Male;Bachelor's degree;usa;21
cardinal;26;Male;Bachelor's degree;usa;21
kiwi;44;Female;Doctorate (e.g. PhD);sweden;22
hummingbird;44;Female;Doctorate (e.g. PhD);sweden;22
robin;26;Male;Bachelor's degree;germany;23
owl;26;Male;Bachelor's degree;germany;23
sparrow;26;Male;Bachelor's degree;germany;23
eagle;27;Male;Bachelor's degree;nan;24
tit;27;Male;Bachelor's degree;nan;24
woodpecker;27;Male;Bachelor's degree;nan;24
robin;23;Male;Bachelor's degree;germany;25
parrot;23;Male;Bachelor's degree;germany;25
eagle;23;Male;Bachelor's degree;germany;25
pelican;22;Male;Bachelor's degree;germany;26
raven;22;Male;Bachelor's degree;germany;26
eagle;22;Male;Bachelor's degree;germany;26
eagle;25;Male;Bachelor's degree;germany;27
cardinal;25;Male;Bachelor's degree;germany;27
dove;25;Male;Bachelor's degree;germany;27
eagle;27;Male;Master's degree;germany;28
goose;27;Male;Master's degree;germany;28
penguin;27;Male;Master's degree;germany;28
eagle;30;Male;Bachelor's degree;usa;29
