us_presidents;uri
barackobama;http://dbpedia.org/resource/Barack_Obama
joebiden;http://dbpedia.org/resource/Joe_Biden
georgewashington;http://dbpedia.org/resource/George_Washington
goergew.bush;http://dbpedia.org/resource/George_W._Bush
abrahamlincoln;http://dbpedia.org/resource/Abraham_Lincoln
richardnixon;http://dbpedia.org/resource/Richard_Nixon
donaldtrump;http://dbpedia.org/resource/Donald_Trump
johnf.kennedy;http://dbpedia.org/resource/John_F._Kennedy
geraldford;http://dbpedia.org/resource/Gerald_Ford
obama;http://dbpedia.org/resource/Barack_Obama
biden;http://dbpedia.org/resource/Joe_Biden
lincoln;http://dbpedia.org/resource/Abraham_Lincoln
barrackobama;http://dbpedia.org/resource/Barack_Obama
washington;http://dbpedia.org/resource/George_Washington
adams;http://dbpedia.org/resource/John_Quincy_Adams
madison;http://dbpedia.org/resource/James_Madison
clinton;http://dbpedia.org/resource/Bill_Clinton
bush;http://dbpedia.org/resource/George_W._Bush
trump;http://dbpedia.org/resource/Donald_Trump
billclinton;http://dbpedia.org/resource/Bill_Clinton
georgew.bush;http://dbpedia.org/resource/George_W._Bush
roosevelt;http://dbpedia.org/resource/Franklin_D._Roosevelt
j.w.bush;http://dbpedia.org/resource/George_W._Bush
georgewbush;http://dbpedia.org/resource/George_W._Bush
franklindelanoroosevelt;http://dbpedia.org/resource/Franklin_D._Roosevelt
franklind.roosevelt;http://dbpedia.org/resource/Franklin_D._Roosevelt
ronaldreagan;http://dbpedia.org/resource/Ronald_Reagan
jefferson;http://dbpedia.org/resource/Thomas_Jefferson
dixon;http://dbpedia.org/resource/Richard_Nixon
jfk;http://dbpedia.org/resource/John_F._Kennedy
tylerhamilton;http://dbpedia.org/resource/Alexander_Hamilton
georgebush;http://dbpedia.org/resource/George_W._Bush
nixon;http://dbpedia.org/resource/Richard_Nixon
reagan;http://dbpedia.org/resource/Ronald_Reagan
kennedy;http://dbpedia.org/resource/John_F._Kennedy
georgbush;http://dbpedia.org/resource/George_W._Bush
johnfkennedy;http://dbpedia.org/resource/John_F._Kennedy
bushsr;https://dbpedia.org/resource/George_H._W._Bush
bushjr;http://dbpedia.org/resource/George_W._Bush
barakobama;http://dbpedia.org/resource/Barack_Obama
franklinroosevelt;http://dbpedia.org/resource/Franklin_D._Roosevelt
carter;http://dbpedia.org/resource/Jimmy_Carter
eisenhower;http://dbpedia.org/resource/Dwight_D._Eisenhower
woodrowwilson;http://dbpedia.org/resource/Woodrow_Wilson
j.f.kennedy;http://dbpedia.org/resource/John_F._Kennedy
jimmycarter;http://dbpedia.org/resource/Jimmy_Carter
rooselvelt;http://dbpedia.org/resource/Franklin_D._Roosevelt
klinton;http://dbpedia.org/resource/Bill_Clinton
nan;nan
nixxon;http://dbpedia.org/resource/Richard_Nixon
g.h.bush;https://dbpedia.org/resource/George_H._W._Bush
g.w.bush;http://dbpedia.org/resource/George_W._Bush
jfkennedy;http://dbpedia.org/resource/John_F._Kennedy
