continents;p_age;p_gender;p_education;p_country;p_id
europe;26;Male;Bachelor's degree;germany;0
africa;26;Male;Bachelor's degree;germany;0
asia;26;Male;Bachelor's degree;germany;0
europe;44;Male;Doctorate (e.g. PhD);germany;1
africa;44;Male;Doctorate (e.g. PhD);germany;1
north america;44;Male;Doctorate (e.g. PhD);germany;1
europe;46;Male;Bachelor's degree;france;2
asia;46;Male;Bachelor's degree;france;2
north america;46;Male;Bachelor's degree;france;2
europe;28;Male;Master's degree;germany;3
north america;28;Male;Master's degree;germany;3
asia;28;Male;Master's degree;germany;3
asia;34;Female;Master's degree;switzerland;4
africa;34;Female;Master's degree;switzerland;4
australia;34;Female;Master's degree;switzerland;4
asia;27;Male;Bachelor's degree;germany;5
europe;27;Male;Bachelor's degree;germany;5
africa;27;Male;Bachelor's degree;germany;5
europe;27;Male;Master's degree;germany;6
africa;27;Male;Master's degree;germany;6
asia;27;Male;Master's degree;germany;6
asia;27;Male;Master's degree;germany;7
africa;27;Male;Master's degree;germany;7
europe;27;Male;Master's degree;germany;7
europe;28;Male;High school degree or equivalent;germany;8
africa;28;Male;High school degree or equivalent;germany;8
australia;28;Male;High school degree or equivalent;germany;8
australia;29;Male;Master's degree;germany;9
north america;29;Male;Master's degree;germany;9
south america;29;Male;Master's degree;germany;9
africa;26;Male;Master's degree;germany;10
europe;26;Male;Master's degree;germany;10
antarctica;26;Male;Master's degree;germany;10
asia;37;Male;Master's degree;germany;11
africa;37;Male;Master's degree;germany;11
north america;37;Male;Master's degree;germany;11
europe;24;Male;Master's degree;germany;12
asia;24;Male;Master's degree;germany;12
africa;24;Male;Master's degree;germany;12
africa;26;Female;Master's degree;germany;13
europe;26;Female;Master's degree;germany;13
australia;26;Female;Master's degree;germany;13
africa;26;Female;Master's degree;germany;14
south america;26;Female;Master's degree;germany;14
australia;26;Female;Master's degree;germany;14
asia;28;Female;Doctorate (e.g. PhD);germany;15
europe;28;Female;Doctorate (e.g. PhD);germany;15
africa;28;Female;Doctorate (e.g. PhD);germany;15
africa;25;Male;NaN;germany;16
europe;25;Male;NaN;germany;16
asia;25;Male;NaN;germany;16
africa;31;Female;Master's degree;germany;17
europe;31;Female;Master's degree;germany;17
asia;31;Female;Master's degree;germany;17
africa;36;Male;Master's degree;germany;18
europe;36;Male;Master's degree;germany;18
australia;36;Male;Master's degree;germany;18
asia;27;Male;Master's degree;germany;19
australia;27;Male;Master's degree;germany;19
europe;33;Male;Doctorate (e.g. PhD);germany;20
north america;33;Male;Doctorate (e.g. PhD);germany;20
south america;33;Male;Doctorate (e.g. PhD);germany;20
asia;26;Male;Bachelor's degree;usa;21
north america;26;Male;Bachelor's degree;usa;21
africa;26;Male;Bachelor's degree;usa;21
euroe;44;Female;Doctorate (e.g. PhD);sweden;22
asia;44;Female;Doctorate (e.g. PhD);sweden;22
africa;44;Female;Doctorate (e.g. PhD);sweden;22
europe;26;Male;Bachelor's degree;germany;23
asia;26;Male;Bachelor's degree;germany;23
north america;26;Male;Bachelor's degree;germany;23
europe;27;Male;Bachelor's degree;nan;24
africa;27;Male;Bachelor's degree;nan;24
north america;27;Male;Bachelor's degree;nan;24
europe;23;Male;Bachelor's degree;germany;25
south america;23;Male;Bachelor's degree;germany;25
africa;23;Male;Bachelor's degree;germany;25
europe;22;Male;Bachelor's degree;germany;26
asia;22;Male;Bachelor's degree;germany;26
australia;22;Male;Bachelor's degree;germany;26
europe;25;Male;Bachelor's degree;germany;27
africa;25;Male;Bachelor's degree;germany;27
asia;25;Male;Bachelor's degree;germany;27
europe;27;Male;Master's degree;germany;28
africa;27;Male;Master's degree;germany;28
asia;27;Male;Master's degree;germany;28
africa;30;Male;Bachelor's degree;usa;29
north america;30;Male;Bachelor's degree;usa;29
antarctica;30;Male;Bachelor's degree;usa;29
africa;28;Male;Master's degree;germany;30
europe;28;Male;Master's degree;germany;30
australia;28;Male;Master's degree;germany;30
europe;38;Female;Doctorate (e.g. PhD);greece;31
africa;38;Female;Doctorate (e.g. PhD);greece;31
australia;38;Female;Doctorate (e.g. PhD);greece;31
africa;28;Male;Master's degree;germany;32
europe;28;Male;Master's degree;germany;32
asia;28;Male;Master's degree;germany;32
africa;26;Male;Bachelor's degree;germany;33
asia;26;Male;Bachelor's degree;germany;33
north america;26;Male;Bachelor's degree;germany;33
europe;19;Male;High school degree or equivalent;germany;34
africa;19;Male;High school degree or equivalent;germany;34
asia;19;Male;High school degree or equivalent;germany;34
asia;25;Female;Bachelor's degree;germany;35
europe;25;Female;Bachelor's degree;germany;35
north america;25;Female;Bachelor's degree;germany;35
europe;24;Female;Master's degree;germany;36
africa;25;Male;Bachelor's degree;germany;37
antarctica;25;Male;Bachelor's degree;germany;37
asia;25;Male;Bachelor's degree;germany;37
america;64;Male;Doctorate (e.g. PhD);austria;38
europe;64;Male;Doctorate (e.g. PhD);austria;38
asia;64;Male;Doctorate (e.g. PhD);austria;38
europe;24;Male;Bachelor's degree;germany;39
asia;24;Male;Bachelor's degree;germany;39
africa;24;Male;Bachelor's degree;germany;39
europe;31;Male;Bachelor's degree;germany;40
asia;31;Male;Bachelor's degree;germany;40
north america;31;Male;Bachelor's degree;germany;40
africa;25;Female;Bachelor's degree;germany;41
south america;25;Female;Bachelor's degree;germany;41
north america;25;Female;Bachelor's degree;germany;41
asia;28;Female;Bachelor's degree;germany;42
europe;28;Female;Bachelor's degree;germany;42
australia;28;Female;Bachelor's degree;germany;42
europe;37;Female;Master's degree;germany;43
north america;37;Female;Master's degree;germany;43
asia;37;Female;Master's degree;germany;43
asia;50;Female;High school degree or equivalent;germany;44
africa;50;Female;High school degree or equivalent;germany;44
europe;50;Female;High school degree or equivalent;germany;44
europe;28;Female;High school degree or equivalent;germany;45
south america;28;Female;High school degree or equivalent;germany;45
asia;28;Female;High school degree or equivalent;germany;45
europe;31;Male;Bachelor's degree;germany;46
africa;31;Male;Bachelor's degree;germany;46
south america;31;Male;Bachelor's degree;germany;46
europe;21;Female;High school degree or equivalent;germany;47
asia;21;Female;High school degree or equivalent;germany;47
africa;21;Female;High school degree or equivalent;germany;47
asia;23;Female;Bachelor's degree;germany;48
